ngiemboon,en
"Mezíŋ pàmangʉa njʉ̀’ Yěsô Kristo gẅie aa na ngẅɛ fùɔ Ndavíd, éfóo na ngẅɛ Ábalam e mɔɔn:","The book of the generation of Jesus Christ, the son of David, the son of Abraham."
"Ábalam la zyé Esâg, Esâg zyé Yakwɔ́b, Yakwɔ́b zyé Jẅida pâ mefɛ́ pé.",Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;
"Jẅida zyé Fares pɔ́ Zara, má wɔ́b gwɔ́ Tamar, Fares zyé Esrom, Esrom zyé Aram.",and Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;
"Aram zyé Aminadab, Aminadab zyé Naason, Naason zyé Salmoŋ,",and Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
"Salmoŋ zyé Booz, má pà Booz gwɔ́ Raab, Booz zyé Obed, má pà Obed gwɔ́ Lẅid, Obed zyé Jesé,",and Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
"Jesé zyé fùɔ Ndavíd, fùɔ Ndavíd la zyé Salomo, mbà má pà Salomo láa nzwě Wiri.",and Jesse begat David the king; and David the king begat Solomon of herthat had been the wifeof Urias;
"Salomo zyé Loboam, Loboam zyé Abia, Abia zyé Asaf,",and Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
"Asaf zyé Josafad, Josafad zyé Joram, Joram zyé Ozias,",and Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
"Ozias zyé Joatáŋ, Joatáŋ zyé Asház, Asház zyé Ezékias,",and Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;
"Ezékias zyé Manase, Manase zyé Amoŋ, Amoŋ zyé Josias,",and Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;
"Yɛ̂ kwò pʉ̀a tɔ́g, Yekonia zyé Salatiɛl, Salatiɛl zyé Zorobabel,","and after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;"
"Zorobabel zyé Abiud, Abiud zyé Eliakím, Eliakím zyé Azɔr,",and Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;
"Azɔr zyé Sadɔg, Sadɔg zyé Akím, Akím zyé Eliud",and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;
"Eliud zyé Eléazar, Eléazar zyé Matan, Matan zyé Yakwɔ́b,",and Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;
"Yakwɔ́b zyé Yesyɛ̂b, Yesyɛ̂b gwɔ́ ndǔm Malîɛ, Malîɛ gwɔ́ má pà Yěsô gẅie mé tóŋo le*Nzà’nkÿo.","and Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ."
Mɔɔn menò lɔgɔ ḿbumte pá’ɔɔn nà shwóŋó gie Cʉ̀apʉ̀a la lɔ́g ncwò Ntsẅì Nkʉ̀ we ńgɔɔn ngie:,"Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying,"
"mè tsẅi lezíŋ sé lê Emanuel, e lɔgɔ ńgɔɔn ngie: «E Ssé ee nùɔ pege».","which being interpreted is, God with us."
"*Cÿɔ́’ Ssé gɔɔn pú’u, Yesyɛ̂b gwɔ́ tà ńzyeen, ńgÿo mmó gie à tsẅǐ né yé, ńkẅé nzwě we ńnéŋe ndá.","Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took unto him his wife:"
"Tá’ pɔ́ yé ké ńdá’ tè nuŋe, tà á gÿo ńzyé múɔ ŋwɛ́, Yesyɛ̂b tsẅi lezíŋ sé lê Yěsô",and knew her not till she had brought forth her firstborn son: and he called his name JESUS.
"Pɔ́ ne ńgwá ńzɛ́te pú’u, ànò àyɛ̌ gwe metuŋó fùɔ*Herôd, ḿbú ńcu’u twó yé, ńcu’u twó pʉ̀a metsèm tsɛ̀ɛ tÿǒsoŋ Yerósalem.","When Herod the king had heardthese things, he was troubled, and all Jerusalem with him."
á nue àfùɔ gẅie à ge lá’ sá’ pʉ̀a pɔ́ɔn pà Israel ge lá’ kẅɛ pɔ́ tsetsɛ̀ɛ pi».,That shall rule my people Israel.
"Pɔ́ gyá pú’u, ḿbú ńkág tɛ’,","When they saw the star, they rejoiced with exceeding great joy."
"Yesyɛ̂b lu ssé pɔ́ letsẅɛ́’, ńkaa múɔ, pâ mápfò gʉa lê tsɛ̀ɛ ngwòŋ Egipto,","When he arose, he took the young child and his mother by night, and departed into Egypt:"
"Á lɔgɔ pú’u, ḿbumte nà nò gie Yeremi,*ntsẅì nkʉ̀ Ssé la tʉ́ njÿó ńgɔɔn ngie:","Then was fulfilled that which was spoken by Jeremy the prophet, saying,"
Á pú tè né ńkwoŋo ngie mé tsí’i ntse nÿɔ́g mé wɔ́».,"And would not be comforted, because they are not."
"*Herôd la gwɔ́ tà ńkwé, Yesyɛ̂b lyé njÿòon Egipto, ńgyá àtsɔ̌*Cÿɔ́’ Cʉ̀apʉ̀a tó,","But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt,"
"Yesyɛ̂b lu ssé, ńkáa múɔ, pâ mápfò ne ḿbiŋe nzèm né tsɛ̀ɛ ngwòŋ Israel,","And he arose, and took the young child and his mother, and came into the land of Israel."
"Á zye ńnéŋe, Jâŋ Mbabtis kẅɛɛ nkwòŋo tsẅɛ Jẅidea, ńně sá’a ngie:","In those days came John the Baptist, preaching in the wilderness of Judæa,"
"Pi kúbe mà gẅi, á nue àfʉ̀’ gie Ssé ge nyɛ lefùɔ sé tsoté tà ne ḿbɔ́ɔnte.","and saying, Repent ye: for the kingdom of heaven is at hand."
ńgÿo melyěen nzsè mé e tyé ndʉŋ ndʉŋ».,Make his paths straight.
"Epʉ̀a ně fóo Yerósalem, éfóo Jẅidea, mbɔɔ ná pàga ngwòŋ gie áa ngʉ̀ŋe ntse Jurdeŋ, ńtóo, ńgyá Jâŋ,","Then went out to him Jerusalem, and all Judæa, and all the region round about Jordan,"
"ńtyé mvfò mânyìŋ ntsèm, ńzẅíŋe meno tepoŋ mɔ́b, á nu’u wɔ́b tsɛ̀ɛ ntse Jurdeŋ.","and were baptized of him in Jordan, confessing their sins."
Pi gÿo pɔ́ menò mbòŋo mie e nyɛɛ ngie pi kubé mà.,Bring forth therefore fruits meet for repentance:
"Yěsô leen ńké fó Galilea ńtóo ncwò ntse Jurdeŋ, ńgyá Jâŋ légwɔ́ gie Jâŋ ge nu’u yé ntse.","Then cometh Jesus from Galilee to Jordan unto John, to be baptized of him."
"Jâŋ ně ńdʉ’ʉ, ńně ńgɔɔn né yé ngie: Gù zɔ gẅiin lénu’u wɔ̀ɔn ntse, ɔ̀ pǐŋ ńtó ngie mèŋ n nu’u gú tsɛ̀ɛ ntse lá?","But John forbad him, saying, I have need to be baptized of thee, and comest thou to me?"
"Ngyè fó tÿǒ lepwó ngie: Wɔɔn aa Míŋ wɔ̀ɔn, mèŋ n kwoŋo yé tɛ’, aa wɔ̀ɔn lekág","and lo a voice from heaven, saying, This is my beloved Son, in whom I am well pleased."
"À Zẅìge Ssé fó jʉ’ó, ńdɔgɔ Yěsô ńgee nkwòŋo tsẅɛ, pá’ Sátà ge kwa’te yé.",Then was Jesus led up of the Spirit into the wilderness to be tempted of the devil.
Á ńnéŋe wó lyɛ̌’ lá’ móm lekùɔ té pfɛ́ɛ mmó tà nzyè gyáŋa yé.,"And when he had fasted forty days and forty nights, he was afterward an hungred."
"Sátà tó ńkwa’te yé, ńgɔɔn ngie: Pá’ ɔɔ Míŋ Ssé lá, leen ńké ńtsẅi né metóon pɛ̂ ngie é sele ńcʉ́’ʉ mmó léjÿó ɔ̀ jÿó.","And when the tempter came to him, he said, If thou be the Son of God, command that these stones be made bread."
"Sátà lɔgɔ Yěsô ńgʉa lê tÿǒsoŋ Yerósalem, ńtÿɔ́gɔ yé nà ntsɔ́’ gie ee*jʉ’ʉ Ssé,","Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple,"
"ńgɔɔn né yé ngie: Ɔ̀ lɔɔn ńkẅí’te mvfò mèŋ ńgu’te wɔ̀ɔn, m bú ńná né gu.","and saith unto him, All these things will I give thee, if thou wilt fall down and worship me."
"Sátà leen ńké ńnyé Yěsô.*Mecÿɔ́’ Ssé tó, ne ńkẅéte yé.","Then the devil leaveth him, and, behold, angels came and ministered unto him."
"Mé la ńnéŋe Jâŋ ndá tsǎŋ, Yěsô gÿo ńjú’, ńgʉa lê Galilea,","Now when Jesus had heard that John was cast into prison, he departed into Galilee;"
"Á gwɔ́ pú’u, tá nò gie Esǎya*ntsẅì nkʉ̀ Ssé la gɔɔn lɔg ḿbumte. À la gɔɔn ngie:","that it might be fulfilled which was spoken by Esaias the prophet, saying,"
"pi pʉ̀a Galilea, pi pie pi lâ pʉ̀a pie e té Ssé zsé neŋé",Galilee of the Gentiles;
ná pʉ̀a pie e ka neŋé tsɛ̀ɛ ngwòŋ gẅie ssé nzěm we legwé à kaa wó».,Light is sprung up.
"Yěsô gɔɔn né pɔ́b ngie: Pi tó, ńcʉ́me nzèm mèŋ, n dɔgɔ gẅi ńgÿo pàfà’ pʉ̀a mesoŋ.","And he saith unto them,Follow me, and I will make you fishers of men."
Pɔ́ gwóon ńnyé menkÿò ńcʉ́me nzèm yé.,"And they straightway lefttheirnets, and followed him."
Pɔ́ gwóon ńnyé kanú’ mbɔɔ tá wɔb ńcʉ́me nzèm yé.,"And they immediately left the ship and their father, and followed him."
"Yěsô gyá pá’ menùɔ lá’ tǒ, ńkwɔ́’ɔ ndùm lekwɔ’ɔ́, ńnéŋe ssé,*ngàŋa kwò yé tó ńkẅɛ́te yé.","And seeing the multitudes, he went up into a mountain: and when he was set, his disciples came unto him:"
Á zye léla’te nò mbwó pɔ́b ngie:,"and he opened his mouth, and taught them, saying,"
