ngiemboon,en
nɥɔ́q,deep-set eyes
ntʃwò,downturned mouth
pwàpte᷆,flat nose
tsjágà,very soft
fwɔ̀’ fwɔ̀’ fwɔ̀’,things falling out in big quantity
bíìb,tree falling
gwâ,cloth tearing itself
vȕm,"fast car, moving quickly"
ŋwóŋ,very dark
ŋwóŋ,Shirley Temple Black
ŋwóŋ,blackamoor
ŋwóŋ,black
ŋwóŋ,grim
ŋwóŋ,total darkness
ŋwóŋ,dark
ŋwóŋ,nigrify
ŋwóŋ,calamitous
ŋwóŋ,inglorious
ŋwóŋ,pitch-dark
ŋwóŋ,pitch-black
ŋwóŋ,shameful
ŋwóŋ,melanize
ŋwóŋ,ignominious
ŋwóŋ,mordant
ŋwóŋ,bootleg
ŋwóŋ,inkiness
ŋwóŋ,Negro
ŋwóŋ,fateful
ŋwóŋ,smuggled
ŋwóŋ,disgraceful
ŋwóŋ,black-market
ŋwóŋ,fatal
ŋwóŋ,Black
ŋwóŋ,blackness
ŋwóŋ,sinister
ŋwóŋ,Shirley Temple
ŋwóŋ,Negroid
ŋwóŋ,lightlessness
ŋwóŋ,smutty
ŋwóŋ,opprobrious
ŋwóŋ,blackened
ŋwóŋ,blacken
ŋwóŋ,disastrous
ŋwóŋ,Joseph Black
ŋwóŋ,bleak
ŋwóŋ,pitch blackness
ŋwóŋ,dim
ŋwóŋ,melanise
ŋwóŋ,Black person
ŋwóŋ,contraband
tsâb,very bright
tsâb,unobjectionable
tsâb,fair
tsâb,clean-living
tsâb,uninfected
tsâb,cleanse
tsâb,sporting
tsâb,light
tsâb,neat
tsâb,uncontaminating
tsâb,unclouded
tsâb,plumb
tsâb,sporty
tsâb,clear
tsâb,strip
tsâb,clean house
tsâb,blank
tsâb,white
tsâb,plum
tsâb,clean and jerk
tsâb,pick
tsâb,fresh
tsâb,fairly
tsâb,make clean
tsâb,houseclean
tsâb,clean
tsâb,sportsmanlike
tsâb,scavenge
bʉ́ʉ,shining or glowing
dzúŋ,swelling or bulging outward
kʉ̀ŋ,manure
kʉ̀ŋ,muck
fʉ̌ŋ,wounding
fʉ̌ŋ,curve
fʉ̌ŋ,wander
fʉ̌ŋ,offend
fʉ̌ŋ,hurt
fʉ̌ŋ,wind up
fʉ̌ŋ,twist
fʉ̌ŋ,spite
fʉ̌ŋ,wind
fʉ̌ŋ,wound
fʉ̌ŋ,wrap
fʉ̌ŋ,hoist
fʉ̌ŋ,combat injury
fʉ̌ŋ,injure
fʉ̌ŋ,scent
fʉ̌ŋ,nose
fʉ̌ŋ,lesion
fʉ̌ŋ,twine
fʉ̌ŋ,weave
fʉ̌ŋ,thread
fʉ̌ŋ,bruise
fʉ̌ŋ,injury
fʉ̌ŋ,meander
fʉ̌ŋ,roll
fʉ̌ŋ,wreathe
fʉ̌ŋ,lift
fʉ̌ŋ,sore
fʉ̌ŋ,raw
fʉ̌ŋ,sensitive
fʉ̌ŋ,painful
fʉ̌ŋ,tender
fʉ̌ŋ,huffy
fʉ̌ŋ,afflictive
fʉ̌ŋ,mad
fʉ̌ŋ,injury
fʉ̌ŋ,accidental injury
fʉ̌ŋ,wound
fʉ̌ŋ,combat injury
fʉ̌ŋ,hurt
fʉ̌ŋ,harm
fʉ̌ŋ,trauma
méŋ,iodin
méŋ,i
méŋ,single
méŋ,I
méŋ,ane
méŋ,unity
méŋ,atomic number 53
méŋ,iodine
méŋ,1
méŋ,one
méŋ,ace
méŋ,Maine
méŋ,ME
méŋ,Pine Tree State
múɔ,nestling
múɔ,minor
múɔ,youngster
múɔ,tiddler
múɔ,nipper
múɔ,child
múɔ,small fry
múɔ,shaver
múɔ,baby
múɔ,tike
múɔ,fry
múɔ,kid
múɔ,tyke
ntsɛ,piss
ntsɛ,urine
ntsɛ,H2O
ntsɛ,water
ntsɛ,water supply
ntsɛ,weewee
ntsɛ,water system
ntsɛ,body of water
ntsɛ,pee
