ngiemboon,en
e,he
e,she
é,he
á,he
á,in
á,she
á,on
e,I
é,she
á,to
à,he
à,she
é,they
a-,a
kě,perfective counter-expectation today past
kà,maybe
fó,all the same
lê,that
gí,you
kí,key
jú,also
gù,you yourself
kì,pigsty
gi,yours
lé,with
gí,yours
lé,at
ké,all the same
ge,immediate future
jù,your
kà,if
fà,flint
lé,in
kà,or
ká,circle
ka,question mark
jù,yours
é-,to
é-,they
gi,that
lǎ,already
gi,those there
la,distant past
ée,they’re
cǔ,tube whistle
gú,your
é-,really
gi,those
kí,padlock
gí,you also
fù,loan
lâ,and
gi,that ... there
gú,yours
lé,to
jú,your
le,not
gù,your
jú,yours
lê,like
gi,that one
e-,some
ée,it’s
gí,for you
kǔ,bed
é-,today past
lé,and
gú,you
fà,material that helps light a fire
jú,you
gi,your
fù,credit
ká,probe
é-,he
gi,those ... there
gí,your
là,connection
gi,that one there
gû,sound of air going quickly by
kà,perhaps
là,tie
le,never
gù,yours
jú,for you
lâ,with
aa,it’s
ee,it’s
hà,strong wine
ka,yesterday past
cú,depth
áa,it’s
là,link
Jû,Bazou
gú,invitation
lé,for
kyé,charcoal
fʉ̌,tibia
gwâ,sound of cloth ripping or rain beating down
làa,measurable
ffo,feather
kúm,tin-bath
kẅì,celibacy
éfʉ,become blind
kùb,bark
láʼ,people
kìm,part of a dividing up
kǐŋ,infertility
gáŋ,part of the thorax
kîɛ,sound of cloth ripping
ésa,disperse
gẅí,your
ésí,melt
fùɔ,king
fùu,loan
kʉ́,small
làa,comparable
kwò,tyre
gʉ̌,cup
kúd,very dirty
cʉ̀,stress
láʼ,very distant future
kùa,scraper
cʉ̀,banality
ésa,twirl
gág,jaw
jÿó,food
kùb,cubicle
gág,roof of the mouth
gẅí,yours
làa,comparison
ayí,friend
ffó,pus
kɔ́,what
cûu,very soft
fòŋ,cow
kɔ̀,take!
lé-,to
gyě,flavour
guɔ,sickness
gûg,bark
gẅi,that one
kwɛ,W.C.
kùb,trunk
gẅà,sp. tree
gẅi,for you
gwà,chisel
cùb,mixture
kǐŋ,barrenness
jÿâ,sound of air moving
kɛ̂,what
júʼ,yam
éfó,come from
gÿo,tomorrow future
cùb,assembly
ésí,be clean
fɛ́,brother
kʉŋ,barrier
ffo,medicine
lǎg,marsh
kwè,moribund
éfá,put a tie on
kǔʼ,food
háb,half
káŋ,plate
kǎd,very fast
láʼ,village
ésí,dissolve
fàa,one who slips into something
kẅǐ,bone
kùb,casket
láʼ,already
ésa,scatter
gɛ́,adultery
bîb,sound of a heavy load
fàʼ,work
jÿó,dish
lǎg,puddle
fúɔ,louse
fùb,sound of an instrument buried in a moist body
fùʼ,treasure
láa,how much?
gẅi,that
fàŋ,sp. tree that you can make jute from its bark
kùb,suitcase
kèm,stump
éfu,lend
gúʼ,sp. mushroom with large head and long stem
éfá,thread
gág,pharynx
gwà,pair of scissors
gẅí,you
gàb,sharing
ésa,turn
làŋ,black bean aphid
kwò,paw
jʉʼ,place
cúa,sp. West African yam
gie,who
lǎŋ,road
kàg,basket
gyě,smell
gẅi,that ... there
làa,similar
cʉ̀,stare
fʉ̌,shinbone
kùb,chest
kùb,lip
gẅi,that one there
kàŋ,squirrel
éfú,be stupid
gẅí,for you
gàb,adultery
kwè,dying
fùɔ,chief
kúb,raffia seed
fʉ̀,blind person
éfʉ,go blind
lâm,lamp
laa,never
kwó,standard-winged nightjar
jǔɔ,tomorrow
gʉ̌,goblet
fòm,abandoned concession
gyě,taste
kìb,sound of something moving without giving notice
kéŋ,sound of a bell ringing
jʉʼ,atmosphere
fʉ́,sleeve
kěm,very calm
le-,a
cùb,component
gem,pit
kǔʼ,cocoyam
lǎg,scar
kwò,foot
kab,pigsty
láʼ,since
kèm,slice
jÿó,meal
fúʼ,valley
éfú,be foolish
fǐŋ,raffia fibre
kěm,negotiation
kùb,peeling
fóm,tornado
lǎg,spot
kùu,container
kim,egoist
gém,fog
kâb,very clean
gem,hole
fàa,bleeder
fòŋ,visitor to sick people
gàb,dividing up
lé-,for
fàa,blower
gie,that
fòm,old place
gǎd,very fast
fùʼ,something found
jùa,aluminium
kùb,skin
kʉ́,little
kwɛ,latrines
ffo,leaf
káa,isn’t it?
kěm,mediation
cùb,collection
gẅi,your
lâm,flare
gwá,cry
kùb,coffin
éfa,blow
kùb,footlocker
jʉʼ,weather
gẅi,yours
fóm,strong wind
jǔɔ,yesterday
jʉʼ,time
Ffó,Bafou
lǎg,swamp
éfa,purge
gém,strong cold during times of fog
káb,pipe
kʉ́,strange
kyé,coal
kèm,piece
éfʉ,be blind
kaa,not
éfa,stuff
kìb,quarter of beef
kee,what
ffó,sp. ant
éfá,wrinkle
kǔa,cholera
agí,friend
fʉ̀,constipation
éfu,borrow
jʉʼ,seat
ésa,spill
élé,isn’t it?
gwà,blade
ésa,pirouette
ésa,be messy
gém,mist
fùu,creditor
gwà,sp. tree
fím,very fast
fùu,debtor
cÿó,famine
cǔm,sound of a big object falling into water
kìm,piece of meat
ésa,balance
kùbu,blunt instrument
kúbe,difference
ésiŋ,draw up
éshú,go below
fʉ̀ŋ,prohibition
kásà,emperor
éfÿe,take a siesta
kwâa,peals of laughter
ésɔb,stab
éfag,break away
lèbe,difficulty speaking
ésẅɛ,molt
ésɔb,transplant
kěen,already
ésẅɛ,kill by occult means
kwóŋ,guano bat
éfʉa,open greatly
lefǒ,provenance
kwòŋ,stump
ésẅi,drive in
éfɔb,put less oil on the food
éfóm,close tightly
gẅǐɛ,step
gèʼe,inflation
kʉ̌b,suitcase
fʉ̌a,"""bachelor"""
kwòŋ,maize or corn stalk
éfag,turn
éfʉa,slip
agûb,public
fÿɛ́,assassin
éfím,flee
éfʉʼ,measure
ésag,quote
ésie,glow
kʉ̀a,testament
kẅíʼ,homonym
gÿɛ́,concubinage
káʼa,even though
ésẅɛ,undress
éfag,detach
ésẅi,probe
éfʉa,slide
gyɛ̌,public place
kwǎŋ,grated taro
ésag,be long
éfóŋ,inform
fʉ̀a,speckled mousebird
fÿág,air
éfÿe,dream
ésẅi,poll
ésaʼ,pull out
fòbe,filth
fòbe,film
éfʉa,talk nonsense
kège,scaly
éfoŋ,scribble
éfʉʼ,exaggerate
éfɔb,have edema and bloated stomach
lápà,slingshot
ésíɛ,check
ésem,be tight
làʼa,goodbye game
éffo,keep kola underground
gwáʼ,epilepsy
kòon,cliff
ésem,make an effort
gǒon,pit
kège,incident
éfaʼ,work
éfʉa,make a mistake
cʉ́ʼ,after
ésye,glide
éfom,drive in
ésíg,sense
éfʉa,err
ésɔg,wash
fʉ̀ʼ,moment
gwǒŋ,flank
éfɔb,have oedema and bloated stomach
éshú,walk around
gwág,saucepan
kága,sp. fish
jʉŋe,good smells
kála,if
fÿàg,blower
káʼa,so that
lápà,sling
jwàʼ,sound of a bundle of bamboo falling on the ground
kɔ̀ʼ,gallery
fɔ̂d,fault
éfúʼ,rise
gǒon,hollow
cʉ́ŋ,very acidic
ésyé,prune
ésiɛ,tear
kúbe,change
éfʉa,sin
kéen,emphatic perfective counter-expectation yesterday past
ésyé,divert
ésaʼ,share without reservation
ésiɛ,eradicate
ésiɛ,debit
gǒon,hole
agáʼ,development
jùbe,dry
fòmo,mould
ésye,install a bamboo ceiling
ésẅe,refuse something to someone
keen,already
éfáŋ,be big
ésáʼ,command
ésẅe,loose oneself
lefǒ,source
ésíg,to feel
ésẅi,irritate
fÿɛ́,killer
éfʉa,dismantle
laʼá,blanketgrass
fème,excrement
ésiɛ,dismember
ésɔb,reinject
ésẅé,cool off
ésaŋ,divert
éfag,untie
ésaŋ,dry something out
kápà,ancient money
ésoŋ,draw off
jÿòŋ,drug
jwóŋ,laziness
gwǒŋ,side
éfʉa,open wide
éssó,feel
ésiɛ,to cut up
ésiŋ,pull
fʉ̀ŋ,frontier
gáʼa,annual brachiaria
éfaʼ,search for
ésɔʼ,perform a miracle
ésem,tighten
ésẅe,get loose
gèbe,alienation
ésẅe,cover
gaŋá,internet
éfúa,approach
éfím,take off
ésẅi,get irritated
Guyà,Buea
kẅìŋ,k. musical instrument
ésaŋ,break the engagement
éfúʼ,boil
ésyé,deceive
ésiɛ,extirpate
ésyé,embezzle
kɔ̀ʼ,portico
ésag,be deep
kwáʼ,sound of a pebble falling on hard ground
ésiɛ,rip
kwàʼ,clean
cùbo,collection
gʉ́m,mist
kwàŋ,amusement
ésɔb,bite
ésíɛ,control
kwɔ̀,take!
cwóŋ,pile
cwóŋ,very bad
gubé,human children
ésoŋ,steal
ésẅé,have goosepimples
fɔ̂d,error
fòme,excrement
éffo,fill up
kwáŋ,bike
cʉ̂ʼ,very bitter
gʉ́m,fog
ésẅe,stuff with straw
éfʉʼ,weigh
ésiŋ,lie down
ésẅi,gauge
gùmo,farm
kwàʼ,really
ésso,fart
gǒon,grave
ésɔb,sting
fʉ̀ʼ,time
fʉ̀ʼ,measurement
gʉ́m,silk-cotton tree
kwɔb,raffia field
éshu,mask
ésẅé,look alike
ésaŋ,dry by spreading
kʉ̌b,coffin
làŋa,picture
kěen,emphatic perfective counter-expectation today past
gʉ́ʼ,stainless steel
fɔ̀b,sp. beetle
kʉ̌b,footlocker
ésiŋ,extend
ésáb,desire
fʉ̀a,bar-breasted mousebird
éfúa,touch lightly
ésie,light up less
kàte,letter
leen,quickly
ésáŋ,count
gyɛ̌,esplanade of the chief’s compound
ésag,cite
kwɔb,vineyard
ésɔʼ,load too much
jʉʼʉ,there
ésáʼ,make known
ésẅí,drink
éfag,divide
ésẅé,after being denounced
gÿɛ́,cohabitation
kàba,maternity clothes
ésáʼ,tax
kwóŋ,up high
fʉ̌ŋ,wound
kʉ̌b,trunk
ésẅi,insert
ésáʼ,appear
làŋa,surface
fùbe,filth
gutê,hotel
fùbe,film
ésẅé,look like
éfuʼ,foam
ésye,slip
gʉ́m,very red
éfag,separate
kʉ̀e,explosion
éffo,bury
jʉʼɛ,there
kʉ̀a,contract
kɔ̌ʼ,yoke
léen,emphatic perfective counter-expectation distant past
leen,suddenly
fɔ́g,co-wife
ésẅí,lick with a finger
gẅie,who
fÿɛ̀,castrated goat
fÿàg,poor person
éfag,bifurcate
láyè,garlic
lagá,nothing
ésɔb,inject
gʉ́m,strong cold during times of fog
kwàʼ,true
éshú,sneak
ésiŋ,massage
ésáʼ,judge
gwǒŋ,profile
gùbe,umbrella
ésáʼ,appear slightly
éfiŋ,sell
éfom,rot
kʉ̌b,casket
kíbà,spoils
éfúa,brush
cùbo,compound
éfóm,stifle
ésyé,cut
hége,k. disease
éssó,suffer
kʉ̀a,pact
ésiɛ,sell
éfiŋ,skin
cʉ̀ʼ,second-hand clothes
kěkě,absolutely nothing
éfuʼ,be lucky
kɔ́b,box
keen,that
gʉ̀a,leaving
kwàŋ,joke
éfʉa,skid
fʉ̀ŋ,trench
ésiŋ,to sort out
jʉ́a,funnel
jwóŋ,sp. tree
ésáŋ,deliberate
ésáʼ,germinate
ésyé,trim
laʼá,fish-trap
fÿàg,poverty
ésiŋ,stretch
jʉŋé,sp. waxbill finch
ésẅé,be cold
cyág,sound of a machete cutting into something
kège,discord
fÿàg,winnower
éfáŋ,increase in volume
gẅǐɛ,rung
cʉ̀a,necklace
éfúʼ,be bushy
ésaŋ,scatter
