ngiemboon,en
a-,a
"apɔ̀ɔn,",a bag.
á,to; in; on
Shʉ́ŋngẅi néŋe nzɔ̌? Á ssé.,Where is the partridge sitting? On the ground.
á,he; she (subject pronoun for class 7)
á,he; she (consecutive subject pronoun for fourth person singular)
"À toŋó wɔ́ɔn, á fó tsìŋɔɔn ńzẅíŋ.","He called me, he (another) accepted from downstairs."
à,he; she (subject pronoun for class 1)
À ne ńguɔ.,He is sick.
à cʉ́ʼ fʉ̀ʼʉ yɛ̌,see you soon
à cʉ́ʼ jǔɔ,see you tomorrow
à cʉ́ʼ mbaʼámbaʼ,see you tomorrow morning
à cʉ́ʼ púʼu,see you soon
à cʉ́ʼ tsɔ́ fʉ̀ʼ,see you later
à cʉʼ wɔ́gɔ̀,see you soon
á lekɔ́,how are you?
á nue kɔ́,why; for what reason
"Ɔ̀ gɔɔn ngie n těen ńge ḿpfɛ́ mbab wɔ́, á nue kɔ́?",Why do you say I won't eat meat?
aa,it’s (subject pronoun for class 1 for clauses without verbs)
Aa shǔ wɔɔn mie n die.,It’s my friend I’m looking at.
áa,it’s (subject pronoun for class 7 for clauses without verbs)
"Anò gie ɔ̀ gɔɔn, áa nò.",What you say is correct.
aamɛɛn,so be it
À gÿǒ sẅíŋtè tà ńcúme lê aamɛɛn.,He prayed until closing with an amen.
aayi,(shows pain)
Aayi! Mbàŋa tʉ̌ kǔ kwò mèŋ.,“Aayi”! The nail stuck in my foot.
agáʼ,development
agí,friend (call)
"Agí, tóo ḿpfɛ́ɛ mekú!","Friend, come and eat the bean!"
agûb,public
À lɔ̌g shúm sɔ́ɔn ńgÿo shúm agûb.,He made my things public.
agyɔɔnme,help
"Àgyɔɔnme, afÿɛ sɔbɔ wɔ́ɔn me!","Help, the murderer stabbed me!"
alálàlǔŋ,honorific slogan (pronounced during the twins song)
Pɔ́ zɔ̌b tà ngie alálàlǔŋ.,They sang until they said “alálàlǔŋ”.
atsɔ́,certain; other (modifying class 7 nouns)
Atsɔ́ pɔ̀ɔn ya gwɔ́ ɔ́?,Where is the other bag?
atsɔ́,certain; other (modifying class 7 nouns)
atsɔ̌,certain; other (modifying class 1 nouns)
Atsɔ̌ mêngwe pfɛ̌ mbum ngáb mɔ́ɔn ntsèm.,A certain dog ate all my eggs.
atsɔ̌,certain; other (modifying class 1 nouns)
ayí,friend (call)
"Ayí, tóo peg ɔ̀ gʉa!","Friend, come and let's go (together)!"
bîb,sound of a heavy load
"À kɔʼɔ́ tÿǒ, á gwe lê bîb.",The tree he cut fell only “bib”.
cú,depth
cǔ,"tube whistle (cylindrical whistle of bamboo, plastic or metal used by dance groups)"
cú ntóŋ,tie
cúa,sp. West African yam
cùa nzẅé,knocker
cúa páb,sandal; samara; slipper
cúa páb,k. trap
cùb,mixture; collection; component; assembly
Mèŋ n nǔ mecùbo melùʼ.,I drank a mixture of wines.
cùbo,collection; compound
Yɔɔn cùbte mekwɔ̀ʼɔ.,This is a collection of stools.
cùbte,collection; compound
Yɔɔn cùbte mekwɔ̀ʼɔ.,This is a collection of stools.
cúcum,sp. fish
cukúlù,pyjamas
cúkwɛ,sparrow
cǔm,sound of a big object falling into water
À cʉmé ntse lê cǔm.,He threw himself into the water that “cǔm”.
cùɔ nzẅé,knocker
cûu,very soft
Apʉ́a pÿɛ́ɛ lê cûu.,The taro is very soft.
cúʼtè,meeting
cùʼupfɔ́g,goat and other things for the widow’s ceremony
cʉ̀,stress
cʉ̀,stare
cʉ̀,banality
cʉ̀a,necklace
