ngiemboon,en
ngwàʼa,thrower
ńgwáʼa,be similar to
ńgwáʼa, be like
ńgwáʼa,seem
ńgwáʼa, appear
Tasòŋ gwáʼa mèŋ la.,Tasòŋ is similar to me.
Á gwáʼa fʉ̀ʼ gie mbʉ̀ŋ ge lú la.,It looks like it's going to rain.
ngwè,sp. edible herb
ngwè,thrower
ngwè, Casanova
ńgwe,fall
ńgwe,fall many times
ńgwe,stagger
ńgwe,have fun with
ńgwe,fail
ngwè gwáʼ,epileptic
ngwè lekwɛ́,ginseng
ngwè méshʉŋ,yellow tassleflower
ngwè tÿǒ,sp. gecko
ńgwéen,sell off
ńgwéen,sell
ńgwele,stop over at
ńgwele,make a hook
ńgwele, go through
ngwʉ̀ngwà nÿɔ́g,eyelash
ngwèngwà,eyelash
ńgwéʼe,if
"N gwéʼe ńgẅiin nkáb, mbà mèŋ n gʉa ntsíŋ.","If I had money, I would have gone to town."
ngwɛ̌,"handle (knife, machete)"
ngwò,kadi
ngwò,k. court
ngwò,k. judgement
ńgwó,gropingly
ńgwó,choose only one
ńgwó,wander
ńgwó, wander 
ńgwó, grope
ngwóŋ,plot of land
ngwóŋ, plowing
ngwòŋ,cry for help
"Andúm we cǔa ye, á líte ngwòŋ.","Her husband hit her, she let out a cry of alarm."
ngwòŋ,country
ngwòŋ, nation
ńgwóŋ,live somewhere
ńgwóŋ, go on and on
ńgwóŋ, drag on
ngwoon,banana (generic)
ńgwoon,stop
ńgwoon, apprehend
ńgwoon,seize
ńgwoon, trap
ńgwoon,catch fire
ńgwoon, catch fire
ńgwoon,agree
ńgwoon,stop here and there
ńgwóon,suddenly
ńgwóon, immediately
ńgwóon, without waiting
À gwě ssé ńgwóon ńdÿóon.,He fell and suddenly got injured.
ngwoon málúʼ,sp. plantain
ngwoon ssé,sp. plantain
