ngiemboon,en
a-,a
"apɔ̀ɔn,",a bag.
á,to
á, in
á, on
Shʉ́ŋngẅi néŋe nzɔ̌? Á ssé.,Where is the partridge sitting? On the ground.
á,he
á, she (subject pronoun for class 7)
á,he
á, she (consecutive subject pronoun for fourth person singular)
"À toŋó wɔ́ɔn, á fó tsìŋɔɔn ńzẅíŋ.","He called me, he (another) accepted from downstairs."
à,he
à, she (subject pronoun for class 1)
À ne ńguɔ.,He is sick.
à cʉ́ʼ fʉ̀ʼʉ yɛ̌,see you soon
à cʉ́ʼ mbaʼámbaʼ,see you tomorrow
à cʉ́ʼ jǔɔ,see you tomorrow
à cʉ́ʼ mbaʼámbaʼ,see you tomorrow morning
à cʉ́ʼ púʼu,see you soon
à cʉ́ʼ tsɔ́ fʉ̀ʼ,see you later
à cʉʼ wɔ́gɔ̀,see you soon
á lekɔ́,how are you?
á nue kɔ́,why
á nue kɔ́, for what reason
"Ɔ̀ gɔɔn ngie n těen ńge ḿpfɛ́ mbab wɔ́, á nue kɔ́?",Why do you say I won't eat meat?
aa,it’s (subject pronoun for class 1 for clauses without verbs)
Aa shǔ wɔɔn mie n die.,It’s my friend I’m looking at.
áa,it’s (subject pronoun for class 7 for clauses without verbs)
"Anò gie ɔ̀ gɔɔn, áa nò.",What you say is correct.
aamɛɛn,so be it
À gÿǒ sẅíŋtè tà ńcúme lê aamɛɛn.,He prayed until closing with an amen.
aayi,(shows pain)
Aayi! Mbàŋa tʉ̌ kǔ kwò mèŋ.,“Aayi”! The nail stuck in my foot.
legáʼ,development
agáʼ,development
ayí,friend (call)
agí,friend (call)
"Agí, tóo ḿpfɛ́ɛ mekú!","Friend, come and eat the bean!"
agûb,public
À lɔ̌g shúm sɔ́ɔn ńgÿo shúm agûb.,He made my things public.
agyɔɔnme,help
"Àgyɔɔnme, afÿɛ sɔbɔ wɔ́ɔn me!","Help, the murderer stabbed me!"
alálàlǔŋ,honorific slogan (pronounced during the twins song)
Pɔ́ zɔ̌b tà ngie alálàlǔŋ.,They sang until they said “alálàlǔŋ”.
tsɔ́,certain
tsɔ́, other (modifying class 7 nouns)
atsɔ́,certain
atsɔ́, other (modifying class 7 nouns)
tsɔ́,certain
tsɔ́, other (modifying class 7 nouns)
atsɔ́,certain
atsɔ́, other (modifying class 7 nouns)
Atsɔ́ pɔ̀ɔn ya gwɔ́ ɔ́?,Where is the other bag?
tsɔ̌,certain
tsɔ̌, other (modifying class 1 nouns)
atsɔ̌,certain
atsɔ̌, other (modifying class 1 nouns)
tsɔ̌,certain
tsɔ̌, other (modifying class 1 nouns)
atsɔ̌,certain
atsɔ̌, other (modifying class 1 nouns)
Atsɔ̌ mêngwe pfɛ̌ mbum ngáb mɔ́ɔn ntsèm.,A certain dog ate all my eggs.
agí,friend (call)
ayí,friend (call)
"Ayí, tóo peg ɔ̀ gʉa!","Friend, come and let's go (together)!"
