ngiemboon,en
ŋwèʼe nkʉ̀,sender
ŋwèʼe nkʉ̀, recipient
mɛ́,the
mɛ́, the same
mɛ́, the aforementioned (anaphoric adj.)
ŋwɛ́,the
ŋwɛ́, the same
ŋwɛ́, the aforementioned (anaphoric adj.)
"Ɔ̀ lɔɔn kú, ɔ̀ tóŋo nyìŋ ŋwɛ́ ńgie à tó.","If you arrive, call this person to come."
ŋwɛ́,owner
ŋwɛ́, landlord
ngàŋ nkʉ̀,addressee
ŋwɛ́ nkʉ̀,addressee
ŋwóŋ,very black
Apǐ siŋe lê ŋwóŋ.,The outside is very dark.
ŋwóon ngesáŋ,immature ear of corn
ŋwóon ŋwóon,tumult
ŋwóon ŋwóon, turmoil
ŋwóon ŋwóon,informing
ŋwóon ŋwóon, grassing
ŋwʉ́ŋ,sound of a clock
"À cǔa ŋwʉ́ŋe, á gye lê ŋwʉ́ŋ.",He struck the bell and it rang out “ŋwʉ́ŋ”.
ŋwʉ̀ŋ nèm,ray of sunlight
ŋwʉ́ŋe,bell
ŋwʉ̀ŋwàʼ,crackling
ŋwʉ̀ŋwàʼ, rattle
Ŋwʉ̀ŋwàʼ mbʉ̀ŋ tɔʼɔ́ wɔ́ɔn lélye.,The patter of the rain kept me from sleeping.
ŋwʉ̀ŋwʉŋ,diamond
ŋwʉ̀ŋwʉŋ, precious stone
