ngiemboon,en
te ... mɔ́,not (negative adverb that modifies first person singular possessives)
"Melɔ̌ɔn mɔɔn, é té mɔ́ɔn mɔ́.",These shoes don't belong to me.
te ... wɔ́,not
Sésɔg wɔɔn te we wɔ́.,This pepper doesn't belong to him.
tèbe,obstacle
tèbe, embarrassment
tèbe, perplexity
tèbe, thoughtlessness
tě,not (with close future or tomorrow future)
těen,not (with close future or tomorrow future)
"Múɔ kaa fàʼ faʼa, à těen nge ńjÿó mmó wɔ́.","The child has not worked, he will not eat."
tefʉ̀a,saint
tefÿàg nzẅɛ́ʼ,good-for-nothing
mántÿɔʼ,k. loincloth made of cloth
tége ńkẅé,k. loincloth made of cloth
mántÿɔʼ,k. cultural dance
tége ńkẅé,k. cultural dance
tegɔ̀ɔn melʉʼ,despot
tegɔ̀ɔn melʉʼ, tyrant
tegɔ̀ɔn melʉʼ, dictator
tekěekěe,destitute
tèkǔ na nò,useless
tèkǔ na nò, incapable
tèkǔ na nò,without usefulness
tèkǔ na nò,wretched
Múɔ wɔɔn aa kwàʼ tèkǔ na nò,This child is really useless
Múɔ wɔɔn aa kwàʼ tèkǔ na nò, he is very disobedient.
 à tsẅiŋ tɛʼ.,This child is really useless
 à tsẅiŋ tɛʼ., he is very disobedient.
tekúe,untameable
tekúe, invincible
tekúe, indomitable
tèkùʼu nò,unbearable
tèkùʼu nò, without foundation
tèkùʼu nò, insane
tèkùʼu nò, mad
Tè láʼ ńzẅíŋe tèkùʼu nò.,Never accept the unbearable.
tekʉ̌a ńkáŋ,good-for-nothing
tekʉ̌a ńkáŋ, poor man
tekwé tÿǒ,physic nut
tekwò,toe
tekwò,sick foot
tekwò, foot amputee
telàa,incomparable
telàa, matchless
Metʉ̀ Ssé ée me telàa.,The power of God is incomparable.
tèlepyè,instinct
tém,Eleonora’s falcon
têm,sound of a big stone falling on the ground
Máa tóon gwě ssé lê têm.,The big stone fell only “têm”.
tèm lemʉʼ,take advantage of misfortune
tèm lemʉʼ, ill gotten gain
Lejÿǒ tèm lemʉʼ à tè poŋ.,Taking advantage of misfortune is not good.
tèm mvfó,sp. large caterpillar
tém ntɔɔn,k. pastime game
tém nzèm,tournedos
tém nzèm,abandoning
