ngiemboon,en
gǎd ,very fast
 kǎd ,very fast
 vàg ,very fast
 fím,very fast
vǎd,very fast
vàg,swiftly
vàg, suddenly
Peg neŋé tà ńgyá á ye vàg ncwò ndá.,We stayed until we saw him promptly at the door.
gǎd ,very fast
 kǎd ,very fast
 vǎd ,very fast
 fím,very fast
vàg,very fast
Cʉ̀acʉa zyɛʼɛ́ ssé ndá lê vàg.,The smile happened very quickly (quickly) in the house.
vakɔ́ɔn,seaweed
vakɔ́ɔn, algae
vakɔ́ɔn,rust
váŋ,member
váŋ, adherent
vàʼ,tumult
vàʼ, turmoil
váʼ voŋó,mess
váʼ voŋó, movement
váʼ voŋó, trouble
véle,"addressing someone formally, using ""vous"""
vèle,rag
vèle, dust cloth
vévɛ́njÿòon,nightmare
vɛ̀,feral cat
vɛ̀, domestic cat become wild
vɛ́mbùm,accident
vfǒ,cooked
vfǒ,ripe
Náa pîɛ vfǒ né mèŋ.,Give me the ripe avocado.
vyôŋ,plane
viyôŋ,plane
vòŋ,mixture
vóŋo,tumult
vóŋo, turmoil
vóŋo, complex
vóŋo, difficult affair
vɔ̀g,house bat
vɔ̀gɔ ncù,offensive
vùb,sound of a wraparound skirt or large piece of clothing during walking
"Manzwě ne ńgine, sànzà yé gӱo lê vùb.",The woman is walking and her loincloth goes “vùb”.
vûb,sound of a whip
"À lɔ̌g ngwɔɔn ńcʉ́a múɔ, e gӱo na nzsǒ lê vûb.",He hit the child with the whip and that made “vûb” on the coat.
vûm,sound of a car going by
Matua cʉ̌a lè vùm.,The car passed that “vùm”.
vwɔ̀ʼɔ,door
vwɔ̀ʼɔ, window shutter
viyôŋ,plane
vyôŋ,plane
