ngiemboon,en
wa,that ... there
wa, (demonstrative adjective modifying class 1 or 3 nouns
wa," the thing is known but might be far away as for sight, time or space)"
Mafùɔ kaa nyìŋ wa gyá.,Mafouo did not see this person.
wáa,(showing surprise)
Ɔ̀ gyǎ yé wáa!,"You saw it, didn't you?"
gyà njÿó,watch
wáasè,watch
we,his (third person singular possessive pronoun referring back to class 1 nouns)
we,his (third person singular possessive adjective modifying class 1 nouns)
we,his (third person singular emphatic possessive adjective modifying class 1 nouns)
"Mèŋ n kilé mêngáb wɔ̀ɔn, à kíle we.","I tamed my chicken, let him tame his."
we,that of (possessive pronoun referring back to class 1 and 3 nouns)
Mêngáb Fǒpaʼ pɔ́ we Nkʉŋne kẅɛ̌.,Fopa's hen and Kenne's hen are out.
wé,his (third person singular possessive pronoun referring back to class 3 nouns)
wé,his (third person singular possessive adjective modifying class 3 nouns)
wé,his (third person singular emphatic possessive adjective modifying class 3 nouns)
À jǔ nkáʼ wé.,He bought his field.
weféfɔ́gɔ,white
weg,ours (first person plural exclusive pronoun referring back to class 1 nouns)
weg,our (first person plural exclusive adjective modifying class 1 nouns)
weg,our (first person plural exclusive emphatic adjective modifying class 1 nouns)
"Mé tǒo ńgwoon mekúnɔ̀ɔn, aweg kwɛ.","Stopping the pigs, ours came out."
wég,us (first person plural exclusive object pronoun)
À zɛ́te wég.,He asks us.
wég,ours (first person plural exclusive pronoun referring back to class 3 nouns)
wég,our (first person plural exclusive adjective modifying class 3 nouns)
wég,our (first person plural exclusive emphatic adjective modifying class 3 nouns)
"Mèŋ n gyǎ nkẅíŋ, n ge lúɔ wég.","I saw the wood, I'll ask for ours."
wege,ours (first person plural exclusive pronoun referring back to class 1 nouns)
wege,our (first person plural inclusive adjective modifying class 1 nouns)
wege,our (first person plural inclusive emphatic adjective modifying class 1 nouns)
"À lɔɔn ńgwoon mêngwé we, á nyé wege.","If he stops his dog, he leaves ours."
wégè,yours and ours (first person plural inclusive possessive pronoun referring back to class 3 nouns)
wégè,your and our (first person plural inclusive possessive adjective modifying class 3 nouns)
wégè,your and our (first person plural emphatic inclusive possessive adjective modifying class 3 nouns)
"Pɔ́ jʉ̌ nkẅíŋ, pɔ́ té wégè jʉ.","They stole the wood, they didn't steal ours."
wekʉ,small
wekʉ, little (qualifies class 1 and 3 nouns)
welʉ̌,rotten (qualifying class 1 and 3 nouns)
À pfɛ̌ɛ mákàba welʉ̌.,He ate the rotten macabo.
welÿò,great (modifies class 1 and 3 nouns)
Mèŋ n kaa gyǎ mêngáb welÿò wɔ́.,I didn't see the big hen.
wembǐ,available (qualifies class 1 and 3 nouns)
"Cʉ̀cʉ̀a wɛ̂, aa wembǐ.",This mouse is catchable.
wembòŋo,better (modifying nouns from classes 1 and 3)
"Líe kúnɔ̀ɔn wembòŋo, ńná né mèŋ.",Look at the best pork to give me.
wembÿag,raw
wembÿag, uncooked (qualifying nouns from classes 1 and 3)
wémɔʼɔ́,one
Mèŋ n gẅiin nkáʼ wémɔʼɔ́.,I have a field.
wendyɛ̀ʼɛ,other
wendyɛ̀ʼɛ, certain
"N kaŋá mêngáb, á náa wendyɛ̀ʼɛ né mèŋ.","I chose the chicken, he gave me another one instead."
wenzẅìŋ,old (qualifies class 1 and 3 nouns)
Peg ge jú nkáʼ sẅé lɔg kúbe wenzẅìŋ.,"We are going to buy a new field, to replace the old one."
weséssé,black (modifies class 1 and 3 nouns)
À gẅiin mêngáb weséssé.,He has the black hen.
wéshÿɔ́ʼɔ,how many ...?
Ɔ̀ sǎŋ tà ńkúu na wéshÿɔ́ʼɔ?,How many did you count?
wesẅé,new (modifies class 1 and 3 nouns)
Kwáŋ gẅie à jǔ aa wesẅé.,The bike he bought is new.
wetsɔ́,other
wetsɔ́, certain
Wɔɔn nkáʼ kɔ́g ńcʉa wetsɔ́.,This field is smaller than the other.
