ngiemboon,en
ya,that ... there
ya," those ... there (demonstrative adjective modifying class 7, 9 or 10 nouns"
ya," the thing or things are known but might be far away as for sight, time or space)"
Ɔ̀ pǐŋ ńgÿo lêkɔ́ na pɔ̀ɔn ya?,What did you do with that bag?
yàa,(cry of blame or of doubt)
Yàa! Á kɔ́ gie ɔ̀ gÿo pɛ́ʼɛ̀?,“Yaa”! What are you doing like that?
yalʉ́ŋ,buckle
yaléŋ,buckle
yaléŋ,buckle
yalʉ́ŋ,buckle
yáŋ,bamboo leaf mat
yàŋa yáŋa kẅìʼfùɔ,sp. plant
ye,his (third person singular possessive pronoun referring back to class 9 nouns)
ye,his (third person singular possessive adjective modifying class 9 nouns)
ye,his (third person singular emphatic possessive adjective modifying class 9 nouns)
ye,for him (third person singular possessive object pronoun referring back to class 9 nouns)
"Mepɔ̀ɔn mɔɔn, kaa ye (Mɔ́ɔnfùɔ).","Here are these bags, carried for him (Mouafo)."
ye,that of (possessive pronoun referring back to class 7 and 9 nouns)
ye,those of (possessive pronoun referring back to class 10 nouns)
Apɔ̀ɔn Tâm pɔ́ ye míŋ we té poŋ.,Tam's bag and that of her child are not good.
ye,by (place)
Ɔ̀ pfǒ ye nzɔ̌ tá ńgwɔ́ jʉʼɔɔn.,Where did you go before getting here?
yé,his (third person singular possessive pronoun referring back to class 7 and 10 nouns)
yé,his (third person singular possessive adjective modifying class 7 and 10 nouns)
yé,his (third person singular possessive adjective modifying class 7 and 10 nouns)
"Tà á pɔ́ɔn lékaa káŋ yɔ́ɔn, à kaa pɔ́ yé.","Let him not carry my plate, let him carry his own."
Mèŋ la lúɔ pɔ̀ɔn yé á lʉʼ.,"I asked for his bag, he refused."
yé,him
yé,him
yé, also
yé, equally (3rd person singular indirect object pronoun that has an additive function when repeating the subject)
N díe yé.,I look at him.
Tâm leʼé shúm lejÿó sé,Tam kept his food
Tâm leʼé shúm lejÿó sé, the child kept his too.
 múɔ leʼe sé yé.,Tam kept his food
 múɔ leʼe sé yé., the child kept his too.
yê,(cry of astonishment)
Yê! Yɛ̂ kɔ́ gie ɔ̀ gÿo tà á sẅíʼi nzẅìŋ gú?,Hey! What do you do so well that it degrades you?
yée,(showing surprise)
Yée! À gwǎʼ nkab.,“Yee”! He threw the money away.
yeféfɔ́gɔ,white
yeféfɔ́gɔ,white
yeg,ours (first person plural exclusive pronoun referring back to class 9 nouns)
yeg,our (first person plural exclusive adjective modifying class 9 nouns)
yeg,our (first person plural exclusive emphatic adjective modifying class 9 nouns)
"Ɔ̀ lɔɔn ńjú mbab, ɔ̀ ná yeg.","If you buy the meat, you give ours."
yég,also
yég, equally
Ɔ̀ nǎa pɔ̀ɔn yɔ́b. Náa yég yég.,You gave them the bag. Give ours too.
yég,ours (first person plural exclusive pronoun referring back to class 7 and 10 nouns)
yég,our (first person plural exclusive adjective modifying class 7 and 10 nouns)
yég,our (first person plural exclusive emphatic adjective modifying class 7 and 10 nouns)
"Tè nyé ŋwàʼne gí, ḿbíi yég.",Don't leave your letter to read ours.
jʉ̀ge,ours (first person plural inclusive pronoun referring back to class 9 nouns)
yege,ours (first person plural inclusive pronoun referring back to class 9 nouns)
jʉ̀ge,our (first person plural inclusive adjective modifying class 9 nouns)
yege,our (first person plural inclusive adjective modifying class 9 nouns)
jʉ̀ge,our (first person plural inclusive emphatic adjective modifying class 9 nouns)
yege,our (first person plural inclusive emphatic adjective modifying class 9 nouns)
"Nzsǒ yɛ̂, ee yege.",This outfit is ours.
À maʼ nzsǒ yege.,He wears our clothes.
Maʼ yege nzsǒ.,Wear our clothes.
jʉ́gè,yours and ours (first person plural inclusive possessive pronoun referring back to class 7 and 10 nouns)
yégè,yours and ours (first person plural inclusive possessive pronoun referring back to class 7 and 10 nouns)
jʉ́gè,yours and ours (first person plural inclusive possessive adjective modifying class 7 and 10 nouns)
yégè,yours and ours (first person plural inclusive possessive adjective modifying class 7 and 10 nouns)
jʉ́gè,yours and ours (first person plural inclusive emphatic possessive adjective modifying class 7 and 10 nouns)
yégè,yours and ours (first person plural inclusive emphatic possessive adjective modifying class 7 and 10 nouns)
"Tè tóŋo ŋwàʼne yé, tóŋ pɔ́ yégè.","Don't read his letter, just read ours."
yekʉ,small
yekʉ," little (qualifies class 7, 9 and 10 nouns)"
Náa pɔ̀ɔn yekʉ né mèŋ.,Give me the little bag.
yélékùa,four (modifying class 10 nouns)
yelʉ̌,"rotten (qualifying class 7, 9 and 10 nouns)"
À jÿǒ nkandi yelʉ̌.,He ate the rotten banana.
yelÿò,"great (modifies class 7, 9 and 10 nouns)"
yembǐ,"available (qualifies class 7, 9 and 10 nouns)"
Apɔ̀ɔn gi áa yembǐ.,This bag is takeable.
yembòŋo,"better (modifying nouns from classes 7, 9 and 10)"
