ngiemboon,en
zǐ shÿó,forehead
ziɛ ndù,bald
ziɛ ndù,baldness
zigé,sp. yellow yam
nzìŋe,dancer
zíŋ,dancer
Zíŋ kékáŋ à la cúa ŋàʼa mesoŋ.,A bad dancer had hit the one with the teeth (mocking).
zíŋ,k. cultural dance
zíŋ, k. funeral dance
zíŋe láʼ,folklore
zíŋe mendóŋ,k. cultural dance
zìʼi,education
zìʼi, study
zìʼi,sweat
zòŋ,quarrel
zòŋ, argument
zòŋ, discussion
zoon,safou
zoon, African pear
zòon,justification
zòon, pleading
zoon tsɔʼɔ́,aneilema fruit
nzòon,insult
zòonte,insult
zɔɔ,(marks an emphatic subject)
zɔ,(marks an emphatic subject)
Yé zɔ ge ná.,He is the one who will give.
zɔ̀b,song
zɔ̀bɔ ntse,song
zɔ̀bɔ ntse,choir
zɔ́gɔ ntʉ́,"day, good"
zɔ́gɔ ntʉ́, good day
zɔ,(marks an emphatic subject)
zɔɔ,(marks an emphatic subject)
Mèŋ n zɔɔ tá gù.,I am your father.
zaa mòon,majesty
zɔɔn mòon,majesty
zɔɔn múɔ,Your Excellency
zɔɔn múɔ, praise or respect given to kings
zsé letó,welcome
"Angʉ̀ tǒ, mé náa yé zsé léto.","The stranger came, we welcomed him."
zsé nò,wisdom
zsétè,knowledge
tsò,sp. aquatic animal
zso,sp. aquatic animal
