ngiemboon,en
gɔ̀ɔn,verb
gɔ̀ɔn ńgÿo,person who keeps his promises
gú,invitation
gú,you (second person singular object pronoun)
N díe gú.,I'm looking at you.
gú,yours (second person singular possessive pronoun referring back to class 3 nouns)
gú,your (second person singular possessive adjective modifying class 3 nouns)
gú,your (second person singular emphatic possessive adjective modifying class 3 nouns)
"Tá gẅi gǎb nkáʼ, ńná gú é kɔ́g.","Your father divided the field, and gave yours little."
gù,yours (second person singular possessive pronoun referring back to class 1 nouns)
gù,your (second person singular possessive adjective modifying class 1 nouns)
gù,your (second person singular emphatic possessive adjective modifying class 1 nouns)
"Mèŋ n gwǒon mêngáb wɔ̀ɔn, gwoon gù.","I stopped my chicken, stop yours."
gù,you yourself (second person singular emphatic subject pronoun)
"Ɔ̀ lɔɔn ńtóŋo míŋ nyìŋ té poŋ, mbà gù zɔ ge zẅíŋ.","If you hurt someone else's child, your child will suffer."
gû,sound of air going quickly by
Efÿág gÿǒ lê gû shÿó mèŋ.,The air “gû” (passed suddenly) on my face.
guʼ ú,(shows contempt)
gu û,(shows contempt)
Gu û! Ɔ̀ pfɛ́ɛ mmó páʼ kúnɔ̀ɔn lá?,“Gu û”! How do you eat like a pig?
penkʉ́,human children
gubé,human children
gùbe,umbrella
gúcʉʉ,(cry of blame)
"A gɔ̌ɔn ngie gúcʉʉ, á pwoon ntsẅɛ̀ʼ ye.",He said “gúcʉʉ” and hid his gender.
gûg,bark (dog)
gùgùbo,ample
Mèŋ n gyǎ yé á maʼa gùgùbo nzsǒ.,I saw him dressed in a loose outfit.
gugẅî,hosanna (celebrating glory)
Gugẅî! Cʉ̀apʉ̀a zǐme na legwé.,Hosanna! The Lord is resurrected.
gúlaandɔɔn,irony
gulû,(showing contempt)
Gulû! Ɔ̀ ge cʉa nzɔ̌ le shúm tsǒŋ sɛ̂ loo?,“Gulu”! Where will you go with these stolen items?
gúm ndóŋ,crowned eagle
gùmo,farm
gùmopàʼa,truss
gùmopàʼa, frame
gùmopàʼa, rafter
guɔ,sickness
guɔ pàga láʼ,endemic disease
gutê,hotel
"Ɔ̀ lɔɔn tóo túm, ɔ̀ láʼa gutê.","If you arrive abroad, spend the night in a hotel."
Guyà,Buea
gúʼ,sp. mushroom with large head and long stem
