ngiemboon,en
jÿònjÿɔg ncwò,ungrateful person
jÿòŋ,drug (drug user slang)
"Ɔ̀ lɔɔn ńgẅiin méjʉʼʉ jÿòŋ jʉʼɛ, ɔ̀ náa wɔ́ɔn, n dɔg ńkwɛ́ nnɛ́.","If you have some drugs there, give it to me so I can get stronger."
jÿɔ̀g,short-log
jÿɔ̂g,demi-john
jÿɔ̂g, jug
jÿɔ̀gɔ,broom
jÿɔ́ʼ,inheritance
jÿɔ́ʼ, heritage
jÿɔ́ʼ,rental
jÿɔ́ʼ,to rent
jÿɔ̀ʼ (mi),"""vampire"" (in local English)"
jÿɔ̀ʼ (mi), pregnant woman who makes her unborn child disappear by spiritual means
jÿɔ́ʼɔ,cupboard
jÿɔ́ʼɔ, poster
jÿɔ̀ʼɔ,lock
jÿɔ̀ʼɔ, padlock
jÿɔ̀ʼɔ, fastener
jÿɔ̀ʼɔ ndá,closing
jÿɔ̀ʼɔ ndá, fastener
