ngiemboon,en
kèkège,scale
kèkège, shell
kékɔ́gɔ,small
kékɔ́gɔ, little
kékɔ́gɔ, thin
kékɔ́gɔ, skinny
Tè náa pùʼ we lÿò,Don't give the big knife
Tè náa pùʼ we lÿò, only give the small one.
 ná pɔ́ we kékɔ́gɔ.,Don't give the big knife
 ná pɔ́ we kékɔ́gɔ., only give the small one.
kékɔ́gɔ menÿɔ́g,lower case letter
kekɔ́ɔ,isn’t it?
Ɔ̀ lɔgɔ ńgɔɔn ngie pɔ́gɔ̀ gʉa kekɔ́ɔ?,"By that you mean we were leaving, right?"
kèkɔ̀ɔn,cornbread
kékɔ́ʼ,sp. tree
kèkɔ̀ʼ,mole cricket
kékɔ́ʼ metÿǒ,woodpecker (generic)
kékɔ́ʼ metÿǒ,woodcutter
kèkɔ̀ʼ ncÿɔ̀ʼɔ,sp. mole-cricket
kukwóŋ,sp. weed
kekwóŋ,sp. weed
kùkwòon,ram
kùkwòon, male sheep
kèkwòon,ram
kèkwòon, male sheep
kekwɔ́g,k. disease
kùkwɔ̀ʼɔ,big
kùkwɔ̀ʼɔ, large
kùkwɔ̀ʼɔ, tall
kùkwɔ̀ʼɔ, thick
kèkwɔ̀ʼɔ,big
kèkwɔ̀ʼɔ, large
kèkwɔ̀ʼɔ, tall
kèkwɔ̀ʼɔ, thick
kekÿɛ̀,comb
kekÿɛ̀, crest
kekÿɛ̀, ridge
kekÿɛ̀,thumb piano
kélêg,wheelbarrow
kèlekàʼ,second-hand (shoe)
ntsɔ̀ʼ ngɔ̌ɔn ,puffback shrike
 lengɔ̀ʼɔ,puffback shrike
kéléndeŋ,puffback shrike
kélèŋ,sound of a gun firing
"Mé těm ngǔ, é gÿo lê kélèŋ.",We fired the gun and it went “kélèŋ”.
kelésemî,Christmas
kelétè,Christian
kelɔ̂g,k. cultural dance
kélɔɔn,informing
kélɔɔn, vain commentary
kélɔɔn, turmoil
kélɔɔn, litany
kèm,stump
kèm, piece
kèm, slice
kěm,very calm
"Tâm ka zɔ́ʼɔ nzwě we, á láŋte lê kěm.",Tam got married
"Tâm ka zɔ́ʼɔ nzwě we, á láŋte lê kěm.", his wife is very calm.
