ngiemboon,en
m ,I
 n,I
e,I
e,he
e, she (subject pronoun for class 9)
m- ,some
 n-,some
e-,some
"epɔ̀ɔn,",bags.
é,he
é, she (subject pronoun for classes 3 and 5)
é,"they (subject pronoun for classes 2, 4, 6, 8 and 10)"
"Epʉ̀a pie é tǒ mbʉ̀a wɔɔn, é fóo lê nzɔ̌?","The people who came to this house, where did they come from?"
ń- ,to (+verb)
 ḿ-,to (+verb)
é-,to (+verb)
"ésáŋ,",count.
ń- ,he
ń- , they (same subject as the preceding clause)
 ḿ-,he
 ḿ-, they (same subject as the preceding clause)
é-,he
é-, they (same subject as the preceding clause)
"Tóo ḿbí nkáb, ésáŋ.",Come take the money and count it.
ń- ,"(realis mood, imperfective aspect)"
ń- , really
 ḿ-,"(realis mood, imperfective aspect)"
 ḿ-, really
é-,"(realis mood, imperfective aspect)"
é-, really
ń- ,today past
ń- ,
 ḿ-,today past
 ḿ-,
é-,today past
é-,
é cʉ̂ʼ lyɛ̌ʼ shÿɔ́ʼɔ tsɔ́ wɔ́,in a few days
é cʉ̂ʼ lyɛ̌ʼ shÿɔ́ʼɔ tsɔ́ wɔ́, soon
É cʉ́ʼ lyɛ̌ʼ shÿɔ́ʼɔ tsɔ́ wɔ́ me zye lépfɛ́ ngesáŋ sẅé.,In a few days we will start eating fresh corn.
ee,it’s (subject pronoun for class 9 for clauses without verbs)
"Yɔɔn, ee mbʉ̀a yɔ̀ɔn.",This is my house.
ée,it’s (subject pronoun for classes 3 and 5 for clauses without verbs)
ée, they’re (subject pronoun for the plural classes for clauses without verbs)
Nkáʼ ée we wɔ́? Ée wég.,Who owns the field? It's ours.
ɛ̌ɛn,(cry of surprise regarding an oversight)
ěen,(cry of surprise regarding an oversight)
éen èen,no (marking negation)
Ɔ̀ ge pfɛ́ mbab kúnɔ̀ɔn? Éen èen!,Will you eat pork meat? Oh yeah!
éen héen,yes ... (affirmative response to negative question)
Pɔgɔ te gʉa wɔ́ ka? Éen héen!,Are we not going to leave? If !
éfa,blow
éfa,purge
éfa,stuff
éfá,put a tie on
éfá,wrinkle
éfá,thread
éfag,detach
éfag, untie
éfag,separate
éfag,break away
éfag,turn
éfag,bifurcate
éfag,divide
éfáŋ,"be large, be big"
éfáŋ,increase in volume
éfáŋ,boast
éfaŋte,mix
éfaŋte, vary
éfaŋte,mix
éfaŋte, blend
éfáte,mistreat
éfaʼ,work
éfaʼ,search for
éfaʼte,attack
éfée,miss
éfege,be light
éfege,be weak
éfege,stupid
