ngiemboon,en
mbǎ ,and even
 mbɔɔ,and even
mbɔ̌,and even
mbǎ ,just as
mbǎ , the same as
 mbɔɔ,just as
 mbɔɔ, the same as
mbɔ̌,just as
mbɔ̌, the same as
ḿbab,level out
ḿbɔb,level out
ḿbab,flatten
ḿbab, to be flat
ḿbɔb,flatten
ḿbɔb, to be flat
ḿbab,think of doing with determination
ḿbɔb,think of doing with determination
ḿbab,deceive
ḿbɔb,deceive
ḿbab,deceive
ḿbɔb,deceive
ḿbɔ́g,fear
ḿbɔ́g,fear someone
ḿbɔ́g,give things to someone to honor
mbóntáʼ,some
mbɔ́ntáʼ,some
"Peg tǒo cúʼtè, mbɔ́ntáʼ pʉa zɔ̌ gwɔ́ wó.","We came to the meeting, there were only a few people."
mbɔ̌ ,and even
 mbǎ,and even
mbɔɔ,and even
mbɔ̌ ,just as
mbɔ̌ , the same as
mbɔ̌ , same
mbɔ̌ , also
 mbǎ,just as
 mbǎ, the same as
 mbǎ, same
 mbǎ, also
mbɔɔ,just as
mbɔɔ, the same as
mbɔɔ, same
mbɔɔ, also
"Lelÿɔʼ mbɔɔ pʉa, é pú ńgwɔ́ pɔ́ jÿó.",Yam and even taro are all delicacies.
Tóo ńkaa mbɔɔ yɔɔn!,Come wear (this) and this!
À gʉ̌a tà ńtúm mbɔɔ ntse.,He even went so far as to cross a stream.
mbɔɔ né,with
mbɔɔ né, even
Gʉa mbʉ̀a ńkaa mekáŋ mbɔɔ né mekʉŋ.,Go home and carry the plates with the pots.
mbɔɔ púʼu,even like that
"Mbɔɔ púʼu, à tsɔ́ mmó gie n ge ná, á té wó wɔ́.","Even so, I have nothing to give."
mbɔ́ɔn,sorry
mbɔ́ɔn, excuse me
mbɔ́ɔn, pardon me
mbɔ́ɔn,(shows insistence)
Tóo pɔ̀gɔ gʉa ntse mbɔ́ɔn!,"Sorry come on, we're going to the water!"
mbɔ̀ɔn,boa (generic)
mbɔ̀ɔn,protector
mbɔ̀ɔn, saver
mbɔ̀ɔn, investor
"Ambɔ̀ɔn pʉ̀a mesoŋ, ee Ssé.",The protector of humans is God.
mbɔ̀ɔn,scraper
mbɔ̀ɔn, grater
mbɔ̀ɔn, guiro
mbɔ̀ɔn," musical instrument made by cutting notches in a raffia, scraped by a metal bar, used by dance groups Kanoon, Kwakwa, Ntsebe"
ḿbɔɔn,climb (tree)
ḿbɔ́ɔn,hide
ḿbɔ́ɔn,protect 
ḿbɔ́ɔn, preserve 
ḿbɔ́ɔn, preserve
ḿbɔ́ɔn,avoid
ḿbɔ́ɔn,save money
ḿbɔ́ɔn,avoid
ḿbɔ́ɔn,save
mbɔɔnté,abrasion
mbɔ́ɔntè,next
mbɔ́ɔntè,second
Àa mbɔ́ɔntè yépʉ́a ndá pɔ́b.,He is the second in their house.
ḿbɔ́ɔnte,follow
ḿbɔ́ɔnte, approach
ḿbɔ́ɔnte, be next
túundê,Tuesday
mbɔ́ɔntè mvfò lyɛ̌ʼ,Tuesday
tɔ́ɔsèndê,Thursday
mbɔ́ɔntè tsetsɛ̀ɛ lyɛ̌ʼ,Thursday
mbù,hatred
mbù, grudge
ḿbú,wander
ḿbú,all
À pǔ ḿbí.,He took everything.
mbùb,appendicitis
