en,ngiemboon
a,a-
a bag.,"apɔ̀ɔn,"
to; in; on,á
Where is the partridge sitting? On the ground.,Shʉ́ŋngẅi néŋe nzɔ̌? Á ssé.
he; she (subject pronoun for class 7),á
he; she (consecutive subject pronoun for fourth person singular),á
"He called me, he (another) accepted from downstairs.","À toŋó wɔ́ɔn, á fó tsìŋɔɔn ńzẅíŋ."
he; she (subject pronoun for class 1),à
He is sick.,À ne ńguɔ.
see you soon,à cʉ́ʼ fʉ̀ʼʉ yɛ̌
see you tomorrow,à cʉ́ʼ jǔɔ
see you tomorrow morning,à cʉ́ʼ mbaʼámbaʼ
see you soon,à cʉ́ʼ púʼu
see you later,à cʉ́ʼ tsɔ́ fʉ̀ʼ
see you soon,à cʉʼ wɔ́gɔ̀
how are you?,á lekɔ́
why; for what reason,á nue kɔ́
Why do you say I won't eat meat?,"Ɔ̀ gɔɔn ngie n těen ńge ḿpfɛ́ mbab wɔ́, á nue kɔ́?"
it’s (subject pronoun for class 1 for clauses without verbs),aa
It’s my friend I’m looking at.,Aa shǔ wɔɔn mie n die.
it’s (subject pronoun for class 7 for clauses without verbs),áa
What you say is correct.,"Anò gie ɔ̀ gɔɔn, áa nò."
so be it,aamɛɛn
He prayed until closing with an amen.,À gÿǒ sẅíŋtè tà ńcúme lê aamɛɛn.
(shows pain),aayi
“Aayi”! The nail stuck in my foot.,Aayi! Mbàŋa tʉ̌ kǔ kwò mèŋ.
development,agáʼ
friend (call),agí
"Friend, come and eat the bean!","Agí, tóo ḿpfɛ́ɛ mekú!"
public,agûb
He made my things public.,À lɔ̌g shúm sɔ́ɔn ńgÿo shúm agûb.
help,agyɔɔnme
"Help, the murderer stabbed me!","Àgyɔɔnme, afÿɛ sɔbɔ wɔ́ɔn me!"
honorific slogan (pronounced during the twins song),alálàlǔŋ
They sang until they said “alálàlǔŋ”.,Pɔ́ zɔ̌b tà ngie alálàlǔŋ.
certain; other (modifying class 7 nouns),atsɔ́
Where is the other bag?,Atsɔ́ pɔ̀ɔn ya gwɔ́ ɔ́?
certain; other (modifying class 7 nouns),atsɔ́
certain; other (modifying class 1 nouns),atsɔ̌
A certain dog ate all my eggs.,Atsɔ̌ mêngwe pfɛ̌ mbum ngáb mɔ́ɔn ntsèm.
certain; other (modifying class 1 nouns),atsɔ̌
friend (call),ayí
"Friend, come and let's go (together)!","Ayí, tóo peg ɔ̀ gʉa!"
sound of a heavy load,bîb
The tree he cut fell only “bib”.,"À kɔʼɔ́ tÿǒ, á gwe lê bîb."
depth,cú
"tube whistle (cylindrical whistle of bamboo, plastic or metal used by dance groups)",cǔ
tie,cú ntóŋ
sp. West African yam,cúa
knocker,cùa nzẅé
sandal; samara; slipper,cúa páb
k. trap,cúa páb
mixture; collection; component; assembly,cùb
I drank a mixture of wines.,Mèŋ n nǔ mecùbo melùʼ.
collection; compound,cùbo
This is a collection of stools.,Yɔɔn cùbte mekwɔ̀ʼɔ.
collection; compound,cùbte
This is a collection of stools.,Yɔɔn cùbte mekwɔ̀ʼɔ.
sp. fish,cúcum
pyjamas,cukúlù
sparrow,cúkwɛ
sound of a big object falling into water,cǔm
He threw himself into the water that “cǔm”.,À cʉmé ntse lê cǔm.
knocker,cùɔ nzẅé
very soft,cûu
The taro is very soft.,Apʉ́a pÿɛ́ɛ lê cûu.
meeting,cúʼtè
goat and other things for the widow’s ceremony,cùʼupfɔ́g
stress,cʉ̀
