ngiemboon,en
"Mezíŋ pàmangʉa njʉ̀’ Yěsô Kristo gẅie aa na ngẅɛ fùɔ Ndavíd, éfóo na ngẅɛ Ábalam e mɔɔn:","The book of the generation of Jesus Christ, the son of David, the son of Abraham."
"Ábalam la zyé Esâg, Esâg zyé Yakwɔ́b, Yakwɔ́b zyé Jẅida pâ mefɛ́ pé.",Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;
"Jẅida zyé Fares pɔ́ Zara, má wɔ́b gwɔ́ Tamar, Fares zyé Esrom, Esrom zyé Aram.",and Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;
"Aram zyé Aminadab, Aminadab zyé Naason, Naason zyé Salmoŋ,",and Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
"Salmoŋ zyé Booz, má pà Booz gwɔ́ Raab, Booz zyé Obed, má pà Obed gwɔ́ Lẅid, Obed zyé Jesé,",and Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
"Jesé zyé fùɔ Ndavíd, fùɔ Ndavíd la zyé Salomo, mbà má pà Salomo láa nzwě Wiri.",and Jesse begat David the king; and David the king begat Solomon of herthat had been the wifeof Urias;
"Salomo zyé Loboam, Loboam zyé Abia, Abia zyé Asaf,",and Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
"Asaf zyé Josafad, Josafad zyé Joram, Joram zyé Ozias,",and Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
"Ozias zyé Joatáŋ, Joatáŋ zyé Asház, Asház zyé Ezékias,",and Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;
"Ezékias zyé Manase, Manase zyé Amoŋ, Amoŋ zyé Josias,",and Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;
"Josias zyé Yekonia pâ mefɛ́ pé. Á gwɔ́ fʉ̀’ ayɛ̌ mé gwoonte pà Israel, pɔ́ cʉ́’ megàŋa tsǎŋa ncù, mé lɔgɔ wɔ́b ńgee Mbabilonia","and Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:"
"Yɛ̂ kwò pʉ̀a tɔ́g, Yekonia zyé Salatiɛl, Salatiɛl zyé Zorobabel,","and after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;"
"Zorobabel zyé Abiud, Abiud zyé Eliakím, Eliakím zyé Azɔr,",and Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;
"Azɔr zyé Sadɔg, Sadɔg zyé Akím, Akím zyé Eliud",and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;
"Eliud zyé Eléazar, Eléazar zyé Matan, Matan zyé Yakwɔ́b,",and Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;
"Yakwɔ́b zyé Yesyɛ̂b, Yesyɛ̂b gwɔ́ ndǔm Malîɛ, Malîɛ gwɔ́ má pà Yěsô gẅie mé tóŋo le*Nzà’nkÿo.","and Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ."
"E lɔgɔ ḿbú ńgwɔ́ mejwoŋó ntsɔ̀b lekùɔ nê legém tà fó ná Ábalam ńgʉa ńkúu nà Ndavíd, ńgíŋe ńgwɔ́ mejwoŋó ntsɔ̀b lekùɔ nê legém tà fó ná Ndavíd ńkúu nà fʉ̀’ gie mé la gwoon pà Israel, pɔ́ cʉ́’ megàŋa tsǎŋa ncù, mé lɔgɔ wɔ́b ńgee Mbabilonia, ḿbɔ́ɔnte mé gíŋe ńgẅiin mejwoŋó ntsɔ̀b lekùɔ nê legém tá ńgʉa ńkúu ná*Nzà’nkÿo",So all the generations from Abraham to Davidarefourteen generations; and from David until the carrying away into Babylonarefourteen generations; and from the carrying away into Babylon unto Christarefourteen generations.
"Wɔɔn aa pá’ á la cʉa pú’u, tá mé zyé Yěsô Kristo. Má wé Malîɛ la gwaa gwɔ́, mbà Yesyɛ̂b kaŋá yé, tà mé zẅíŋ ngie à zɔ́’ɔ yé, tá á nyé té gʉa tà ńkúu mbʉ̀a yé, mé gyá á gwɔ́ shwoŋ, mbà Zẅìge Ndʉalʉ̌a zɔ̌ gÿǒ","Now the birth of Jesus Christ was on this wise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Ghost."
"Àndǔm we Yesyɛ̂b gwɔ́ nyìŋ ńkíbe*lepʉ̌ tɛ’ tá’, ńké té nê ńkwoŋo lékyag nzèm yé tsetsɛ̀ɛ lá’ pá’*lepʉ̌ lá’ sɔ́b né ńzɛ́te pú’u wɔ́, ńně ńkwaŋa pɔ́ pá’ à ge lʉ’ʉ yé pɔ́ tsɛ̀ɛ ntsèm tà nyìŋ le zsé,","Then Joseph her husband, being a justman, and not willing to make her a publick example, was minded to put her away privily."
"ńnyé ńkwaŋa kwaŋ, ńdyé njÿòon ńgyá*cÿɔ́’ Ssé tóŋo yé, ńgɔɔn né yé ngie: Yesyɛ̂b, gu gẅie ɔɔ na ngẅɛ fuɔ Ndavíd, kẅé nzwě gù Malîɛ ńnéŋe ndá té pɔ́g, mélà’mie aa shwoŋ pɛ́’ɛ, mbà Zẅìge Ndʉalʉ̌a zɔ̌ gÿǒ.","But while he thought on these things, behold, the angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Ghost."
"À ge táa zyé múɔ mbàŋa, ɔ̀ tsẅi lezíŋ sé lê Yěsô, ńdɔgɔ ńgɔɔn ngie: Ssé ge gÿo mé tsẅɛ́, é tóŋo yé pú’u, mélà’mie yé zɔ ge gÿo pʉ̀a lá’ pɔ́b tsẅɛ́ ndòon menò tepòŋ mɔ́b","And she shall bring forth a son, and thou shalt call his name JESUS: for he shall save his people from their sins."
Mɔɔn menò lɔgɔ ḿbumte pá’ɔɔn nà shwóŋó gie Cʉ̀apʉ̀a la lɔ́g ncwò Ntsẅì Nkʉ̀ we ńgɔɔn ngie:,"Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying,"
"mè tsẅi lezíŋ sé lê Emanuel, e lɔgɔ ńgɔɔn ngie: «E Ssé ee nùɔ pege».","which being interpreted is, God with us."
"*Cÿɔ́’ Ssé gɔɔn pú’u, Yesyɛ̂b gwɔ́ tà ńzyeen, ńgÿo mmó gie à tsẅǐ né yé, ńkẅé nzwě we ńnéŋe ndá.","Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took unto him his wife:"
"Tá’ pɔ́ yé ké ńdá’ tè nuŋe, tà á gÿo ńzyé múɔ ŋwɛ́, Yesyɛ̂b tsẅi lezíŋ sé lê Yěsô",and knew her not till she had brought forth her firstborn son: and he called his name JESUS.
"Mé gwaa zyé Yěsô á tÿǒsoŋ Mbetélehem á tsɛ̀ɛ pàga ngwòŋ Jẅidea, é gwɔ́ ngù’ fùɔ*Herôd. Á gwɔ́ fʉ̀’ ayɛ̌, etsɔ́ pàzsé nò nà mecÿɔ́’ saŋ fó lá’ pɔ́b mbu’ sǎ’ nèm ńtóo Yerósalem,","Now when Jesus was born in Bethlehem of Judæa in the days of Herod the king, behold, there came wise men from the east to Jerusalem,"
"ńgwá ńkʉ́’ʉ ńzɛ́te ngie: Àfùɔ pà Yuda gẅie mé ka zyé yé la gwɔ́ pɔ́ nzɔ̌ wɔ́? Peg ka tyé lá’ peg mbu’ sǎ’ nèm ńgyá saŋ we, peg tóo pá’ɔɔn léná mekù’ mé.","saying, Where is he that is born King of the Jews? for we have seen his star in the east, and are come to worship him."
"Pɔ́ ne ńgwá ńzɛ́te pú’u, ànò àyɛ̌ gwe metuŋó fùɔ*Herôd, ḿbú ńcu’u twó yé, ńcu’u twó pʉ̀a metsèm tsɛ̀ɛ tÿǒsoŋ Yerósalem.","When Herod the king had heardthese things, he was troubled, and all Jerusalem with him."
"Fùɔ*Herôd leen ńké ńtóŋ*metándá pànùŋe pwɔ́’ pâ*pàkyagte lepʉ̌ Mǒsé tsɛ̀ɛ lá’, ńzɛ́te wɔ́b ngie: Mé la ŋwe’e tsɛ̀ɛ ŋwà’ne Ssé ngie mé ge lá’ zyé*Nzà’nkÿo gẅie Ssé la ka’ á nzɔ̌ jʉ’ʉ?","And when he had gathered all the chief priests and scribes of the people together, he demanded of them where Christ should be born."
"Pɔ́ shwóŋó yé ngie: Mé la ŋwe’e tsɛ̀ɛ ŋwà’ne Ssé ngie mé ge lá’ zyé yé á Mbetélehem, pɔ́ tsɛ̀ɛ ngwòŋ Jẅidea wɔɔn, mélà’mie*ntsẅì nkʉ̀ Ssé la ŋwe’e ngie:","And they said unto him, In Bethlehem of Judæa: for thus it is written by the prophet,"
á nue àfùɔ gẅie à ge lá’ sá’ pʉ̀a pɔ́ɔn pà Israel ge lá’ kẅɛ pɔ́ tsetsɛ̀ɛ pi».,That shall rule my people Israel.
"*Herôd jú’ pú’u, ńtóŋ pàzsé nò nà mecÿɔ́’ saŋ, pâ pɔ́ tyé ntsèm, á zɛ́te wɔ́b ngie: Pi ka zye légyá wɔɔn cÿɔ́’ saŋ tà fó síŋe?","Then Herod, when he had privily called the wise men, enquired of them diligently what time the star appeared."
"Pɔ́ píte shwóŋó yé, á leen ńké ńtúmo wɔ́b Mbetélehem, ńgɔɔn né pɔ́b ngie: Pi gʉa ńcÿó nnɛ́ fa’a múɔ ŋwɛ́ tà ńgyá yé, ńtó shwóŋó wɔ̀ɔn, mèŋ n gʉa yɔ́ɔn ńná mekù’ mé.","And he sent them to Bethlehem, and said, Go and search diligently for the young child; and when ye have foundhim, bring me word again, that I may come and worship him also."
