en,ngiemboon
in,á
he,á
he,à
on,á
she,á
to,á
she,à
a,a-
it’s,aa
it’s,áa
friend,agí
friend,ayí
development,agáʼ
public,agûb
certain,atsɔ̌
other,atsɔ̌
certain,atsɔ́
other,atsɔ́
so be it,aamɛɛn
how are you?,á lekɔ́
a bag.,apɔ̀ɔn;
help,agyɔɔnme
honorific slogan,alálàlǔŋ
why,á nue kɔ́
for what reason,á nue kɔ́
see you tomorrow,à cʉ́ʼ jǔɔ
He is sick.,À ne ńguɔ.
see you soon,à cʉ́ʼ púʼu
see you soon,à cʉʼ wɔ́gɔ̀
see you soon,à cʉ́ʼ fʉ̀ʼʉ yɛ̌
see you tomorrow morning,à cʉ́ʼ mbaʼámbaʼ
see you later,à cʉ́ʼ tsɔ́ fʉ̀ʼ
Friend; come and let's go!,Ayí; tóo peg ɔ̀ gʉa!
Friend; come and eat the bean!,Agí; tóo ḿpfɛ́ɛ mekú!
It’s my friend I’m looking at.,Aa shǔ wɔɔn mie n die.
What you say is correct.,Anò gie ɔ̀ gɔɔn; áa nò.
Where is the other bag?,Atsɔ́ pɔ̀ɔn ya gwɔ́ ɔ́?
They sang until they said “alálàlǔŋ”.,Pɔ́ zɔ̌b tà ngie alálàlǔŋ.
“Aayi”! The nail stuck in my foot.,Aayi! Mbàŋa tʉ̌ kǔ kwò mèŋ.
Where is the partridge sitting? On the ground.,Shʉ́ŋngẅi néŋe nzɔ̌? Á ssé.
Help; the murderer stabbed me!,Àgyɔɔnme; afÿɛ sɔbɔ wɔ́ɔn me!
He prayed until closing with an amen.,À gÿǒ sẅíŋtè tà ńcúme lê aamɛɛn.
He called me; he accepted from downstairs.,À toŋó wɔ́ɔn; á fó tsìŋɔɔn ńzẅíŋ.
He made my things public.,À lɔ̌g shúm sɔ́ɔn ńgÿo shúm agûb.
A certain dog ate all my eggs.,Atsɔ̌ mêngwe pfɛ̌ mbum ngáb mɔ́ɔn ntsèm.
Why do you say I won't eat meat?,Ɔ̀ gɔɔn ngie n těen ńge ḿpfɛ́ mbab wɔ́; á nue kɔ́?
