ngiemboon,en
á,in
á,he
à,he
á,on
á,she
á,to
à,she
a-,a
aa,it’s
áa,it’s
agí,friend
ayí,friend
agáʼ,development
agûb,public
atsɔ̌,certain
atsɔ̌,other
atsɔ́,certain
atsɔ́,other
aamɛɛn,so be it
á lekɔ́,how are you?
apɔ̀ɔn;,a bag.
agyɔɔnme,help
alálàlǔŋ,honorific slogan
á nue kɔ́,why
á nue kɔ́,for what reason
à cʉ́ʼ jǔɔ,see you tomorrow
À ne ńguɔ.,He is sick.
à cʉ́ʼ púʼu,see you soon
à cʉʼ wɔ́gɔ̀,see you soon
à cʉ́ʼ fʉ̀ʼʉ yɛ̌,see you soon
à cʉ́ʼ mbaʼámbaʼ,see you tomorrow morning
à cʉ́ʼ tsɔ́ fʉ̀ʼ,see you later
Ayí; tóo peg ɔ̀ gʉa!,Friend; come and let's go!
Agí; tóo ḿpfɛ́ɛ mekú!,Friend; come and eat the bean!
Aa shǔ wɔɔn mie n die.,It’s my friend I’m looking at.
Anò gie ɔ̀ gɔɔn; áa nò.,What you say is correct.
Atsɔ́ pɔ̀ɔn ya gwɔ́ ɔ́?,Where is the other bag?
Pɔ́ zɔ̌b tà ngie alálàlǔŋ.,They sang until they said “alálàlǔŋ”.
Aayi! Mbàŋa tʉ̌ kǔ kwò mèŋ.,“Aayi”! The nail stuck in my foot.
Shʉ́ŋngẅi néŋe nzɔ̌? Á ssé.,Where is the partridge sitting? On the ground.
Àgyɔɔnme; afÿɛ sɔbɔ wɔ́ɔn me!,Help; the murderer stabbed me!
À gÿǒ sẅíŋtè tà ńcúme lê aamɛɛn.,He prayed until closing with an amen.
À toŋó wɔ́ɔn; á fó tsìŋɔɔn ńzẅíŋ.,He called me; he accepted from downstairs.
À lɔ̌g shúm sɔ́ɔn ńgÿo shúm agûb.,He made my things public.
Atsɔ̌ mêngwe pfɛ̌ mbum ngáb mɔ́ɔn ntsèm.,A certain dog ate all my eggs.
Ɔ̀ gɔɔn ngie n těen ńge ḿpfɛ́ mbab wɔ́; á nue kɔ́?,Why do you say I won't eat meat?
