en,ngiemboon
I,e
atomic number 2,e
I,m
ane,m
i,e
ace,m
single,e
helium,à
one,e
atomic number 53,m
one,m
iodine,m
 »,»
iodin,m
helium,e
ane,e
ace,e
helium,á
helium,é
1,e
he,á
atomic number 53,e
he,é
He,á
He,é
1,m
iodine,e
he,à
unity,e
He,à
i,m
atomic number 2,á
iodin,e
atomic number 2,é
unity,m
atomic number 2,à
single,m
he,e
He,e
disco biscuit,lò
sty,kì
railroad tie,là
get,lò
you yourself,gù
XTC,lò
granitic,fà
strong wine,hà
turn,lò
travel,lò
name,kí
some,e-
key,kí
Key,kí
fling,lò
rope,ká
give-up the ghost,lò
profoundness,cú
roughly,m-
invitation,gú
do it,kǔ
question mark,ka
conk out,lò
ne'er,le
non,le
Adam,lò
for you,jú
adenine,a-
go away,lò
Mexican valium,ká
function,lò
connect,là
helium,ḿ-
operate,lò
hit the hay,kǔ
bind,là
A,m-
flinty,fà
vitamin A,m-
rifle,lò
live on,lò
linkup,là
that one,gi
marry,là
antiophthalmic factor,m-
some,m-
winder,kí
stony,fà
you also,gí
fit,lò
circulate,ká
standoff,là
kick the bucket,lò
sleep together,kǔ
all the same,ké
amp,m-
loanword,fù
at that place,li
retire,kǔ
close to,e-
group A,m-
there,li
encircle,ká
round,ká
angstrom,m-
about,e-
give out,lò
lot,ká
identify,kí
X,lò
forget me drug,ká
all the same,fó
today past,ḿ-
get,má
A,a-
describe,kí
mother,má
those ... there,gi
pass,lò
eff,kǔ
bottom,kǔ
get it on,kǔ
ecstasy,lò
vitamin A,a-
circle,ká
tour,lò
cay,kí
start,lò
run low,lò
work,lò
endure,lò
axerophthol,m-
become,lò
expire,lò
beget,má
about,m-
deoxyadenosine monophosphate,m-
amp,a-
attach,là
love,kǔ
proceed,lò
decease,lò
bond,là
offer,lò
traffic circle,ká
overprotect,má
fundamental,kí
group A,a-
engender,má
blend in,lò
roll in the hay,kǔ
sleep with,kǔ
just about,e-
in that respect,li
have intercourse,kǔ
angstrom,a-
spell,lò
key fruit,kí
belong,lò
break down,lò
crosstie,là
tie beam,là
not,le
croak,lò
paint,kí
bonk,kǔ
keystone,kí
on that point,li
hold out,lò
thither,li
samara,kí
jazz,kǔ
angstrom unit,m-
choke,lò
sleeper,là
perish,lò
axerophthol,a-
bring forth,má
ampere,m-
just about,m-
a,m-
habit that is almost impossible to change,mà
survive,lò
deoxyadenosine monophosphate,a-
in that location,li
pass away,lò
last,lò
headstone,kí
go to sleep,kǔ
blend,lò
that one there,gi
lie with,kǔ
primal,kí
bang,kǔ
rotary,ká
have sex,kǔ
material that helps light a fire,fà
tonality,kí
never,le
Florida key,kí
go bad,lò
band,ká
roofy,ká
link,là
he,ḿ-
tie,là
or so,e-
plump,lò
hump,kǔ
run,lò
sound of air going quickly by,gû
for you,gí
lend,fù
He,ḿ-
type A,a-
cristal,lò
obdurate,fà
tie-in,là
hug drug,lò
kip down,kǔ
father,má
buy the farm,lò
distant past,la
angstrom unit,a-
tube whistle,cǔ
female parent,má
set,ká
necktie,là
tie-up,là
ampere,a-
R-2,ká
seam,kǔ
a,a-
link up,là
circuit,ká
tomorrow future,lu
roach,ká
have it off,kǔ
know,kǔ
those there,gi
those ... there,ma
or so,m-
hit the sack,kǔ
draw,là
lap,ká
loan,fù
have a go at it,kǔ
association,là
extend,lò
atomic number 2,ḿ-
get laid,kǔ
fuss,má
close to,m-
depth,cú
dress circle,ká
move,lò
make love,kǔ
helium,é-
generate,má
pop off,lò
around,e-
perfective counter-expectation today past,kě
crack,lò
give way,lò
Flint,fà
conk,lò
that ... there,gi
wed,là
profundity,cú
die,lò
have it away,kǔ
bed,kǔ
he,é-
screw,kǔ
snuff it,lò
hold up,lò
yesterday past,ka
locomote,lò
splice,là
crawl in,kǔ
central,kí
be intimate,kǔ
pigpen,kì
fail,lò
He,é-
sound,lò
Francis Scott Key,kí
go to bed,kǔ
already,lǎ
run short,lò
layer,kǔ
immediate future,ge
break,lò
around,m-
turn in,kǔ
flint,fà
live,lò
go,lò
type A,m-
approximately,e-
more or less,e-
antiophthalmic factor,a-
go game,lò
today past,é-
exit,lò
fuck,kǔ
distinguish,kí
affiliation,là
roundabout,ká
lead,lò
get going,lò
astuteness,cú
rophy,ká
adenine,m-
depart,lò
atomic number 2,é-
roughly,e-
cash in one's chips,lò
deepness,cú
key out,kí
sire,má
sack out,kǔ
discover,kí
pigsty,kì
whirl,lò
cardinal,kí
Flint River,fà
drop dead,lò
approximately,m-
more or less,m-
make out,kǔ
mixed bag,cùb
bill,mâg
neckband,lóŋ
coke,éfa
sidekick,fɛ́
berth,lǎg
chat,gág
grow,ésa
number,ésa
rotted,lʉ̌
unwellness,guɔ
piece of work,fàʼ
admirer,agí
shed,ésa
cristal,lɔ̀
bank note,mâg
sleeve,lúʼ
something found,fùʼ
bum,jʉʼ
comparability,làa
smudge,lǎg
crapper,lʉŋ
fecal matter,leŋ
evaporate,ésí
irascibility,mbá
that one,gẅi
hug drug,lɔ̀
A,le-
intermixture,cùb
yell,gwá
buy the farm,lɔ̀
pipework,káb
gourmandize,éfa
chew the fat,gág
hooey,éfa
very distant future,láʼ
