ngiemboon,en
e,I
e,atomic number 2
m,I
m,ane
e,i
m,ace
e,single
à,helium
e,one
m,atomic number 53
m,one
m,iodine
», »
m,iodin
e,helium
e,ane
e,ace
á,helium
é,helium
e,1
á,he
e,atomic number 53
é,he
á,He
é,He
m,1
e,iodine
à,he
e,unity
à,He
m,i
á,atomic number 2
e,iodin
é,atomic number 2
m,unity
à,atomic number 2
m,single
e,he
e,He
lò,disco biscuit
kì,sty
là,railroad tie
lò,get
gù,you yourself
lò,XTC
fà,granitic
hà,strong wine
lò,turn
lò,travel
kí,name
e-,some
kí,key
kí,Key
lò,fling
ká,rope
lò,give-up the ghost
cú,profoundness
m-,roughly
gú,invitation
kǔ,do it
ka,question mark
lò,conk out
le,ne'er
le,non
lò,Adam
jú,for you
a-,adenine
lò,go away
ká,Mexican valium
lò,function
là,connect
ḿ-,helium
lò,operate
kǔ,hit the hay
là,bind
m-,A
fà,flinty
m-,vitamin A
lò,rifle
lò,live on
là,linkup
gi,that one
là,marry
m-,antiophthalmic factor
m-,some
kí,winder
fà,stony
gí,you also
lò,fit
ká,circulate
là,standoff
lò,kick the bucket
kǔ,sleep together
ké,all the same
m-,amp
fù,loanword
li,at that place
kǔ,retire
e-,close to
m-,group A
li,there
ká,encircle
ká,round
m-,angstrom
e-,about
lò,give out
ká,lot
kí,identify
lò,X
ká,forget me drug
fó,all the same
ḿ-,today past
má,get
a-,A
kí,describe
má,mother
gi,those ... there
lò,pass
kǔ,eff
kǔ,bottom
kǔ,get it on
lò,ecstasy
a-,vitamin A
ká,circle
lò,tour
kí,cay
lò,start
lò,run low
lò,work
lò,endure
m-,axerophthol
lò,become
lò,expire
má,beget
m-,about
m-,deoxyadenosine monophosphate
a-,amp
là,attach
kǔ,love
lò,proceed
lò,decease
là,bond
lò,offer
ká,traffic circle
má,overprotect
kí,fundamental
a-,group A
má,engender
lò,blend in
kǔ,roll in the hay
kǔ,sleep with
e-,just about
li,in that respect
kǔ,have intercourse
a-,angstrom
lò,spell
kí,key fruit
lò,belong
lò,break down
là,crosstie
là,tie beam
le,not
lò,croak
kí,paint
kǔ,bonk
kí,keystone
li,on that point
lò,hold out
li,thither
kí,samara
kǔ,jazz
m-,angstrom unit
lò,choke
là,sleeper
lò,perish
a-,axerophthol
má,bring forth
m-,ampere
m-,just about
m-,a
mà,habit that is almost impossible to change
lò,survive
a-,deoxyadenosine monophosphate
li,in that location
lò,pass away
lò,last
kí,headstone
kǔ,go to sleep
lò,blend
gi,that one there
kǔ,lie with
kí,primal
kǔ,bang
ká,rotary
kǔ,have sex
fà,material that helps light a fire
kí,tonality
le,never
kí,Florida key
lò,go bad
ká,band
ká,roofy
là,link
ḿ-,he
là,tie
e-,or so
lò,plump
kǔ,hump
lò,run
gû,sound of air going quickly by
gí,for you
fù,lend
ḿ-,He
a-,type A
lò,cristal
fà,obdurate
là,tie-in
lò,hug drug
kǔ,kip down
má,father
lò,buy the farm
la,distant past
a-,angstrom unit
cǔ,tube whistle
má,female parent
ká,set
là,necktie
là,tie-up
a-,ampere
ká,R-2
kǔ,seam
a-,a
là,link up
ká,circuit
lu,tomorrow future
ká,roach
kǔ,have it off
kǔ,know
gi,those there
ma,those ... there
m-,or so
kǔ,hit the sack
là,draw
ká,lap
fù,loan
kǔ,have a go at it
là,association
lò,extend
ḿ-,atomic number 2
kǔ,get laid
má,fuss
m-,close to
cú,depth
ká,dress circle
lò,move
kǔ,make love
é-,helium
má,generate
lò,pop off
e-,around
kě,perfective counter-expectation today past
lò,crack
lò,give way
fà,Flint
lò,conk
gi,that ... there
là,wed
cú,profundity
lò,die
kǔ,have it away
kǔ,bed
é-,he
kǔ,screw
lò,snuff it
lò,hold up
ka,yesterday past
lò,locomote
là,splice
kǔ,crawl in
kí,central
kǔ,be intimate
kì,pigpen
lò,fail
é-,He
lò,sound
kí,Francis Scott Key
kǔ,go to bed
lǎ,already
lò,run short
kǔ,layer
ge,immediate future
lò,break
m-,around
kǔ,turn in
fà,flint
lò,live
lò,go
m-,type A
e-,approximately
e-,more or less
a-,antiophthalmic factor
lò,go game
é-,today past
lò,exit
kǔ,fuck
kí,distinguish
là,affiliation
ká,roundabout
lò,lead
lò,get going
cú,astuteness
ká,rophy
m-,adenine
lò,depart
é-,atomic number 2
e-,roughly
lò,cash in one's chips
cú,deepness
kí,key out
má,sire
kǔ,sack out
kí,discover
kì,pigsty
lò,whirl
kí,cardinal
fà,Flint River
lò,drop dead
m-,approximately
m-,more or less
kǔ,make out
cùb,mixed bag
mâg,bill
lóŋ,neckband
éfa,coke
fɛ́,sidekick
lǎg,berth
gág,chat
ésa,grow
ésa,number
lʉ̌,rotted
guɔ,unwellness
fàʼ,piece of work
agí,admirer
ésa,shed
lɔ̀,cristal
mâg,bank note
lúʼ,sleeve
fùʼ,something found
jʉʼ,bum
làa,comparability
lǎg,smudge
lʉŋ,crapper
leŋ,fecal matter
ésí,evaporate
mbá,irascibility
gẅi,that one
lɔ̀,hug drug
le-,A
cùb,intermixture
gwá,yell
lɔ̀,buy the farm
káb,pipework
éfa,gourmandize
gág,chew the fat
éfa,hooey
láʼ,very distant future
fùʼ,prize
jÿó,dish antenna
leŋ,BM
fàʼ,work
léŋ,sway
lǎg,pick out
mbá,lien
ésa,call on
káb,pipage
lǎg,relieve oneself
éfá,rumple
gʉ̌,transfuse
le-,vitamin A
káb,shrill
kim,egoist
lìi,select
ffó,suppuration
máa,braggy
lʉ̌,rotten
kǔʼ,taro root
jùa,aluminum
káb,pipe
ésí,dethaw
ésí,mellow out
làa,compare
gwá,watchword
káŋ,home plate
agí,acquaintance
ffo,medicine
éfa,material
fùb,sound of an instrument buried in a moist body
le-,antiophthalmic factor
láʼ,Greenwich Village
lùɔ,character
ésa,tumble
lʉŋ,faecal matter
lùa,select
ésa,scatter
fùɔ,B. B. King
éfa,fluff
lẅè,bile
lém,cloud
kwò,Tyre
gyě,taste perception
kùb,lip
lùa,prime
kéŋ,sound of a bell ringing
lǎg,point
éfa,scarf out
éfa,go down on
kwò,hoof
éfa,cast
gág,chew out
gàb,share-out
gwá,exclaim
láʼ,mass
làŋ,black bean aphid
jÿó,saucer
gem,hole
agí,protagonist
léŋ,swing over
jʉʼ,tooshie
máa,with child
máa,boastful
lwò,pull up stakes
lâm,lamp
leŋ,defecate
lʉŋ,take a crap
ésa,plough
kab,pigpen
làa,comparison
kẅǐ,off-white
lwò,leave-taking
fóm,strong wind
ffó,sp. ant
máa,openhanded
lwò,forget
lʉŋ,fecal matter
fʉ̌,shin
fàʼ,crop
lǎg,pool
ffo,medical specialty
lǎg,position
máa,bounteous
kyé,coal
éfa,overindulge
ḿbá,handle
ayí,friend
cùb,miscellanea
ésa,propagate
ḿbá,cover
leŋ,crap
fɛ́,chum
lʉŋ,BM
fàʼ,body of work
láa,how much?
fúɔ,louse
gwá,scream
léŋ,sweep
le-,amp
kèm,stamp
ésa,change by reversal
cʉ̀,tenseness
gyě,appreciation
léŋ,jive
lùɔ,choice
kʉ́,strange
léŋ,lilt
máa,prominent
fàʼ,exercise
éfa,setback
gwá,squall
gʉ̌,cupful
lwò,parting
ésa,wasteweir
lém,sprightliness
ésa,run out
máa,big
leŋ,commode
ffo,medicament
lǎg,spend a penny
éfa,shoot a line
lɔ̀,extend
kẅǐ,osseous tissue
cùb,mix
gwá,shout out
láʼ,masses
éfa,barf
kìm,piece of meat
fɛ́,buddy
éfa,muck up
jʉʼ,backside
ayí,acquaintance
gẅí,for you
fùɔ,Martin Luther King Jr.
fùɔ,mogul
jÿó,ravisher
kwò,invertebrate foot
le-,group A
gág,manducate
jʉʼ,stern
lɔ̀,move
ḿbá,think
gyě,sample
lém,life
lǎg,stain
kʉ́,little
éfú,be foolish
kîɛ,sound of cloth ripping
éfa,squander
lùa,character
lém,haze over
ésa,splatter
lùɔ,quality
gáŋ,part of the thorax
cÿó,shortage
gwá,battle cry
ésa,rick
fàʼ,do work
lʉŋ,defecate
háb,one-half
le-,angstrom
mâg,observe
ésí,melting
lìi,calibre
léŋ,cut
kʉ́,pocket-size
mâg,banker's bill
kùb,bureau
éfa,brag
lɔ̀,pop off
lǎg,wee
ffó,ichor
fùʼ,value
lǎg,pee-pee
éfa,blow out
ésí,fade
fúʼ,valley
lóŋ,choker
ésa,broadcast
lʉŋ,crap
éfa,throw up
ésa,turn over
lùa,calibre
lìi,tone
fùɔ,queen
jÿó,bag
ésa,reverse
lwò,go out
ésa,sour
lʉ̌,shitty
lìi,prize
lɔ̀,crack
léŋ,dangle
leŋ,ca-ca
éfa,fuck up
cùb,mixing
ésa,go
kwò,groundwork
fʉ̀,blind person
káŋ,plate
éfa,bumble
éfa,flub
fʉ̌,tibia
ésa,dust
lʉŋ,commode
éfá,weave
kʉŋ,barrier
ésí,be clean
lɔ̀,give way
