en,ngiemboon
"The book of the generation of Jesus Christ, the son of David, the son of Abraham.","Mezíŋ pàmangʉa njʉ̀’ Yěsô Kristo gẅie aa na ngẅɛ fùɔ Ndavíd, éfóo na ngẅɛ Ábalam e mɔɔn:"
Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;,"Ábalam la zyé Esâg, Esâg zyé Yakwɔ́b, Yakwɔ́b zyé Jẅida pâ mefɛ́ pé."
and Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;,"Jẅida zyé Fares pɔ́ Zara, má wɔ́b gwɔ́ Tamar, Fares zyé Esrom, Esrom zyé Aram."
and Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;,"Aram zyé Aminadab, Aminadab zyé Naason, Naason zyé Salmoŋ,"
and Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;,"Salmoŋ zyé Booz, má pà Booz gwɔ́ Raab, Booz zyé Obed, má pà Obed gwɔ́ Lẅid, Obed zyé Jesé,"
and Jesse begat David the king; and David the king begat Solomon of herthat had been the wifeof Urias;,"Jesé zyé fùɔ Ndavíd, fùɔ Ndavíd la zyé Salomo, mbà má pà Salomo láa nzwě Wiri."
and Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;,"Salomo zyé Loboam, Loboam zyé Abia, Abia zyé Asaf,"
and Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;,"Asaf zyé Josafad, Josafad zyé Joram, Joram zyé Ozias,"
and Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;,"Ozias zyé Joatáŋ, Joatáŋ zyé Asház, Asház zyé Ezékias,"
and Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;,"Ezékias zyé Manase, Manase zyé Amoŋ, Amoŋ zyé Josias,"
"and after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;","Yɛ̂ kwò pʉ̀a tɔ́g, Yekonia zyé Salatiɛl, Salatiɛl zyé Zorobabel,"
and Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;,"Zorobabel zyé Abiud, Abiud zyé Eliakím, Eliakím zyé Azɔr,"
and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;,"Azɔr zyé Sadɔg, Sadɔg zyé Akím, Akím zyé Eliud"
and Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;,"Eliud zyé Eléazar, Eléazar zyé Matan, Matan zyé Yakwɔ́b,"
"and Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.","Yakwɔ́b zyé Yesyɛ̂b, Yesyɛ̂b gwɔ́ ndǔm Malîɛ, Malîɛ gwɔ́ má pà Yěsô gẅie mé tóŋo le*Nzà’nkÿo."
"Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying,",Mɔɔn menò lɔgɔ ḿbumte pá’ɔɔn nà shwóŋó gie Cʉ̀apʉ̀a la lɔ́g ncwò Ntsẅì Nkʉ̀ we ńgɔɔn ngie:
"which being interpreted is, God with us.","mè tsẅi lezíŋ sé lê Emanuel, e lɔgɔ ńgɔɔn ngie: «E Ssé ee nùɔ pege»."
"Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took unto him his wife:","*Cÿɔ́’ Ssé gɔɔn pú’u, Yesyɛ̂b gwɔ́ tà ńzyeen, ńgÿo mmó gie à tsẅǐ né yé, ńkẅé nzwě we ńnéŋe ndá."
and knew her not till she had brought forth her firstborn son: and he called his name JESUS.,"Tá’ pɔ́ yé ké ńdá’ tè nuŋe, tà á gÿo ńzyé múɔ ŋwɛ́, Yesyɛ̂b tsẅi lezíŋ sé lê Yěsô"
"When Herod the king had heardthese things, he was troubled, and all Jerusalem with him.","Pɔ́ ne ńgwá ńzɛ́te pú’u, ànò àyɛ̌ gwe metuŋó fùɔ*Herôd, ḿbú ńcu’u twó yé, ńcu’u twó pʉ̀a metsèm tsɛ̀ɛ tÿǒsoŋ Yerósalem."
That shall rule my people Israel.,á nue àfùɔ gẅie à ge lá’ sá’ pʉ̀a pɔ́ɔn pà Israel ge lá’ kẅɛ pɔ́ tsetsɛ̀ɛ pi».
"When they saw the star, they rejoiced with exceeding great joy.","Pɔ́ gyá pú’u, ḿbú ńkág tɛ’,"
"When he arose, he took the young child and his mother by night, and departed into Egypt:","Yesyɛ̂b lu ssé pɔ́ letsẅɛ́’, ńkaa múɔ, pâ mápfò gʉa lê tsɛ̀ɛ ngwòŋ Egipto,"
"Then was fulfilled that which was spoken by Jeremy the prophet, saying,","Á lɔgɔ pú’u, ḿbumte nà nò gie Yeremi,*ntsẅì nkʉ̀ Ssé la tʉ́ njÿó ńgɔɔn ngie:"
"And would not be comforted, because they are not.",Á pú tè né ńkwoŋo ngie mé tsí’i ntse nÿɔ́g mé wɔ́».
"But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt,","*Herôd la gwɔ́ tà ńkwé, Yesyɛ̂b lyé njÿòon Egipto, ńgyá àtsɔ̌*Cÿɔ́’ Cʉ̀apʉ̀a tó,"
"And he arose, and took the young child and his mother, and came into the land of Israel.","Yesyɛ̂b lu ssé, ńkáa múɔ, pâ mápfò ne ḿbiŋe nzèm né tsɛ̀ɛ ngwòŋ Israel,"
"In those days came John the Baptist, preaching in the wilderness of Judæa,","Á zye ńnéŋe, Jâŋ Mbabtis kẅɛɛ nkwòŋo tsẅɛ Jẅidea, ńně sá’a ngie:"
"and saying, Repent ye: for the kingdom of heaven is at hand.","Pi kúbe mà gẅi, á nue àfʉ̀’ gie Ssé ge nyɛ lefùɔ sé tsoté tà ne ḿbɔ́ɔnte."
Make his paths straight.,ńgÿo melyěen nzsè mé e tyé ndʉŋ ndʉŋ».
"Then went out to him Jerusalem, and all Judæa, and all the region round about Jordan,","Epʉ̀a ně fóo Yerósalem, éfóo Jẅidea, mbɔɔ ná pàga ngwòŋ gie áa ngʉ̀ŋe ntse Jurdeŋ, ńtóo, ńgyá Jâŋ,"
"and were baptized of him in Jordan, confessing their sins.","ńtyé mvfò mânyìŋ ntsèm, ńzẅíŋe meno tepoŋ mɔ́b, á nu’u wɔ́b tsɛ̀ɛ ntse Jurdeŋ."
