en,ngiemboon
atomic number 2,à
unity,m
ace,e
I,e
he,e
1,e
i,m
single,m
atomic number 2,á
one,m
ane,e
He,à
i,e
he,á
helium,à
iodine,m
iodin,m
atomic number 53,e
He,á
helium,á
iodine,e
He,é
helium,é
ace,m
I,m
1,m
atomic number 2,e
 »,»
he,à
unity,e
ane,m
atomic number 2,é
single,e
one,e
He,e
atomic number 53,m
he,é
helium,e
iodin,e
in that respect,li
run short,lò
work,lò
angstrom,a-
angstrom,m-
all the same,fó
bring forth,má
X,lò
rope,ká
he,ḿ-
Key,kí
just about,e-
break down,lò
plump,lò
XTC,lò
name,kí
around,m-
splice,là
granitic,fà
get it on,kǔ
lead,lò
jazz,kǔ
female parent,má
roundabout,ká
attach,là
have sex,kǔ
circulate,ká
go bad,lò
endure,lò
tomorrow future,lu
go to sleep,kǔ
fit,lò
sack out,kǔ
affiliation,là
retire,kǔ
keystone,kí
discover,kí
distant past,la
today past,ḿ-
conk,lò
mother,má
loanword,fù
group A,a-
ne'er,le
group A,m-
tie-up,là
or so,m-
get,má
roll in the hay,kǔ
blend in,lò
lie with,kǔ
bang,kǔ
circuit,ká
sound,lò
proceed,lò
kick the bucket,lò
whirl,lò
band,ká
key out,kí
close to,e-
axerophthol,a-
never,le
axerophthol,m-
approximately,m-
vitamin A,a-
some,e-
vitamin A,m-
fundamental,kí
bed,kǔ
exit,lò
standoff,là
traffic circle,ká
make out,kǔ
type A,a-
there,li
type A,m-
pop off,lò
headstone,kí
loan,fù
dress circle,ká
on that point,li
crawl in,kǔ
layer,kǔ
roughly,m-
roach,ká
material that helps light a fire,fà
Adam,lò
obdurate,fà
hit the sack,kǔ
disco biscuit,lò
strong wine,hà
draw,là
amp,a-
amp,m-
cash in one's chips,lò
tie-in,là
perish,lò
snuff it,lò
necktie,là
get,lò
be intimate,kǔ
love,kǔ
go,lò
blend,lò
for you,jú
at that place,li
run low,lò
more or less,e-
crack,lò
belong,lò
do it,kǔ
pass,lò
lot,ká
sty,kì
all the same,ké
cristal,lò
tie beam,là
cay,kí
lend,fù
profoundness,cú
operate,lò
give out,lò
buy the farm,lò
distinguish,kí
depart,lò
flint,fà
overprotect,má
offer,lò
sleep with,kǔ
pigpen,kì
not,le
rophy,ká
describe,kí
identify,kí
set,ká
get going,lò
go game,lò
fuss,má
astuteness,cú
hug drug,lò
go to bed,kǔ
function,lò
A,a-
A,m-
question mark,ka
beget,má
you also,gí
adenine,a-
adenine,m-
have intercourse,kǔ
live on,lò
become,lò
stony,fà
angstrom unit,a-
seam,kǔ
key fruit,kí
thither,li
angstrom unit,m-
get laid,kǔ
about,m-
around,e-
Flint River,fà
bottom,kǔ
tour,lò
habit that is almost impossible to change,mà
central,kí
locomote,lò
bind,là
make love,kǔ
move,lò
R-2,ká
primal,kí
conk out,lò
marry,là
ampere,a-
die,lò
fling,lò
ampere,m-
give way,lò
Francis Scott Key,kí
just about,m-
cardinal,kí
spell,lò
circle,ká
paint,kí
key,kí
those there,gi
tube whistle,cǔ
atomic number 2,é-
winder,kí
railroad tie,là
last,lò
rifle,lò
you yourself,gù
that one there,gi
hump,kǔ
association,là
survive,lò
non,le
or so,e-
linkup,là
already,lǎ
fail,lò
Florida key,kí
link up,là
break,lò
sleeper,là
round,ká
antiophthalmic factor,a-
antiophthalmic factor,m-
croak,lò
have a go at it,kǔ
hold up,lò
He,ḿ-
approximately,e-
Mexican valium,ká
bond,là
crosstie,là
have it off,kǔ
Flint,fà
forget me drug,ká
those ... there,ma
know,kǔ
wed,là
hit the hay,kǔ
he,é-
fuck,kǔ
father,má
helium,ḿ-
start,lò
roughly,e-
flinty,fà
for you,gí
those ... there,gi
deoxyadenosine monophosphate,a-
close to,m-
deoxyadenosine monophosphate,m-
hold out,lò
screw,kǔ
some,m-
deepness,cú
immediate future,ge
decease,lò
turn in,kǔ
encircle,ká
tie,là
bonk,kǔ
sound of air going quickly by,gû
profundity,cú
sire,má
He,é-
ecstasy,lò
in that location,li
generate,má
depth,cú
that ... there,gi
a,a-
a,m-
turn,lò
samara,kí
eff,kǔ
roofy,ká
lap,ká
helium,é-
run,lò
today past,é-
yesterday past,ka
that one,gi
link,là
live,lò
go away,lò
have it away,kǔ
drop dead,lò
rotary,ká
pigsty,kì
pass away,lò
more or less,m-
kip down,kǔ
perfective counter-expectation today past,kě
atomic number 2,ḿ-
connect,là
give-up the ghost,lò
extend,lò
travel,lò
expire,lò
tonality,kí
sleep together,kǔ
choke,lò
engender,má
invitation,gú
about,e-
make,leŋ
overawe,fòŋ
exit,lwò
tour,ésa
lilt,léŋ
pinch,lóŋ
bark,kùb
pigsty,kab
shoe collar,lóŋ
sassing,kùb
malady,guɔ
shit,lʉŋ
poison,liʼ
look,lém
nutrient,kǔʼ
endure,lɔ̀
bout,ésa
bureau,kùb
portion out,gàb
pipework,káb
supporter,ayí
electric fan,fàa
crapper,lʉŋ
think,ḿbá
overeat,éfa
arm,lúʼ
locomote,lɔ̀
loan,éfu
large,máa
handbasket,kàg
rick,ésa
grind away,kẅǐ
botch up,éfa
diminished,kʉ́
for you,gẅí
fit,lɔ̀
dangle,léŋ
pirouette,ésa
handsome,máa
leave-taking,lwò
conk out,lɔ̀
ally,agí
dearth,cÿó
Sur,kwò
blob,lǎg
feathering,ffo
blade,gwà
nausea,guɔ
sit down,jʉʼ
axerophthol,le-
fling,lɔ̀
illness,guɔ
screw thread,éfá
crapper,leŋ
vitamin A,le-
conceive,ḿbá
music,ffo
sound of feet striking the ground,lêŋ
pocket-sized,kʉ́
strain,cʉ̀
put to work,fàʼ
tail,jʉʼ
work,ésa
sound of cloth ripping,kîɛ
thorax,kùb
seam,éfá
take a shit,lʉŋ
gustation,gyě
booster,ayí
heart,lém
buns,jʉʼ
spell,ésa
hollow,gem
dish up,jÿó
prize,lìi
unthaw,ésí
spirit,lém
value,fùʼ
conk,lɔ̀
go away,lwò
prize,lùa
pocket-size,kʉ́
type A,le-
mediation,kěm
cholera,kǔa
figure out,fàʼ
champion,agí
mix,cùb
setback,éfa
mix up,kèm
loving cup,gʉ̌
line,mâg
character,lùɔ
preference,gyě
take a shit,leŋ
sickness,guɔ
criminal conversation,gɛ́
purgation,éfa
have words,gág
looker,jÿó
weep,gwá
flush,éfa
be adrift,éfa
medicament,ffo
part of a dividing up,kìm
hind end,jʉʼ
comparability,làa
half,háb
emotional state,lém
platitude,cʉ̀
foot,kwò
savour,gyě
unfreeze,ésí
shin bone,fʉ̌
criminal conversation,gàb
lineament,lìi
pectus,kùb
oeuvre,fàʼ
haemophiliac,fàa
tone,lìi
plough,ésa
gastritis,lÿò
blend in,lɔ̀
blower,fàa
lineament,lùa
remonstrate,gág
gormandise,éfa
tone,lùa
mess up,éfa
dish aerial,jÿó
rifle,lɔ̀
miscellany,cùb
partake,gàb
quality,lùɔ
understructure,kwò
spoil,éfa
back talk,kùb
sp. mushroom with large head and long stem,gúʼ
salmagundi,cùb
small-scale,kʉ́
defile,lém
proceed,lɔ̀
ivory,kẅǐ
turn over,ésa
