ngiemboon,en
à,atomic number 2
m,unity
e,ace
e,I
e,he
e,1
m,i
m,single
á,atomic number 2
m,one
e,ane
à,He
e,i
á,he
à,helium
m,iodine
m,iodin
e,atomic number 53
á,He
á,helium
e,iodine
é,He
é,helium
m,ace
m,I
m,1
e,atomic number 2
», »
à,he
e,unity
m,ane
é,atomic number 2
e,single
e,one
e,He
m,atomic number 53
é,he
e,helium
e,iodin
li,in that respect
lò,run short
lò,work
a-,angstrom
m-,angstrom
fó,all the same
má,bring forth
lò,X
ká,rope
ḿ-,he
kí,Key
e-,just about
lò,break down
lò,plump
lò,XTC
kí,name
m-,around
là,splice
fà,granitic
kǔ,get it on
lò,lead
kǔ,jazz
má,female parent
ká,roundabout
là,attach
kǔ,have sex
ká,circulate
lò,go bad
lò,endure
lu,tomorrow future
kǔ,go to sleep
lò,fit
kǔ,sack out
là,affiliation
kǔ,retire
kí,keystone
kí,discover
la,distant past
ḿ-,today past
lò,conk
má,mother
fù,loanword
a-,group A
le,ne'er
m-,group A
là,tie-up
m-,or so
má,get
kǔ,roll in the hay
lò,blend in
kǔ,lie with
kǔ,bang
ká,circuit
lò,sound
lò,proceed
lò,kick the bucket
lò,whirl
ká,band
kí,key out
e-,close to
a-,axerophthol
le,never
m-,axerophthol
m-,approximately
a-,vitamin A
e-,some
m-,vitamin A
kí,fundamental
kǔ,bed
lò,exit
là,standoff
ká,traffic circle
kǔ,make out
a-,type A
li,there
m-,type A
lò,pop off
kí,headstone
fù,loan
ká,dress circle
li,on that point
kǔ,crawl in
kǔ,layer
m-,roughly
ká,roach
fà,material that helps light a fire
lò,Adam
fà,obdurate
kǔ,hit the sack
lò,disco biscuit
hà,strong wine
là,draw
a-,amp
m-,amp
lò,cash in one's chips
là,tie-in
lò,perish
lò,snuff it
là,necktie
lò,get
kǔ,be intimate
kǔ,love
lò,go
lò,blend
jú,for you
li,at that place
lò,run low
e-,more or less
lò,crack
lò,belong
kǔ,do it
lò,pass
ká,lot
kì,sty
ké,all the same
lò,cristal
là,tie beam
kí,cay
fù,lend
cú,profoundness
lò,operate
lò,give out
lò,buy the farm
kí,distinguish
lò,depart
fà,flint
má,overprotect
lò,offer
kǔ,sleep with
kì,pigpen
le,not
ká,rophy
kí,describe
kí,identify
ká,set
lò,get going
lò,go game
má,fuss
cú,astuteness
lò,hug drug
kǔ,go to bed
lò,function
a-,A
m-,A
ka,question mark
má,beget
gí,you also
a-,adenine
m-,adenine
kǔ,have intercourse
lò,live on
lò,become
fà,stony
a-,angstrom unit
kǔ,seam
kí,key fruit
li,thither
m-,angstrom unit
kǔ,get laid
m-,about
e-,around
fà,Flint River
kǔ,bottom
lò,tour
mà,habit that is almost impossible to change
kí,central
lò,locomote
là,bind
kǔ,make love
lò,move
ká,R-2
kí,primal
lò,conk out
là,marry
a-,ampere
lò,die
lò,fling
m-,ampere
lò,give way
kí,Francis Scott Key
m-,just about
kí,cardinal
lò,spell
ká,circle
kí,paint
kí,key
gi,those there
cǔ,tube whistle
é-,atomic number 2
kí,winder
là,railroad tie
lò,last
lò,rifle
gù,you yourself
gi,that one there
kǔ,hump
là,association
lò,survive
le,non
e-,or so
là,linkup
lǎ,already
lò,fail
kí,Florida key
là,link up
lò,break
là,sleeper
ká,round
a-,antiophthalmic factor
m-,antiophthalmic factor
lò,croak
kǔ,have a go at it
lò,hold up
ḿ-,He
e-,approximately
ká,Mexican valium
là,bond
là,crosstie
kǔ,have it off
fà,Flint
ká,forget me drug
ma,those ... there
kǔ,know
là,wed
kǔ,hit the hay
é-,he
kǔ,fuck
má,father
ḿ-,helium
lò,start
e-,roughly
fà,flinty
gí,for you
gi,those ... there
a-,deoxyadenosine monophosphate
m-,close to
m-,deoxyadenosine monophosphate
lò,hold out
kǔ,screw
m-,some
cú,deepness
ge,immediate future
lò,decease
kǔ,turn in
ká,encircle
là,tie
kǔ,bonk
gû,sound of air going quickly by
cú,profundity
má,sire
é-,He
lò,ecstasy
li,in that location
má,generate
cú,depth
gi,that ... there
a-,a
m-,a
lò,turn
kí,samara
kǔ,eff
ká,roofy
ká,lap
é-,helium
lò,run
é-,today past
ka,yesterday past
gi,that one
là,link
lò,live
lò,go away
kǔ,have it away
lò,drop dead
ká,rotary
kì,pigsty
lò,pass away
m-,more or less
kǔ,kip down
kě,perfective counter-expectation today past
ḿ-,atomic number 2
là,connect
lò,give-up the ghost
lò,extend
lò,travel
lò,expire
kí,tonality
kǔ,sleep together
lò,choke
má,engender
gú,invitation
e-,about
leŋ,make
fòŋ,overawe
lwò,exit
ésa,tour
léŋ,lilt
lóŋ,pinch
kùb,bark
kab,pigsty
lóŋ,shoe collar
kùb,sassing
guɔ,malady
lʉŋ,shit
liʼ,poison
lém,look
kǔʼ,nutrient
lɔ̀,endure
ésa,bout
kùb,bureau
gàb,portion out
káb,pipework
ayí,supporter
fàa,electric fan
lʉŋ,crapper
ḿbá,think
éfa,overeat
lúʼ,arm
lɔ̀,locomote
éfu,loan
máa,large
kàg,handbasket
ésa,rick
kẅǐ,grind away
éfa,botch up
kʉ́,diminished
gẅí,for you
lɔ̀,fit
léŋ,dangle
ésa,pirouette
máa,handsome
lwò,leave-taking
lɔ̀,conk out
agí,ally
cÿó,dearth
kwò,Sur
lǎg,blob
ffo,feathering
gwà,blade
guɔ,nausea
jʉʼ,sit down
le-,axerophthol
lɔ̀,fling
guɔ,illness
éfá,screw thread
leŋ,crapper
le-,vitamin A
ḿbá,conceive
ffo,music
lêŋ,sound of feet striking the ground
kʉ́,pocket-sized
cʉ̀,strain
fàʼ,put to work
jʉʼ,tail
ésa,work
kîɛ,sound of cloth ripping
kùb,thorax
éfá,seam
lʉŋ,take a shit
gyě,gustation
ayí,booster
lém,heart
jʉʼ,buns
ésa,spell
gem,hollow
jÿó,dish up
lìi,prize
ésí,unthaw
lém,spirit
fùʼ,value
lɔ̀,conk
lwò,go away
lùa,prize
kʉ́,pocket-size
le-,type A
kěm,mediation
kǔa,cholera
fàʼ,figure out
agí,champion
cùb,mix
éfa,setback
kèm,mix up
gʉ̌,loving cup
mâg,line
lùɔ,character
gyě,preference
leŋ,take a shit
guɔ,sickness
gɛ́,criminal conversation
éfa,purgation
gág,have words
jÿó,looker
gwá,weep
éfa,flush
éfa,be adrift
ffo,medicament
kìm,part of a dividing up
jʉʼ,hind end
làa,comparability
háb,half
lém,emotional state
cʉ̀,platitude
kwò,foot
gyě,savour
ésí,unfreeze
fʉ̌,shin bone
gàb,criminal conversation
lìi,lineament
kùb,pectus
fàʼ,oeuvre
fàa,haemophiliac
lìi,tone
ésa,plough
lÿò,gastritis
lɔ̀,blend in
fàa,blower
lùa,lineament
gág,remonstrate
éfa,gormandise
lùa,tone
éfa,mess up
jÿó,dish aerial
lɔ̀,rifle
cùb,miscellany
gàb,partake
lùɔ,quality
kwò,understructure
éfa,spoil
kùb,back talk
gúʼ,sp. mushroom with large head and long stem
cùb,salmagundi
kʉ́,small-scale
lém,defile
lɔ̀,proceed
kẅǐ,ivory
ésa,turn over
ḿba,carry astride one's back
ḿbá,plow
éfa,gust
ḿbá,consider
ḿbá,mean
gàb,share-out
ḿbá,regale
éfá,draw
ésa,wrench
kẅǐ,off-white
gàb,dividing up
fàʼ,puzzle out
máa,prominent
kʉ́,minuscule
kwè,moribund
ésa,dissipate
ésí,be clean
fùʼ,hold dear
le-,amp
fɛ́,buddy
kwò,tyre
agí,admirer
káb,shriek
fʉ̌,shinbone
fàa,bleeder
kǎd,very fast
fùɔ,baron
kẅǐ,cram
gyě,appreciation
lóŋ,collar
máa,boastfully
gàb,apportion
lwò,result
éfa,gas
jÿó,lulu
gem,muddle
kèm,soapbox
éfó,come from
fʉ̀,stultification
ésa,spillway
jʉʼ,behind
ḿbá,cover
ffo,flick
lóŋ,nail
làa,corresponding
káa,isn’t it?
fúɔ,sucking louse
mbǎ,also
lém,mottle
máa,liberal
gẅi,that ... there
fàʼ,knead
lǎg,position
jʉʼ,bottom
lìi,select
kàg,basket
fùʼ,care for
kǔʼ,taro root
jʉʼ,nates
kàg,field goal
gyě,taste perception
máa,big
éfa,bluster
lùa,select
kùb,flake
lɔ̀,croak
gàb,fornication
lém,liveliness
cʉ̀,stress
ffó,Pansa
gÿo,tomorrow future
fʉ̌,tibia
máa,enceinte
làa,comparable
jʉʼ,rear
éfa,poppycock
ḿba,carry straddling the back
lìi,choice
gàb,sharing
lɔ̀,pop off
kẅǐ,drum
fʉ̀,constipation
fàʼ,employment
lǎŋ,road
gyě,sense of taste
kàg,hoop
lùa,choice
jʉʼ,weather condition
lǎg,make
gûg,barque
fàʼ,exercise
láa,how much?
gyě,mouthful
lém,mist
lɔ̀,hold up
lóŋ,jumpiness
jʉʼ,fanny
ésa,change state
gág,lecture
lǎg,puddle
gẅi,that one
kèm,stomp
lǎg,daub
lǎg,piss
éfá,meander
lóŋ,nab
cùb,assortment
ésa,crook
ffo,riffle
fòŋ,cow
máa,vainglorious
lém,obnubilate
lʉŋ,dejection
lɔ̀,Adam
ésa,sour
làŋ,black bean aphid
éfá,weave
fàʼ,play
fʉ́,arm
mâg,notice
kèm,pulpit
kẅǐ,osseous tissue
éfa,shove
gyě,predilection
jʉʼ,brave out
lɔ̀,disco biscuit
mbá,spleen sickness
ḿbá,call up
kwò,invertebrate foot
ffo,thumb
éfa,honk
gág,chat
lóŋ,cop
fàʼ,influence
cùb,commixture
lǎg,micturate
fàʼ,form
lÿò,old age
gwá,cry
jùa,Al
fúʼ,valley
ésa,call on
cǔm,sound of a big object falling into water
káb,pipage
lwò,allow for
fàʼ,go
gwà,pair of scissors
fàʼ,process
lɔ̀,cash in one's chips
jʉʼ,rear end
lʉ̌,icky
ḿbá,call back
kùb,desquamation
éfa,nose candy
éfa,throw up
gém,strong cold during times of fog
kìm,piece of meat
lém,taint
gyě,try
ésa,grow
éfa,blow out
ḿbá,dainty
gàb,divvy up
kǔa,Indian cholera
kim,egoist
leŋ,throne
máa,swelled
lʉŋ,BM
lǎg,topographic point
gwâ,sound of cloth ripping or rain beating down
leŋ,fecal matter
éfa,regorge
lém,sprightliness
máa,self-aggrandising
leŋ,commode
ésa,bit
kǔa,Asiatic cholera
jʉʼ,stern
lǎg,smudge
gɛ́,adultery
jʉʼ,conditions
gág,natter
kùb,sass
éfa,purge
láʼ,people
mbǎ,too
cûu,very soft
ésa,disperse
lʉŋ,tiller
lǎg,stain
fàʼ,body of work
lɔ̀,get
éfa,upchuck
fúɔ,louse
lwò,leave behind
gág,rebuke
káb,tube
cʉ̀,tension
lǎg,smear
éfa,chuck
éfa,bollix
kʉ́,belittled
ésí,dethaw
gàb,adultery
kẅǐ,get up
éfá,purse
fàa,cetacean
éfa,block
cʉ̀,emphasise
éfa,stuff and nonsense
éfa,burn out
fàʼ,act upon
guɔ,unwellness
fàʼ,make for
lɔ̀,go
leŋ,BM
lǒŋ,sloth
mâg,take down
lùɔ,timber
lǎg,berth
lǎg,post
lwò,lead
kùa,scraper
jʉʼ,buttocks
leŋ,tiller
fàʼ,operate
kʉ́,modest
cʉ̀,stare
fùu,loanword
lɔ̀,run low
ḿbá,process
fùʼ,appreciate
gem,gob
lɔ̀,crack
ésí,mellow
kẅì,chastity
kâb,very clean
lɔ̀,belong
làa,comparing
gyě,sample
fúɔ,biting louse
le-,A
lɔ̀,pass
mbà,so
léŋ,golf shot
mbà,and so
ésa,change by reversal
lùɔ,timbre
lǎg,touch
éfa,clobber
éfa,engorge
lwò,entrust
cÿó,shortage
cùb,intermixture
éfa,drift
lóŋ,jitteriness
gág,chitchat
lɔ̀,cristal
lwò,pass on
éfa,hooey
ésa,pour forth
fɛ́,comrade
le-,adenine
kùb,barque
ffo,folio
cʉ̀,commonplace
mâg,promissory note
gyě,gustatory perception
jùa,aluminum
ffó,sp. ant
fʉ̀,irregularity
kʉ́,unusual
fùʼ,treasure
ffo,feather
éfu,bestow
láʼ,masses
fàʼ,workplace
lɔ̀,operate
léŋ,swing out
kùb,uncase
mâg,observe
lʉ̌,crappy
ffo,medical specialty
gág,confabulate
ésa,release
lǎg,pee-pee
lùɔ,prime
káŋ,shell
fàʼ,make
ésa,number
jʉʼ,invest
kéŋ,sound of a bell ringing
gyě,perceptiveness
éfa,coke
lʉŋ,feces
éfa,reverse
éfa,scour
káb,pipe up
lɔ̀,depart
lém,tone
ésí,melt
lìi,calibre
éfa,purify
kʉ́,foreign
éfá,put a tie on
lǎg,make out
jʉʼ,posterior
éfa,screw up
ésí,fade
kẅì,celibacy
fàʼ,function
lùa,calibre
lʉŋ,ordure
éfa,lug
ésa,dispel
éfa,float
ḿbá,search by following the tracks
máa,adult
le-,angstrom unit
kǔʼ,taro
agí,booster
ésa,round
lǎg,muddle
cʉ̀,tenseness
ésa,turn
ḿbá,recall
lɔ̀,offer
éfa,botch
lém,obscure
ésa,twist
ésa,circularise
kwò,pes
leŋ,feces
láʼ,the great unwashed
kǔʼ,intellectual nourishment
lwò,parting
mâg,note of hand
éfa,mishandle
lwò,farewell
gwá,call
gem,jam
gág,dress down
ésa,distribute
kẅǐ,bone
kẅǐ,swot up
mâg,mention
gem,fix
jʉʼ,weather
leŋ,ordure
éfá,ribbon
fùu,creditor
lóŋ,pick up
lɔ̀,go game
ésa,disseminate
jʉʼ,tail end
fùɔ,King
gág,yack away
lǎg,speckle
éfa,bodge
leŋ,toilet
lɔ̀,hug drug
ḿbá,look after
fùɔ,Billie Jean Moffitt King
lwò,give
kim,swellhead
ḿbá,do by
lɔ̀,function
gág,chew up
kẅì,sexual abstention
fàʼ,mould
fàʼ,mold
gem,golf hole
éfʉ,go blind
ffó,ichor
kʉ́,minor
fʉ̀,blind person
éfá,scrunch
gág,throat
gág,shoot the breeze
mbá,spleen
ffó,suppuration
lẅè,bile
le-,ampere
káŋ,home base
lɔ̀,drop dead
ḿbá,handle
lǎg,espy
lɔ̀,pass away
fòm,abandoned concession
gág,take to task
fʉ̀,impairment
lâm,lamp
gág,reproof
kwò,groundwork
éfú,be stupid
lǎg,office
léŋ,baseball swing
jʉʼ,ass
ésa,talk
mâg,short letter
lǎg,pass water
ésa,shed
gẅi,for you
lém,disembodied spirit
cùb,potpourri
lwò,impart
cùb,motley
éfa,cat
gág,visit
gem,kettle of fish
káŋ,home
máa,grown
gwá,exclaim
kùb,backtalk
ayí,Friend
lɔ̀,live on
lɔ̀,become
mâg,musical note
éfá,wind
éfa,retch
lɔ̀,give-up the ghost
lìi,character
lɔ̀,extend
ḿbá,care for
jʉʼ,upwind
cùb,admixture
láʼ,citizenry
ésa,bend
kùb,lip
lɔ̀,travel
lɔ̀,expire
lùa,character
fǐŋ,raffia fibre
lɔ̀,choke
ésa,run out
lʉ̌,decayed
ḿbá,reckon
ḿbá,search for
kùb,pare
kàŋ,squirrel
fàʼ,study
kúb,raffia seed
lʉŋ,stool
éfá,ruckle
kǔʼ,eddo
lǎg,relieve oneself
ḿbá,plant out
lém,flavour
lǎg,pee
kim,egotist
jÿó,sweetheart
lǎg,blemish
éfu,bring
mbá,irascibility
fùɔ,tycoon
ésa,wasteweir
gyě,taste sensation
ésa,propagate
gyě,tasting
lìi,quality
éfa,regurgitate
lwò,will
éfa,thrust
fɛ́,Brother
mâg,banker's bill
kwò,base
éfá,string
kìb,sound of something moving without giving notice
jʉʼ,place
leŋ,crap
lwò,leave
lɔ̀,tour
gág,call down
fàʼ,crop
kwè,stagnant
fàʼ,work out
leŋ,stool
ḿbá,guess
cùb,variety
fɛ́,sidekick
lùa,quality
éfa,brag
fàŋ,sp. tree that you can make jute from its bark
fùɔ,magnate
lóŋ,dog collar
máa,cock-a-hoop
mâg,Federal Reserve note
ayí,admirer
gʉ̌,transfuse
lóŋ,apprehend
éfa,scarf out
mâg,notation
ḿbá,believe
jʉʼ,can
gág,masticate
lúʼ,sleeve
cʉ̀,cliche
ésa,circularize
láʼ,hoi polloi
laa,ne'er
fɛ́,blood brother
leŋ,shit
lɔ̀,move
kùb,peel
agí,protagonist
lém,overcast
lɔ̀,die
lʉ̌,rotten
ésa,spill
fàa,haemophile
éfá,crisp
kèm,ambo
lóŋ,taking into custody
cʉ̀,try
éfa,vaunt
lɔ̀,give way
cʉ̀,bromide
jʉʼ,keister
fàʼ,act
lǎg,maculation
ésí,melt down
éfa,suck
júʼ,yam plant
lʉ̌,shitty
kùb,mouth
léŋ,drop
ḿbá,retrieve
lǒŋ,acedia
fóm,strong wind
gʉ̌,cup
lóŋ,neckband
fɛ́,brother
lɔ̀,spell
kẅǐ,debone
ésí,melting
kùb,dresser
láʼ,Greenwich Village
lém,smell
máa,bragging
jʉʼ,sit
lém,swarm
mâg,annotation
kẅǐ,mug up
fùu,lend
gág,chew
ésa,disgorge
gág,pharynx
éfa,fuck up
fòŋ,moo-cow
jÿó,beauty
lǎg,bit
éfa,bump
ḿbá,deal
fùɔ,business leader
lóŋ,make out
ésa,pass around
kwò,pick
fùʼ,cherish
