ngiemboon,en,,,,
"Mezí? pàmang?a nj??’ Y?sô Kristo g?ie aa na ng?? fù? Ndavíd, éfóo na ng?? Ábalam e m??n:","The book of the generation of Jesus Christ, the son of David, the son of Abraham. # https://www.bible.com/fr/bible/1/MAT.1.KJV #1",,,,
"Ábalam la zyé Esâg, Esâg zyé Yakw??b, Yakw??b zyé J?ida pâ mef?? pé.",Abraham begat Isaac, and Isaac begat Jacob, and Jacob begat Judas and his brethren, # https://www.bible.com/fr/bible/1/MAT.1.KJV #2,
"J?ida zyé Fares p?? Zara, má w??b gw?? Tamar, Fares zyé Esrom, Esrom zyé Aram.",and Judas begat Phares and Zara of Thamar, and Phares begat Esrom, and Esrom begat Aram, # https://www.bible.com/fr/bible/1/MAT.1.KJV #3,
"Aram zyé Aminadab, Aminadab zyé Naason, Naason zyé Salmo?,",and Aram begat Aminadab, and Aminadab begat Naasson, and Naasson begat Salmon, # https://www.bible.com/fr/bible/1/MAT.1.KJV #4,
"Salmo? zyé Booz, má pà Booz gw?? Raab, Booz zyé Obed, má pà Obed gw?? L?id, Obed zyé Jesé,",and Salmon begat Booz of Rachab, and Booz begat Obed of Ruth, and Obed begat Jesse, # https://www.bible.com/fr/bible/1/MAT.1.KJV #5,
"Jesé zyé fù? Ndavíd, fù? Ndavíd la zyé Salomo, mbà má pà Salomo láa nzw? Wiri.",and Jesse begat David the king, and David the king begat Solomon of herthat had been the wifeof Urias, # https://www.bible.com/fr/bible/1/MAT.1.KJV #6,,
"Salomo zyé Loboam, Loboam zyé Abia, Abia zyé Asaf,",and Solomon begat Roboam, and Roboam begat Abia, and Abia begat Asa, # https://www.bible.com/fr/bible/1/MAT.1.KJV #7,
"Asaf zyé Josafad, Josafad zyé Joram, Joram zyé Ozias,",and Asa begat Josaphat, and Josaphat begat Joram, and Joram begat Ozias, # https://www.bible.com/fr/bible/1/MAT.1.KJV #8,
"Ozias zyé Joatá?, Joatá? zyé Asház, Asház zyé Ezékias,",and Ozias begat Joatham, and Joatham begat Achaz, and Achaz begat Ezekias, # https://www.bible.com/fr/bible/1/MAT.1.KJV #9,
"Ezékias zyé Manase, Manase zyé Amo?, Amo? zyé Josias,",and Ezekias begat Manasses, and Manasses begat Amon, and Amon begat Josias, # https://www.bible.com/fr/bible/1/MAT.1.KJV #10,
