en,ngiemboon
1,m
one,e
He,e
single,e
unity,e
he,e
He,á
one,m
ace,m
He,é
ane,m
I,m
single,m
i,m
He,à
atomic number 53,e
ace,e
ane,e
I,e
atomic number 2,á
iodin,m
i,e
atomic number 2,é
atomic number 53,m
 »,»
helium,e
atomic number 2,à
he,á
iodin,e
iodine,e
he,é
helium,á
1,e
helium,é
he,à
unity,m
iodine,m
helium,à
atomic number 2,e
amp,m-
identify,kí
attach,là
have it off,kǔ
loan,fù
angstrom,a-
pigpen,kì
close to,m-
group A,m-
break down,lò
get laid,kǔ
buy the farm,lò
circuit,ká
sire,má
round,ká
have a go at it,kǔ
sleep together,kǔ
travel,lò
roofy,ká
proceed,lò
close to,e-
sleep with,kǔ
lap,ká
angstrom unit,a-
bottom,kǔ
tonality,kí
tour,lò
paint,kí
necktie,là
endure,lò
traffic circle,ká
belong,lò
atomic number 2,ḿ-
in that respect,li
bring forth,má
Key,kí
hit the hay,kǔ
just about,e-
invitation,gú
tie beam,là
all the same,ké
or so,e-
habit that is almost impossible to change,mà
roll in the hay,kǔ
hump,kǔ
ampere,m-
do it,kǔ
father,má
fuss,má
beget,má
retire,kǔ
those there,gi
go to sleep,kǔ
more or less,e-
go game,lò
approximately,e-
bonk,kǔ
pigsty,kì
perish,lò
tie-in,là
get going,lò
pass away,lò
standoff,là
flinty,fà
make love,kǔ
offer,lò
fundamental,kí
profoundness,cú
tie-up,là
distant past,la
He,ḿ-
XTC,lò
go to bed,kǔ
linkup,là
turn in,kǔ
X,lò
roughly,m-
start,lò
sound,lò
not,le
roundabout,ká
marry,là
describe,kí
roach,ká
give-up the ghost,lò
Francis Scott Key,kí
live,lò
keystone,kí
know,kǔ
break,lò
set,ká
have it away,kǔ
type A,m-
tie,là
key,kí
live on,lò
hold out,lò
some,m-
non,le
snuff it,lò
give out,lò
run short,lò
run low,lò
question mark,ka
move,lò
jazz,kǔ
about,m-
stony,fà
he,ḿ-
helium,é-
samara,kí
angstrom,m-
locomote,lò
extend,lò
cash in one's chips,lò
overprotect,má
that one,gi
railroad tie,là
dress circle,ká
about,e-
Adam,lò
tube whistle,cǔ
bang,kǔ
wed,là
make out,kǔ
angstrom unit,m-
screw,kǔ
circulate,ká
yesterday past,ka
for you,gí
work,lò
cay,kí
all the same,fó
at that place,li
lead,lò
lie with,kǔ
get,lò
axerophthol,m-
Florida key,kí
strong wine,hà
key out,kí
key fruit,kí
seam,kǔ
immediate future,ge
today past,ḿ-
antiophthalmic factor,a-
Flint,fà
blend in,lò
kip down,kǔ
fling,lò
around,m-
female parent,má
flint,fà
decease,lò
Mexican valium,ká
those ... there,ma
for you,jú
a,a-
conk out,lò
croak,lò
die,lò
last,lò
crack,lò
fuck,kǔ
around,e-
give way,lò
axerophthol,a-
sleeper,là
R-2,ká
sack out,kǔ
you yourself,gù
obdurate,fà
draw,là
splice,là
pass,lò
hold up,lò
you also,gí
rophy,ká
loanword,fù
generate,má
rifle,lò
operate,lò
depth,cú
run,lò
sty,kì
hit the sack,kǔ
love,kǔ
atomic number 2,é-
plump,lò
choke,lò
blend,lò
material that helps light a fire,fà
eff,kǔ
adenine,a-
ecstasy,lò
get it on,kǔ
expire,lò
vitamin A,a-
just about,m-
thither,li
A,a-
sound of air going quickly by,gû
or so,m-
roughly,e-
layer,kǔ
crawl in,kǔ
already,lǎ
spell,lò
amp,a-
forget me drug,ká
become,lò
in that location,li
astuteness,cú
deepness,cú
cardinal,kí
drop dead,lò
bed,kǔ
mother,má
more or less,m-
group A,a-
fail,lò
bind,là
approximately,m-
rotary,ká
He,é-
association,là
some,e-
go away,lò
whirl,lò
headstone,kí
profundity,cú
pop off,lò
ne'er,le
antiophthalmic factor,m-
that ... there,gi
function,lò
crosstie,là
that one there,gi
link,là
conk,lò
band,ká
winder,kí
helium,ḿ-
there,li
go bad,lò
distinguish,kí
deoxyadenosine monophosphate,m-
never,le
a,m-
depart,lò
granitic,fà
he,é-
ampere,a-
lot,ká
encircle,ká
on that point,li
primal,kí
disco biscuit,lò
fit,lò
rope,ká
cristal,lò
connect,là
go,lò
Flint River,fà
those ... there,gi
kick the bucket,lò
exit,lò
hug drug,lò
lend,fù
deoxyadenosine monophosphate,a-
circle,ká
engender,má
be intimate,kǔ
adenine,m-
perfective counter-expectation today past,kě
vitamin A,m-
central,kí
type A,a-
survive,lò
A,m-
name,kí
discover,kí
bond,là
have sex,kǔ
tomorrow future,lu
link up,là
affiliation,là
have intercourse,kǔ
today past,é-
turn,lò
get,má
faecal matter,lʉŋ
smell,lém
punctuate,cʉ̀
sound of cloth ripping,kîɛ
englut,éfa
train of thought,éfá
purgation,éfa
prominent,máa
make out,lǎg
run,ésí
rattle on,gág
perceptiveness,gyě
squall,gwá
spell,lɔ̀
very distant future,láʼ
mottle,lém
baseball swing,léŋ
atmospheric condition,jʉʼ
bag,jÿó
fade,ésí
piece of work,fàʼ
stultification,fʉ̀
place,lǎg
foot up,kwò
peel off,kùb
battle cry,gwá
masses,láʼ
become,lɔ̀
