ngiemboon,en
m,1
e,one
e,He
e,single
e,unity
e,he
á,He
m,one
m,ace
é,He
m,ane
m,I
m,single
m,i
à,He
e,atomic number 53
e,ace
e,ane
e,I
á,atomic number 2
m,iodin
e,i
é,atomic number 2
m,atomic number 53
», »
e,helium
à,atomic number 2
á,he
e,iodin
e,iodine
é,he
á,helium
e,1
é,helium
à,he
m,unity
m,iodine
à,helium
e,atomic number 2
m-,amp
kí,identify
là,attach
kǔ,have it off
fù,loan
a-,angstrom
kì,pigpen
m-,close to
m-,group A
lò,break down
kǔ,get laid
lò,buy the farm
ká,circuit
má,sire
ká,round
kǔ,have a go at it
kǔ,sleep together
lò,travel
ká,roofy
lò,proceed
e-,close to
kǔ,sleep with
ká,lap
a-,angstrom unit
kǔ,bottom
kí,tonality
lò,tour
kí,paint
là,necktie
lò,endure
ká,traffic circle
lò,belong
ḿ-,atomic number 2
li,in that respect
má,bring forth
kí,Key
kǔ,hit the hay
e-,just about
gú,invitation
là,tie beam
ké,all the same
e-,or so
mà,habit that is almost impossible to change
kǔ,roll in the hay
kǔ,hump
m-,ampere
kǔ,do it
má,father
má,fuss
má,beget
kǔ,retire
gi,those there
kǔ,go to sleep
e-,more or less
lò,go game
e-,approximately
kǔ,bonk
kì,pigsty
lò,perish
là,tie-in
lò,get going
lò,pass away
là,standoff
fà,flinty
kǔ,make love
lò,offer
kí,fundamental
cú,profoundness
là,tie-up
la,distant past
ḿ-,He
lò,XTC
kǔ,go to bed
là,linkup
kǔ,turn in
lò,X
m-,roughly
lò,start
lò,sound
le,not
ká,roundabout
là,marry
kí,describe
ká,roach
lò,give-up the ghost
kí,Francis Scott Key
lò,live
kí,keystone
kǔ,know
lò,break
ká,set
kǔ,have it away
m-,type A
là,tie
kí,key
lò,live on
lò,hold out
m-,some
le,non
lò,snuff it
lò,give out
lò,run short
lò,run low
ka,question mark
lò,move
kǔ,jazz
m-,about
fà,stony
ḿ-,he
é-,helium
kí,samara
m-,angstrom
lò,locomote
lò,extend
lò,cash in one's chips
má,overprotect
gi,that one
là,railroad tie
ká,dress circle
e-,about
lò,Adam
cǔ,tube whistle
kǔ,bang
là,wed
kǔ,make out
m-,angstrom unit
kǔ,screw
ká,circulate
ka,yesterday past
gí,for you
lò,work
kí,cay
fó,all the same
li,at that place
lò,lead
kǔ,lie with
lò,get
m-,axerophthol
kí,Florida key
hà,strong wine
kí,key out
kí,key fruit
kǔ,seam
ge,immediate future
ḿ-,today past
a-,antiophthalmic factor
fà,Flint
lò,blend in
kǔ,kip down
lò,fling
m-,around
má,female parent
fà,flint
lò,decease
ká,Mexican valium
ma,those ... there
jú,for you
a-,a
lò,conk out
lò,croak
lò,die
lò,last
lò,crack
kǔ,fuck
e-,around
lò,give way
a-,axerophthol
là,sleeper
ká,R-2
kǔ,sack out
gù,you yourself
fà,obdurate
là,draw
là,splice
lò,pass
lò,hold up
gí,you also
ká,rophy
fù,loanword
má,generate
lò,rifle
lò,operate
cú,depth
lò,run
kì,sty
kǔ,hit the sack
kǔ,love
é-,atomic number 2
lò,plump
lò,choke
lò,blend
fà,material that helps light a fire
kǔ,eff
a-,adenine
lò,ecstasy
kǔ,get it on
lò,expire
a-,vitamin A
m-,just about
li,thither
a-,A
gû,sound of air going quickly by
m-,or so
e-,roughly
kǔ,layer
kǔ,crawl in
lǎ,already
lò,spell
a-,amp
ká,forget me drug
lò,become
li,in that location
cú,astuteness
cú,deepness
kí,cardinal
lò,drop dead
kǔ,bed
má,mother
m-,more or less
a-,group A
lò,fail
là,bind
m-,approximately
ká,rotary
é-,He
là,association
e-,some
lò,go away
lò,whirl
kí,headstone
cú,profundity
lò,pop off
le,ne'er
m-,antiophthalmic factor
gi,that ... there
lò,function
là,crosstie
gi,that one there
là,link
lò,conk
ká,band
kí,winder
ḿ-,helium
li,there
lò,go bad
kí,distinguish
m-,deoxyadenosine monophosphate
le,never
m-,a
lò,depart
fà,granitic
é-,he
a-,ampere
ká,lot
ká,encircle
li,on that point
kí,primal
lò,disco biscuit
lò,fit
ká,rope
lò,cristal
là,connect
lò,go
fà,Flint River
gi,those ... there
lò,kick the bucket
lò,exit
lò,hug drug
fù,lend
a-,deoxyadenosine monophosphate
ká,circle
má,engender
kǔ,be intimate
m-,adenine
kě,perfective counter-expectation today past
m-,vitamin A
kí,central
a-,type A
lò,survive
m-,A
kí,name
kí,discover
là,bond
kǔ,have sex
lu,tomorrow future
là,link up
là,affiliation
kǔ,have intercourse
é-,today past
lò,turn
má,get
lʉŋ,faecal matter
lém,smell
cʉ̀,punctuate
kîɛ,sound of cloth ripping
éfa,englut
éfá,train of thought
éfa,purgation
máa,prominent
lǎg,make out
ésí,run
gág,rattle on
gyě,perceptiveness
gwá,squall
lɔ̀,spell
láʼ,very distant future
lém,mottle
léŋ,baseball swing
jʉʼ,atmospheric condition
jÿó,bag
ésí,fade
fàʼ,piece of work
fʉ̀,stultification
lǎg,place
kwò,foot up
kùb,peel off
gwá,battle cry
láʼ,masses
lɔ̀,become
kwò,pick
kǔʼ,cocoyam
gwá,outcry
éfa,regurgitate
kǔʼ,food for thought
ḿbá,call back
élé,isn’t it?
ḿbá,imagine
gág,reprimand
kùb,breast
jʉʼ,bum
lǎg,piddle
éfa,purify
éfa,choke up
fùʼ,appreciate
lɔ̀,run short
lǎŋ,road
lɔ̀,drop dead
làa,like
gem,fix
kúb,raffia seed
gûg,bark
lém,sprightliness
fɛ́,comrade
jʉʼ,hind end
jÿó,peach
éfa,nose candy
lwò,bequeath
lɔ̀,fail
éfa,bobble
ésa,turn over
lʉ̌,stinking
fàʼ,turn
máa,bad
éfá,screw thread
lâm,lamp
ésa,run out
gáŋ,part of the thorax
gyě,gustatory modality
ésa,break up
jʉʼ,posterior
láʼ,Village
le-,type A
ésí,unfreeze
ésí,meld
mâg,banker's bill
kʉŋ,barrier
kʉ́,little
lwò,impart
jʉʼ,tail
gwá,call
léŋ,jive
kùb,discase
gág,chew the fat
gág,yack
fàa,bleeder
lɔ̀,go away
gûg,barque
láʼ,already
ésa,spread out
éfa,bluster
lɔ̀,whirl
lʉ̌,decayed
jʉʼ,upwind
fàa,hemophile
gág,scold
cʉ̀,emphasis
cʉ̀,stare
fɛ́,chum
jʉʼ,induct
háb,one-half
gem,gob
kwò,infantry
ffo,medical specialty
mbá,spleen sickness
fùɔ,business leader
lém,heart
lǎg,pass water
ésa,pour forth
éfú,be stupid
lʉŋ,take a crap
làa,comparability
kwò,foundation
fàʼ,process
mbà,so
kyé,ember
jÿó,dish
gɛ́,fornication
lùa,quality
kwò,metrical unit
ésa,shed
éfa,gorge
gyě,smack
ésa,dot
lɔ̀,pop off
ḿba,carry astride one's back
kèm,rostrum
ésa,disseminate
lǔŋ,affiliation
kẅǐ,drum
