ngiemboon,en
nɥɔ́q,deep-set eyes
ntʃwò,downturned mouth
pwàpte᷆,flat nose
tsjágà,very soft
fwɔ̀’ fwɔ̀’ fwɔ̀’,things falling out in big quantity
bíìb,tree falling
gwâ,cloth tearing itself
vȕm,"fast car, moving quickly"
ŋwóŋ,very dark / black
tsâb,very bright / clean
bʉ́ʉ,shining or glowing
dzúŋ,swelling or bulging outward
kʉ̀ŋ,fumier / manure
fʉ̌ŋ,wound / sore / injury
méŋ,I / me
múɔ,child
ntsɛ,water
shúm,things / objects
mèvɛ́,oil
ngwáŋ,salt
sésɔg,pepper
mèŋ n ge metʉ̌a,I go to market
ńjú shúm páʼ sésɔg,buy things like pepper
ńkyɛ́,jump / leap
ńdiʼ,cry / shout
ńdíʼ,talk loudly / proclaim
ńdém,steal
ńná,give
ńŋá,turn aside / divert
éfu,borrow
éshu,hide / cover / mask
éshúm,things / possessions
éshumo,renew / refresh
ḿbá,treat / heal
ńtɔɔ́n,thigh
mbá,spleen
ntɔɔ́n,thigh
ndǎg,thanks
ńdag,collect / gather
fùɔ,chief
ńgẅiin,to have
ńgẅíŋ,to harden
pǐŋ,straw
piŋé,answer / response
tsǎʼ,brick
tsaʼá,clay
ndá,house
ndaa,never
mí,river
míe,which ones
lì,there
lìi,propolis / wax
fʉ́ʉ,handle
njùu,buyer
woo,yes
zɔɔ̌n,first / before
shÿóo,elephant
kwɛɛ̀,attach
kɛɛ,what?
kaa,not / negation
ka,past marker
tá,father
kǔ,bed
púʼ,lion
ńzẅɛʼɛ̀,collapse / fall down
ńdzẅɛt̀é,vacation / holiday
ńdɔɔnte,drag / pull
sɔɔ̌n,market
ńdoonte,make dirty
sóon,lie / falsehood
ńtɔɔn,guess
nzòon,insult
nzòŋ,spy
nkʉ̀ŋ,riverside / shore
metuŋ,discrimination
ɛɛn,(a cry)
ńkaŋ,choose
À gɔɔ̌n ngie: «N gÿo lêkɛ?̂»,He said: “What shall I do?”
À gɔɔ̌n né mèŋ ngie: «Tóo ḿpfɛɛ́ péli.»,He told me: “Come eat peanuts.”
!Pi pfɛ́ shúm sí!,May you eat your food!
"Alaʼ gie tsetsáʼ aa wɔ mboŋo mmo tɛʼ, melɛk pɔ melwo ŋwáʼ wɔ wo tɛʼ","a land where the soil is very fertile, where milk and honey are abundant"
Pi zsě ngie mèŋ n ge tá gẅi,You know that I am your father
!Pi zsé ngie mèŋ n ge tá gẅi!,Know that I am your father!
À gɔɔ̌n ngie: «N gÿo lêkɛ?̂»,He said: “What am I doing?” or He said: “What shall I do?”
"Mɔɔ̌n lɔɔ̌n nnáʼ mesaŋá lê: sésɔg, ngwáŋ ńgÿo shʉ́shÿó","My mother made couscous sauce with pepper, salt, and eggplant"
À cǔa múɔ; à te lʉa; ńtí nue à zsě mmó gie à gÿo,He hit the child; he didn’t cry because he knows what he did
À gɔɔ̌n né mèŋ ngie: «Manzwě wɔɔ̀n gɔɔ̌n ngie: “Tóo ḿpfɛɛ́ péli.”»,He told me: “My wife said: ‘Come eat the peanut.’”
á,he / she / it
à,to / toward
aŋ,moon
aʼ,TRUE
aʼte,to enlarge / expand
aŋte,to mix
á zɛt́e,he asked
à gɔɔ̌n,he said / told
à pfɛɛ́ mmó,he ate food
A píi pùʼ,he takes a knife
A pǐi pùʼ,he took a knife
A maʼa pùʼ,he throws a knife
A maʼá pùʼ,he threw a knife
á gʉa,he goes / departs
á te lʉa,he did not cry
à zsě mmó gie à gÿo,because he knows what he did
à cǔa múɔ,he beat the child
A gɔɔ̌n ngie: «N gÿo lêkɛ?̂»,he said: “What shall I do?”
à gɔɔ̌n né mèŋ ngie: «Tóo ḿpfɛɛ́ péli.»,he said to me: “Come eat peanuts.”
bʉ́ʉ,shining / glowing
bá,mother
bíìb,tree falling
bwà,goat/he-goat
cʉ́ʼʉ,wait! / stop!
cʉ̀a,necklace / to string
cùb,component
