en,ngiemboon
Make his paths straight.,ńgÿo melyěen nzsè mé e tyé ndʉŋ ndʉŋ».
Bring forth therefore fruits meet for repentance:,Pi gÿo pɔ́ menò mbòŋo mie e nyɛɛ ngie pi kubé mà.
"and he opened his mouth, and taught them, saying,",Á zye léla’te nò mbwó pɔ́b ngie:
"And he arose, and departed to his house.","Nyìŋ ŋwɛ́ lu ssé, ńgʉa nê mbʉ̀a yé."
But the very hairs of your head are all numbered.,"Á gʉa nà pi, mbà Ssé ne ńzsé nzẅìŋ menoŋo twó mí."
Which shall prepare thy way before thee.,ńne ńnyɛte mánzsè gù tá ɔ̀ tó».
"He that hath ears to hear, let him hear.",Nyìŋ lɔɔn ńgẅiin metuŋó lélɔg ńjú’u nò á jú’.
"Who hath ears to hear, let him hear.",Nyìŋ lɔɔn ńgẅiin metuŋó lélɔg ńjú’u nò á jú’.
"And seeing ye shall see, and shall not perceive:",ńne líe jʉ’ é ké le mmó gyá
"And should be converted, and I should heal them.",ńdɔgɔ tě ńkwoŋo ngie n gÿo pɔ́ zeŋe wɔ́».
But their heart is far from me.,ntʉ́m wɔ́b té ná mèŋ wɔ́.
And a colt the foal of an ass.,"ńnéŋe ndùm nzìkásè, á gwɔ́ mùɔ nzìkásè»."
And it is marvellous in our eyes?,á gwɔ́ máa nò mbòŋo á menÿɔ́g pege»?
And last of all the woman died also.,"Á gwaa zso, manzwě kwé yé."
"Master, whichisthe great commandment in the law?","Tsítsà, áa nà mbʉ̌ pé’e sɛ̌ gwɔ́ sé lyò."
This is the first and great commandment.,ée*lepʉ̌ sé lÿò ńdɔgɔ ńgwɔ́ ndùŋ mvfò.
"Behold, I have told you before.","Á yɔɔn, mbà mèŋ n kě ńtʉ́ njÿó shwóŋó gẅí."
And sitting down they watched him there;,"Á ku’, pɔ́ ńnéŋe ssé ńne ḿbyɛ́bɛ Yěsô."
Which shall prepare thy way before thee.,"à gwɔ́ mvfò ńně ńkɔ́’ɔ nzsè jù, ɔ ne ńtóo."
Make his paths straight.,ńgÿo melyěen nzsè mé e tyé ndʉŋ ndʉŋ»!
The sower soweth the word.,"Nyìŋ gẅie à pyě mmó, à pye shwóŋè Ssé"
"If any man have ears to hear, let him hear.","Nyìŋ lɔɔn ńgẅiin metuŋó lélɔg ńjú’u nò, á jú’."
"And they did all eat, and were filled.","Pɔ́b metsèm pfɛ́, ńzẅɛ́."
But their heart is far from me.,ntʉ́m wɔ́b té ná mèŋ wɔ́.
Teachingfordoctrines the commandments of men.,mbwo pʉ̀a ngie áa nò yɔ́ɔn
"If any man have ears to hear, let him hear.","[Nyìŋ lɔɔn ńgẅiin metuŋó lélɔg ńjú’u nò, á jú’]"
For he that is not against us is on our part.,"Nyìŋ gẅie à kaa nò yégè tága, aa wege nyìŋ."
Is become the head of the corner:,léen ńcʉ́’ʉ tóon gẅie yé zɔ pi’ ndá».
And it is marvellous in our eyes?,Á gwɔ́ máa nò mbòŋo menÿɔ́g pege
Till I make thine enemies thy footstool.,"mbwo gù, tà ɔ̀ tÿɔ́g mekwò mú twó pɔ́b»"
"And they laid their hands on him, and took him.",Petsɔ́ pʉ̀a leen ńké ńgwoon Yěsô ńkú’te.
But neither so did their witness agree together.,"Tà mbɔɔ pú’u, tà’ ncwò ké tè tsetsɛ̀ɛ pɔ́b kẅɛ."
"save thyself, and come down from the cross.","kwà’ gù zɔ kẅé twó ɔ́, éfó nà tÿǒ nkǐ sẅɛ́’ la."
For with God nothing shall be impossible.,À lɔɔn ńgwɔ́ nò le Ssé cʉa
"My soul doth magnify the Lord,","M bǔ ne ńnáa legú’ mbwo Cʉ̀apʉ̀a,"
And holyishis name.,E Ssé ee Ssé
From generation to generation.,ńgíŋe ńgÿo ná púɔ pɔ́b á ná mejwoŋó mejwoŋó
And exalted them of low degree.,ńkaa mepóŋ ńnéŋe mǒ
And the rich he hath sent empty away.,ńjwoŋ megàŋa mmó pɔ́ gʉa mbwo mesẅɛ̀ɛ
In remembrance ofhismercy;,"À kaa lege lényɛɛ pòŋo ntʉ́m yé wɔ́,"
"To Abraham, and to his seed for ever.",Á mbwo Ábalam pɔ́ ngẅɛ̀ ndá yé mejwoŋó mejwoŋó
"For he hath visited and redeemed his people,","à tǒ ńkẅéte pʉ̀a pé, ńcu’u wɔ́b ndá nkwɔ̀ɔn."
In the house of his servant David;,"À kẅɛɛ nà ngẅɛ̀ nda ngàŋa fà’ wé, fùɔ Ndavid,"
And to remember his holy covenant;,"ńkímte*kʉ̀a ndʉalʉ̌a gie pâ pɔ́ la gwa,"
"The oath which he sware to our father Abraham,",À lɔ̌ɔn ńgɔɔn ńtíi wege ngie:
"Might serve him without fear,",tá pɔ́ lêen ńké ńku’u léfa’a mbwo mèŋ té pɔ́g.
To guide our feet into the way of peace.,é tsege wɔ́b ńnéŋe tsɛ̀ɛ sẅétè.
"For mine eyes have seen thy salvation,",pʉ̀a mesoŋ tsẅɛ́.
And the glory of thy people Israel.,"mbwo Israel, á lá’ ɔ́."
Make his paths straight.,ńgÿo melyěen nzsé mé e tyé ndʉŋ ndʉŋ.
