ngiemboon,en
ńgÿo melyěen nzsè mé e tyé ndʉŋ ndʉŋ».,Make his paths straight.
Pi gÿo pɔ́ menò mbòŋo mie e nyɛɛ ngie pi kubé mà.,Bring forth therefore fruits meet for repentance:
Á zye léla’te nò mbwó pɔ́b ngie:,"and he opened his mouth, and taught them, saying,"
"Nyìŋ ŋwɛ́ lu ssé, ńgʉa nê mbʉ̀a yé.","And he arose, and departed to his house."
"Á gʉa nà pi, mbà Ssé ne ńzsé nzẅìŋ menoŋo twó mí.",But the very hairs of your head are all numbered.
ńne ńnyɛte mánzsè gù tá ɔ̀ tó».,Which shall prepare thy way before thee.
Nyìŋ lɔɔn ńgẅiin metuŋó lélɔg ńjú’u nò á jú’.,"He that hath ears to hear, let him hear."
Nyìŋ lɔɔn ńgẅiin metuŋó lélɔg ńjú’u nò á jú’.,"Who hath ears to hear, let him hear."
ńne líe jʉ’ é ké le mmó gyá,"And seeing ye shall see, and shall not perceive:"
ńdɔgɔ tě ńkwoŋo ngie n gÿo pɔ́ zeŋe wɔ́».,"And should be converted, and I should heal them."
ntʉ́m wɔ́b té ná mèŋ wɔ́.,But their heart is far from me.
"ńnéŋe ndùm nzìkásè, á gwɔ́ mùɔ nzìkásè».",And a colt the foal of an ass.
á gwɔ́ máa nò mbòŋo á menÿɔ́g pege»?,And it is marvellous in our eyes?
"Á gwaa zso, manzwě kwé yé.",And last of all the woman died also.
"Tsítsà, áa nà mbʉ̌ pé’e sɛ̌ gwɔ́ sé lyò.","Master, whichisthe great commandment in the law?"
ée*lepʉ̌ sé lÿò ńdɔgɔ ńgwɔ́ ndùŋ mvfò.,This is the first and great commandment.
"Á yɔɔn, mbà mèŋ n kě ńtʉ́ njÿó shwóŋó gẅí.","Behold, I have told you before."
"Á ku’, pɔ́ ńnéŋe ssé ńne ḿbyɛ́bɛ Yěsô.",And sitting down they watched him there;
"à gwɔ́ mvfò ńně ńkɔ́’ɔ nzsè jù, ɔ ne ńtóo.",Which shall prepare thy way before thee.
ńgÿo melyěen nzsè mé e tyé ndʉŋ ndʉŋ»!,Make his paths straight.
