ngiemboon,en
"Mefɛ̌ pɔ́ɔn, á laa fʉ̀ʼ gie kwàʼ mèŋ n da tóo láʼ pi létsẅii nò Ssé, á gwɔ́ nò gie á la zɔɔn ńgwɔ́ pɔ́ lelyěen, n gwaa tsẅii mbwó pi, n te lɔgɔ tsɔ́ shwóŋè gie á tʉ tʉ ńtsẅi wɔ́, ńké te lɔg pɔ́ lényɛɛ gẅí tsɔ́ mmó gie mèŋ sěen ńzsé tɛʼ, ńdɔg ńtsẅi wɔ́. ","When I came to you, brothers and sisters, announcing the mystery   of God to you, I did not come with brilliance  # 2:1 1Tm 2:2 of speech  # 2:1 Col 4:6 or wisdom. "
"Á nue n da záb ngie n těen ńgee ńzsé tsɔ́ nò ndyɛ̀ʼɛ tsetsɛ̀ɛ pi tà á le gwɔ́ pɔ́ nò Yěsô Keleto, á Yěsô Keleto gẅie mé la kime yé na tÿǒnkǐ wɔ́. ",I decided to know nothing among you except Jesus Christ and him crucified.   
"N da tyé tsetsɛ̀ɛ pi, ńjúʼ ḿbú ḿbÿɛ́ pÿɛ́, ńjúʼ ḿbɔ́g pɔ́g tà ne ḿvɛɛ. ","I came to you in weakness,   in fear,  # 2:3 Rv 11:11 and in much trembling.  # 2:3 Php 2:12 "
"Ashwóŋè gie á lɔ̌ɔn ńkẅɛɛ ncwò mèŋ, mbɔɔ nò Keleto gie n da ne sáʼa mbwó pi, é lɔ́ɔn těen ńnyɛɛ zsénò nyìŋ mesoŋ gie mé lɔg ńgÿo nyìŋ zẅíŋe nò wɔ́. Metʉ̀ Zẅìge Ssé zɔ̌ la ne ńgÿo epʉ̀a gyá ngie áa nò nénʉ́. ","My speech   and my preaching were not with persuasive  # 2:4 Php 1:25 words of wisdom  # 2:4 Other mss read human wisdom but with a demonstration of the Spirit’s power, "
Púʼu légwɔ́ gie agẅi lezǎb ntʉ́m na Ssé te jʉ́ʼʉ na zsénò pʉ̀a mesoŋ wɔ́. Á ge jʉ́ʼʉ pɔ́ na metʉ̀ Ssé.,so that your faith might not be based on human wisdom but on God’s power.  
"Peg piŋ ńké ńgʉa na pʉ̀a Keleto pie é cÿɔgté na lezǎb ntʉ́m na Ssé, ńzíʼi wɔ́b zsénò. Tá yɛ̌ zsénò ké te zsénò ye yɔɔn njÿó wɔ́, ńké te zsénò gie á fóo mbwó shúm tepòŋ sie é sáʼa yɔɔn njÿó, ńgwɔ́ sie mé ge gÿo pyág wɔ́. ","We do, however, speak a wisdom among the mature,   but not a wisdom of this age, or of the rulers  # 2:6 Lk 12:58 of this age, who are coming to nothing.  # 2:6 Heb 2:14 "
"Á gʉa na peg, mbà peg laʼte yég pɔ́ zsénò Ssé gie ee nkʉ̀ʼʉ nò gie e kɔ̌ɔn ńgwɔ́ pɔ́ lelyěen, mbà Ssé la láʼ ńnyɛte ńzáb tà njÿó nyé té gwɔ́ wó, légwɔ́ gie à ge láʼ lɔg ńnáa legúʼ wege. ","On the contrary, we speak God’s hidden wisdom in a mystery, a wisdom God predestined   before the ages for our glory.  # 2:7 Lk 24:26; 1Pt 5:1,4 "
"Tsoon tàʼ na shúm tepòŋ sie é sáʼa yɔɔn njÿó laa zsé yɛ̌ zsénò wɔ́. Pɔ́ la gwéʼe péʼe ńzsé yɛ̌ zsénò, mbà pɔ́ la te gÿo mé kíme Ndè na tÿǒnkǐ wɔ́, á Ndè gẅie à gẅiin legúʼ.","None of the rulers of this age knew this wisdom, because if they had known it, they would not have crucified the Lord of glory.   "
Mé la zɔɔn ńŋweʼe tsɛ̀ɛ Ŋwàʼne Ssé ngie:,"But as it is written,"
"E Ssé ka piŋ ńgÿo à zẅìge Ndʉalʉ̌a gÿo, pege zɔ̌ zsé yɛ̌ nò gie á laa lelyěen. À Zẅìge Ndʉalʉ̌a zɔɔn mwoon zẅi nò ntsèm, tà mbɔɔ menò mie Ssé nyě ńgẅiin pɔ́ tsɛ̀ɛ mvwɔ̀ʼ. ","Now God has revealed these things to us by the Spirit, since the Spirit searches everything,   even the depths of God.  # 2:10 Rm 8:39; 11:33; Eph 3:18 "
À lɔɔn ńgwɔ́ awɔ̌ zsé nò gie nyìŋ mesoŋ ne ńkwaŋa ntʉ́m yé té gwɔ́ pɔ́ ngàŋ? Á gíŋ ńgwɔ́ ndʉŋndʉŋ páʼ tsɔ̌ nyìŋ lɔɔn ńgwɔ́ á le zsé nò gie e Ssé ne ńkwaŋa té gwɔ́ pɔ́ Zẅìge Ssé wɔ́. ,"For who knows a person’s thoughts   except his spirit  # 2:11 Rm 1:9 within him? In the same way, no one knows  # 2:11 1Jn 4:8 the thoughts of God except the Spirit of God. "
"Á gʉa na pege, mbà mé la te náa zẅìge njÿó né pege wɔ́. Mé la ná pɔ́ Zẅìge gie á fóo mbwó Ssé né pege, páʼ á ge gÿo pege zsé fùʼ gie e Ssé la lɔg ńcÿó gʉm yégè. ","Now we have not received the spirit of the world, but the Spirit who comes from God, so that we may understand what has been freely given to us by God. "
