ngiemboon,en
"Pi gyá páʼ Tá wege la kwoŋo wégè kwoŋ tà ńtóŋo wégè lê púɔ pé, ńgɔɔn éshwóŋo nò pege gwɔ́ pɛ̌. Tá pʉ̀a njÿó té wégè zsé, á nue pɔ́ la te zsé nyìŋ gẅie e Ssé ee yé wɔ́. ",See what great love   the Father has given us that we should be called God’s children #— #and we are! The reason the world does not know us is that it didn’t know him. 
"Meshǔ pɔ́ɔn petʉ̀nzẅìŋ, pege ee fʉ̀ʼɔɔn páʼɔɔn ńgwɔ́ púɔ Ssé. Táʼ, ntí gie pege ge gÿo gwɔ́ púʼu, e nyě ńgwɔ́ pɔ́ lelyěen. Pege kě ńne ńzsé ngie Keleto ge gÿo gwɔ́ tà kẅɛ, pege gyá yé páʼ aa jʉʼó ńgwɔ́, ńgwɔ́ gie aa lêkɔ́ wɔ́, pege gwɔ́ yégè pɔ́ púʼu. ","Dear friends, we are God’s children now, and what we will be has not yet been revealed.   We know that when he appears,  # 3:2 Or when it appears we will be like him  # 3:2 Rm 8:29; 1Co 15:49; 2Co 3:18; Php 3:21; 2Pt 1:4 because we will see him as he is.  # 3:2 1Co 13:12; Heb 12:14; Rv 22:4 "
"Awɔ̌wɔ́ɔ gẅie à neŋé ne ńzẅíʼte ngie Keleto gÿo yɔɔn nò, à néŋe ḿbɔ́ɔn páʼ ńgwɔ́ ncÿǒ gwɔ́ na yé, á nue Keleto aa te ncÿǒ. ",And everyone who has this hope   in him purifies himself just as he is pure.  # 3:3 Php 4:8
"Nyìŋ lɔɔn ńnéŋe ńgÿo nò tepòŋ, mbà ngàŋ lʉʼʉ légiŋe na lepʉ̌ Ssé. Á nue legÿo nò tepòŋ aa lélʉʼʉ légiŋe na lepʉ̌ Ssé. ",Everyone who commits sin practices lawlessness; and sin is lawlessness. 
"Pi ne ńzsé ngie Yěsô Keleto la tó lézyɛ́b menò tepòŋ, atsɔ́ nò tepòŋ piŋ ńké te na ye wɔ́. ","You know that he was revealed so that he might take away sins,  ,# 3:5 Jn 1:29; 1Co 15:3; Heb 10:4; 1Pt 2:24 and there is no sin in him.  # 3:5 2Co 5:21; Heb 4:15; 7:26; 1Pt 2:21–22; 3:18; 1Jn 2:29 "
"Áa yɛ̌, tá wɔ̌wɔ́ɔ gẅie à lǎ nnɛ́ na ye, à te gíŋe fʉa nò wɔ́, awɔ̌wɔ́ɔ gẅie à neŋé fʉa pɔ́ nò, à laa Yěsô gyá, ńké te yé zsé. ","Everyone who remains in him   does not sin;  # 3:6 Or not keep on sinning,# 3:6 Rm 6:11–12; 1Jn 2:29; 5:18 everyone who sins  # 3:6 Or who keeps on sinning has not seen him or known him."
"Penkʉ́ pɔ́ɔn, ḿbɔ́ɔn nyìŋ légÿo pi fʉa mánzsè. Nyìŋ lɔɔn ńgÿo mmó gie áa ndʉŋndʉŋ mvfò Ssé, mbà ngàŋ lɔgɔ ńgÿo yé páʼ Yěsô Keleto. À gÿo mmó gie áa ndʉŋndʉŋ mvfò Ssé. ","Little children, let no one deceive you. The one who does what is right is righteous, just as he is righteous. "
"Nyìŋ lɔɔn ńké ńnéŋe ńgÿo yé pɔ́ nò tepòŋ, mbà aa nyìŋ Sátà, á nue Sátà aa ngàŋ mefʉa tà fó pɔ́ nzyète ngwòŋ. Míŋ Ssé la zɔɔn ńtó pɔ́ ńgÿo kɔ́? À la tóo ḿbyág mefàʼ Sátà. ","The one who commits   sin is of the devil, for the devil has sinned from the beginning. The Son of God  # 3:8 Mk 1:11 was revealed  # 3:8 Jn 21:1; 2Co 4:11; 1Pt 5:4; 1Jn 5:20 for this purpose: to destroy the devil’s works. "
"Wɔ̌wɔ́ɔ gẅie à vɔg tà ńcʉ́ʼʉ míŋ Ssé, à te gíŋe ńnéŋe ńgÿo nò tepòŋ wɔ́. Á nue legwɔ́ gẅie à fóo na Ssé aa na yé, ńgwɔ́ páʼ mbyè mmó la. À te gíŋe ńkuʼu légÿo nò tepòŋ wɔ́, á nue aa míŋ Ssé. ","Everyone who has been born of God   does not sin,  # 3:9 Or not practice sin because his seed  # 3:9 1Pt 1:23 remains in him; he is not able to sin,  # 3:9 Or to keep on sinning because he has been born of God. "
"Pi gyá mmó gie mé fó mǒ, ńdɔg ńzsé púɔ Ssé, ńgíŋe ńzsé pe Sátà. Nyìŋ lɔɔn te gÿo mmó gie áa ndʉŋndʉŋ mvfò Ssé wɔ́, ńké te kwoŋo fɛ̌ we wɔ́, mbà ngàŋ te míŋ Ssé wɔ́.","This is how God’s children and the devil’s children become obvious. Whoever does not do what is right is not of God, especially the one who does not love his brother or sister.  "
"Anò gie pi la júʼ tà fó nzyeté, á gwɔ́ pɔ́ ngie: Pege gẅiin nkwòŋe tsetsɛ̀ɛ pege. ","For this is the message you have heard from the beginning: We should love one another, "
