ngiemboon,en
Samîɛ la pú ḿbíte yɛ̌ nò shwóŋ púɔ Ésàlayɛ ntsèm.,And Samuel’s words came to all Israel.
"Palÿɔ́ʼncù pe Filisi la gʉa ńtyé mvfò pʉ̀a Ésàlayɛ lélÿɔ́ʼɔ wɔ́b. Epʉ̀a Filisi la lÿɔ́ʼ pʉ̀a Ésàlayɛ tà ńjÿó, pɔ́ la zẅé mbàŋa mmó ntsáʼ lekùɔ pie é la tyé na nkàŋ, á tsɛ̀ɛ nkáʼa ncù. ","The Philistines lined up in battle formation against Israel, and as the battle intensified, Israel was defeated by the Philistines, who struck down about four thousand men on the battlefield."
"Aláʼ la piŋ nzèm tsɛ̀ɛ jʉʼʉ lepumó, mekěm pa Ésàlayɛ gɔɔn ngie: mélàʼakɔ́ Cʉ̀apʉ̀a gÿǒ pʉ̀a Filisi jÿó wégè lyɛ̌ʼɔɔn? Pege gʉa Shʉlo ńkaa kʉbé kʉ̀a ye Cʉ̀apʉ̀a; à tó ńkúu tsetsɛ̀ɛ pege, ńkẅé wégè mbwó megàŋmbù pégè! ","When the troops returned to the camp, the elders of Israel asked, “Why did the Lord defeat us today before the Philistines?   Let’s bring the ark of the Lord’s covenant from Shiloh. Then it  # 4:3 Or he will go with us and save us from our enemies.”  # 4:3 Nm 10:35; Jos 6:6 "
"Aláʼ leen ńké ńtúm tsɔ́ nùɔ palÿɔ́ʼncù, pɔ́ gʉa Shʉlo ńkaa kʉbé kʉ̀a Cʉ̀apʉ̀a Ssé palÿɔ́ʼncù, á gẅie à néŋe na Mekɛlẅimbeŋ. Ɔbnîi pɔ́ Fineya pie é laa penkʉ́ Elîɛ pembàŋa laa wó, ńgẅiin kʉbé kʉ̀a Ssé. ","So the people sent men to Shiloh to bring back the ark of the covenant of the Lord of Armies, who is enthroned between the cherubim.   Eli’s two sons, Hophni and Phinehas, were there with the ark of the covenant of God. "
"Mé la gwɔ́ tà ńdɔgɔ kʉbé kʉ̀a Cʉ̀apʉ̀a ńtó tà ńkúu tsɛ̀ɛ jʉʼʉ lepumó, pa Ésàlayɛ ntsèm pú ńkwéʼe ngyè lekág; atsetsáʼ ntsèm pú ńcʉʼʉ.","When the ark of the covenant of the Lord entered the camp, all the Israelites raised such a loud shout that the ground shook.  "
"Epʉ̀a Filisi la júʼ páʼ mé kaga; ńgɔɔn ngie: ngyè lekág kẅɛɛ tsɛ̀ɛ jʉʼʉ lepumó pʉ̀a Ébɛ̀ páʼɔɔn, á gwɔ́ nò kɔ́? Pɔ́ la leen ńké ńzsé ngie mé lɔgɔ́ kʉbé kʉ̀a Cʉ̀apʉ̀a ńtó tà ńkúu tsɛ̀ɛ jʉʼʉ lepumó. ","The Philistines heard the sound of the war cry and asked, “What’s this loud shout in the Hebrews’ camp? ” When the Philistines discovered that the ark of the Lord had entered the camp, "
Epʉ̀a Filisi pú ḿbɔ́g; ńne ńgɔɔn ngie: Ayɛ̂ gie Ssé kwǎʼ ńtó tà ńkúu tsɛ̀ɛ jʉʼʉ lepumó lɛ̂! Pege kwě tà ńdem! Akɔ̀ɔkɔ́ɔ áa páʼɔɔn mbà á kubé! ,they panicked. “A god has entered their camp! ” they said. “Woe to us! Nothing like this has happened before. 
"Yě ngʉ̀ngʉ̀ yege lê! Tà wɔ̌ zɔ ge láʼ kẅé wégè mbwó yɛ̂ ntí messé mie é tʉ tɛʼ lɛ̂? Ée messé mie é la néŋ ngʉ̀ngʉ̀ mentí mentí twó pʉ̀a Egíbtò, á fʉ̀ʼ gie pɔ́ láa kwòŋotsẅɛ. ",Woe to us! Who will rescue us from these magnificent gods? These are the gods that slaughtered the Egyptians with all kinds of plagues in the wilderness. 
"Pi kẅiʼi ńtʉte, pi gwɔ́ kwàʼ mbàŋa, pi pʉ̀a Filisi, ḿbɔ́gɔ légwɔ́ gie ngwɔ́ pi cʉ́ʼ menkwɔɔn pʉ̀a Ébɛ̀, páʼ pɔ́ la zɔɔn ńgwɔ́ yɔ́b menkwɔɔn pí! Pi gwɔ́ kwaʼ mbàŋa, ńzsé ngie pi ge cwoŋo lÿɔ́ʼ! ","Show some courage and be men, Philistines!   Otherwise, you’ll serve the Hebrews just as they served you.  # 4:9 Jdg 13:1; 1Sm 14:21 Now be men and fight! ”"
"Epʉ̀a Filisi la leen ńké ńdÿɔ́ʼ ncù, tà ńjÿó pʉ̀a Ésàlayɛ. Epʉ̀a Ésàlayɛ kÿo, awɔ̌wɔ́ɔ gʉa né tsɛ̀ɛ wé ntàb. Ntí gie mé la lɔg ńjÿó wɔ́b la pú ńtʉ tɛʼ, palÿɔ́ʼncù pa Ésàlayɛ pie é la ne ńgiŋe pɔ́ ssé, é la kwéte tà ńgwɔ́ pʉ̀a ntsáʼ móm ntá. ","So the Philistines fought, and Israel was defeated,   and each man fled to his tent.  # 4:10 2Sm 18:17; 2Kg 14:12 The slaughter was severe #— #thirty thousand of the Israelite foot soldiers fell. "
