ngiemboon,en
"Páʼ nzyè gi ka ne ńgyáŋa wég tɛʼ la, peg ka te júʼu légíŋe éshÿɔg wɔ́. Áa yɛ̌ tá peg Silásè ka gyǎ ngie peg yé ge gwaa néŋe Atɛ́nè, ","Therefore, when we could no longer stand it, we thought it was better to be left alone in Athens.   "
"é túmo Timotê né pi. Pi ne ńzsé ngie aa fɛ̌ wege gẅie peg lâ pɔ̌ faʼa fàʼa Ssé, ńgwáa ńtsẅii nkʉ̀ mbòŋo Keleto. Peg ka túmo yé légwɔ́ gie à ge gÿo pi tʉte, é piŋ kẅiŋte gẅí na gẅi lézáb ntʉ́m na Ssé, ","And we sent Timothy,   our brother and God’s coworker  # 3:2 Other mss read servant in the gospel of Christ,  # 3:2 Php 1:27 to strengthen and encourage you concerning your faith, "
"légwɔ́ gie cʉanò gie pi ee tsoló fʉ̀ʼɔɔn, á te gÿo tsɔ̌ nyìŋ tsetsɛ̀ɛ pi pɔ́g, ńgwáʼa nò Ssé wɔ́. Pi zɔɔn ne ńzsé gí ngie cʉanò gẅiin lécʉa wégè pie pege ee pazáb ntʉ́m na Ssé. ",so that no one will be shaken by these afflictions. For you yourselves know that we are appointed to this. 
"Pi kímte páʼ peg la nyé ńgwɔ́ tsetsɛ̀ɛ pi, ḿvɔg shwóŋo gẅí ngie ngʉ̀ngʉ̀ ge tóo na pege. E kéen ńtó tà pi ne ńzsé gí. ","In fact, when we were with you, we told you in advance that we were going to experience affliction, and as you know, it happened. "
"Áa mmó gie á ka gÿo tá n te gíŋe ńkuʼu lézẅíʼte wɔ́, éfó ńtúmo Timotê, ngie à gʉa ńgyá páʼ gẅi lézáb ntʉ́m na Ssé ka cʉ̌ʼ ńgwɔ́ púʼu, ńgwaa túmo yé, ńne ḿbɔ́gɔ ngie Sátà ka cʉ̌ʼ ńkwaʼte gẅí tà fàʼ gie peg la faʼ cʉa sẅɛ̀ɛ.","For this reason, when I could no longer stand it, I also sent him to find out about your faith, fearing that the tempter had tempted you and that our labor might be for nothing."
"Tá áa na fʉ̀ʼɔɔn, mbà à fǒ láʼ pi ḿbiŋ tà ńkúu jʉʼɔɔn. À shwoŋó wég nò na gẅi lézáb ntʉ́m na Ssé, á na nkwòŋo gie pi gẅiin, tà nò poŋo wég. À shwoŋó wég páʼ pi neŋé ńkíme wég pɔ́ mboŋó, mbɔɔ páʼ pi ne ńtsɔ́ɔn légíŋ ńgyá wég, páʼ peg yég ne ńtsɔ́ɔn légíŋ ńgyá gẅí gí. ","But now Timothy has come to us   from you and brought us good news about your faith and love. He reported that you always have good memories of us and that you long to see us, as we also long to see you.  # 3:6 1Co 11:2; Php 1:8 "
"Mefɛ̌ mefɛ̌, peg jǔʼ púʼu, acʉanò tsɛ ne ńcʉa wég, peg tsɛ ne ńgyá pɔ́ ngɔ́ʼ táʼ, anò gí mbɔɔ gẅi lézáb ntʉ́m na Ssé kẅiŋté wég kẅiŋte. ","Therefore, brothers and sisters, in all our distress and affliction, we were encouraged about you through your faith. "
"Áa fʉ̀ʼɔɔn, peg ge gíŋe júʼ, é gwɔ́ ntʉ̀ntʉ̀, á nue pi kaa kʉ́a légwɔ́ pɔ́ nzèm Cʉ̀apʉ̀a wɔ́, ","For now we live, if you stand firm   in the Lord. "
ngwɔ́ peg síe Ssé kwàʼ lêkɔ́ ńtí gẅí? À ne ńgÿo peg gẅiin lekág páʼɔɔn tɛʼ ńtí gẅí. ,"How can we thank God for you in return for all the joy   we experience before our God because of you, "
"Á gʉa fʉ̀ʼ gie peg ne sẅíŋte Ssé, kà zsǒ wɔ́ɔ, kà tsẅɛ́ʼ wɔ́ɔ, peg lʉa mbwó yé tɛʼ, ngie à gÿo peg gíŋe ńgyá meshÿó mí, peg piŋ ńnáa gẅí mmó gie á ne ńzága na gẅi lézáb ntʉ́m na yé.",as we pray very earnestly night and day to see you face to face   and to complete what is lacking in your faith?  # 3:10 Col 1:24
"Púʼu, peg ne ńdúɔ ngie e Ssé yé máŋwɛ́, gẅie aa Tá wege, mbɔɔ Yěsô gẅie aa Cʉ̀apʉ̀a wege tsɔ́ʼɔ mánzsè, peg tó tà ńgyá gẅí. ","Now may our God and Father   himself, and our Lord Jesus,  # 3:11 Ac 20:21 direct our way to you. "
"Peg giŋé ne ńdúɔ ngie Cʉ̀apʉ̀a gÿo nkwòŋe gie pi gẅiin tsetsɛ̀ɛ pi, mbɔɔ gie pi gẅiin na petsɔ́ pʉ̀a mesoŋ metsèm, e kẅiʼi kẅiʼi, ngie à gÿo e gwɔ́ páʼ gie peg gẅiin na pi, ","And may the Lord cause you to increase and overflow with love   for one another  # 3:12 Rm 13:8 and for everyone, just as we do for you. "
"ńgíŋe gÿo pi ké ne ńzába ntʉ́m gẅí pɔ́ na yé. Tá à láʼa lyɛ̌ʼ gie Cʉ̀apʉ̀a wege Yěsô pâ pʉ̀a pie à la tsɔ́ʼ, é tǒ, pi tyé mvfò Tá wege Ssé, ńgwɔ́ ndʉalʉ̌a, atsɔ́ lɔʼɔ́ gí le gwɔ́ wó wɔ́. Amɛn!",May he make your hearts blameless   in holiness  # 3:13 Rm 1:4; 1Co 7:14; 2Co 7:1 before our God and Father at the coming  # 3:13 1Th 1:10; 1Jn 2:28 of our Lord  # 3:13 Rv 11:8 Jesus with all his saints. Amen.  # 3:13 Other mss omit Amen.
