ngiemboon,en
"Lombowam la gʉa né láʼa Sishÿɛ̂m, á nue epʉ̀a Ésàlayɛ ntsèm la tóo wó lézɔ́ʼɔ yé, ńdɔg ńgÿo fùɔ. ","Then Rehoboam went to Shechem,   for all Israel had gone to Shechem to make him king. "
"Yelobowam, míŋ Nembad la kÿo fùɔ Salémo ńgʉa né Egíbtò. Ńgÿo ńjúʼ páʼ mé gɔɔn nò ńtí cúʼtè ye Sishÿɛ̂m, éfó Egíbtò ḿbiŋ nzèm. ",When Jeroboam son of Nebat heard about it #— #for he was in Egypt where he had fled from King Solomon’s presence #— #Jeroboam returned from Egypt.   
Mé túm ńtóŋo yé. Yelobowam pâ pʉ́a Ésàlayɛ ntsèm leen ńtó ńgɔɔn né Lombowam ngie: ,So they summoned him. Then Jeroboam and all Israel came and spoke to Rehoboam: 
"«Akɔ̌ʼ gie tá gú la jÿɔ́gɔ lóŋ peg la tʉ tɛʼ. Afʉ̀ʼɔɔn la, kwàʼ gù gÿo à faʼ njÿɔ́g, mbɔɔ pìʼ gie tá gù la tÿɔ́gɔ twó peg à zeŋe, à cʉa púʼu, peg faʼa mbwó gù.» ","“Your father made our yoke harsh. Therefore, lighten your father’s harsh service and the heavy yoke he put on us, and we will serve you.”"
"Lombowam tsɔ́ʼɔ mbwó pɔ́b ngie: «Pi gʉa, ńgÿo ńtó ńgyá wɔ́ɔn na lyɛ̌ʼ sétá.» Pɔ́ leen gʉa. ","Rehoboam replied, “Return to me in three days.” So the people left."
"Afùɔ Lombowam lúɔ ntÿɔgɔ́ mbwó melÿò pie é lɔ́ɔn faʼa mbwó tá we fùɔ Salémo, á fʉ̀ʼ gie à la nyé wó. À la zɛ́te wɔ́b ngie: «Ntÿɔgɔ́ gẅie ngwɔ́ pi náa mbwó mèŋ, ńdɔg ńkẅéte wɔ́ɔn létsɔ́ʼɔ nò mbwó pʉ̀a pɔɔn, ée wɛ̌?» ","Then King Rehoboam consulted with the elders who had attended his father Solomon when he was alive, asking, “How do you advise me to respond to this people? ”"
"Pɔ́ gɔɔn né yé ngie: «Ɔ̀ lɔɔn ńgẅiin tsẅé mbòŋo mbwó pɔ́b, ɔ̀ lɔɔn ńgÿo mmó gie pɔ́ ne ńzɛ́te, ɔ̀ lɔɔn ńtsɔ́ʼɔ nò mbwó pɔ́b né pòŋontʉ́m, mbà pɔ́ ge gÿo fàʼa mbwó gù fʉ̀ʼ ntsèm.»","They replied, “If you will be kind to this people and please them by speaking kind words to them, they will be your servants forever.”"
"Táʼ, afùɔ Lombowam te tÿɔ́gɔ kwò na mentÿɔgɔ́ mie melÿò la náa mbwó yé wɔ́, ńcʉ́ʼ ńzɛ́te kɔ̀ɔkɔ́ɔ wɔ́ɔ pɔ́ mbwó ngwàshùm gie pâ pɔ̌ la gúʼ, pɔ́ piŋe éfaʼa mbwó yé. ","But he rejected the advice of the elders who had advised him, and he consulted with the young men who had grown up with him, the ones attending him. "
Á gɔɔn né pɔ́b ngie: «Pi shwóŋo wɔ́ɔn páʼ n ge tsɔ́ʼɔ mbwó pʉ̀a pɔɔn pie é zɛ́te wɔ́ɔn ngie: N gÿo akɔ̌ʼ gie tá wɔ̀ɔn la jÿɔ́gɔ lóŋ pɔ́b á zeŋe» ,"He asked them, “What message do you advise we send back to this people who said to me, ‘Lighten the yoke your father put on us’? ”"
Yɛ̌ ngwàshùm gie pâ pɔ̌ la gúʼ gɔɔn né yé ngie: «Tsẅii mbwó pʉ̀a pie é gɔɔn né gù ngie ɔ̀ gÿo apìʼ gie tá gù la zába twó pɔ́b à zeŋe la ngie: “Múɔ te pwó wɔ̀ɔn fǎŋ ńcʉa membaŋnkàʼ tá wɔɔn. ,"Then the young men who had grown up with him told him, “This is what you should say to the people who said to you, ‘Your father made our yoke heavy, but you, make it lighter on us! ’ This is what you should say to them: ‘My little finger is thicker than my father’s waist! "
"Tá wɔ̀ɔn la tÿɔ́gɔ pìʼ gie á zɛ á twó pi, mèŋ n ge gíŋ tÿɔ́gɔ yɔ́ɔn gie á kẅíʼi ńzɛ, á twó pi! Tá wɔ̀ɔn la lɔg mekwɔb ńcúɔ gẅí, Mèŋ n ge cʉ́ʼ lɔg pɔ́ mengwɔɔn tʉ̌ é cúɔ gẅí!”» ","Now therefore, my father burdened you with a heavy yoke, but I will add to your yoke; my father disciplined you with whips, but I, with barbed whips.’ ”  "
Yelobowam pâ láʼ ntsèm tóo mvfò fùɔ Lombowam na mbɔ́ɔntè lyɛ̌ʼ tá páʼ à la gɔɔn ngie: «Pi gÿo ńtó ńgyá wɔ́ɔn na mbɔ́ɔntè lyɛ̌ʼ tá.» ,"So Jeroboam and all the people came to Rehoboam on the third day, just as the king had ordered, saying, “Return to me on the third day.” "
"Afùɔ lɔgɔ kwɛ̀te, ńtsɔ́ʼɔ nò mbwó láʼ, té sáŋa gie melÿò ka gɔɔn né yé. ",Then the king answered them harshly. King Rehoboam rejected the elders’ advice 
"À la fó na ntÿɔgɔ́ gẅie ngwàshùm la ná né yé, ńgɔɔn ngie: Tá wɔ̀ɔn la tÿɔ́gɔ pìʼ gie á zɛ, á twó pi, mèŋ n ge gíŋ gÿo à kẅiʼi ńzɛ! Tá wɔ̀ɔn la lɔg mekwɔb ńcúɔ gẅí, mèŋ n ge gÿo lɔg «mengwɔɔn tʉ̌, é cúɔ gẅí.» ","and spoke to them according to the young men’s advice, saying, “My father made your yoke heavy,  ,# 10:14 1Kg 12:14 but I will add to it; my father disciplined you with whips, but I, with barbed whips.”"
"Afùɔ la te zẅíʼte nò gie láʼ gɔ̌ɔn wɔ́, mélàʼmie Cʉ̀apʉ̀a zɔ la gÿo ngie anò gie à la cʉa na ncwò Yelobowam míŋ Nembad wembàŋa, ńtsẅii mbwó Ahiya gẅie à laa nyìŋ Silo à pumte.","The king did not listen to the people because the turn of events came from God,   in order that the Lord might carry out his word that he had spoken through Ahijah the Shilonite to Jeroboam son of Nebat.  # 10:15 1Kg 11:29–39"
"Afʉ̀ʼ gie pʉ̀a Ésàlayɛ la gyá ngie fùɔ à te ne ńjúʼu ncwò wɔ́b wɔ́ la, pɔ́ tsɔ́ʼɔ mbwó yé ngie: «Peg lâ fùɔ Ndavîd gẅiin kɔ́? Atsɔ́ mmó gie ngwɔ́ peg lâ míŋ Yesêe wembàŋa temte ńgÿo, á té wó wɔ́! Epʉ̀a Ésàlayɛ, pege piŋ nzèm né tsɛ̀ɛ mentàb mégè! Gù, míŋ fùɔ Ndavîd, leen ńké ńdíe pʉ̀a pú!» Awɔ̌ɔwɔ́ɔ piŋ né tsɛ̀ɛ wé ntàb. ","When   all Israel saw  # 10:16 Some Hb mss, LXX; other Hb mss omit saw; 1Kg 12:16,# 10:16 1Kg 12:16 that the king had not listened to them, the people answered the king:"
Ndàʼ pʉ̀a Ésàlayɛ pie é lɔ́ɔn ńtsẅé tsɛ̀ɛ pàga láʼa Yúndà zɔ̌ la zsé Lombowam páʼ fùɔ wɔ́b. ,"But as for the Israelites living in the cities of Judah, Rehoboam reigned over them."
"Afùɔ Lombowam túmo Andolam gẅie à líe mefàʼ njÿɔ́g, á lejʉ́ŋ pʉ̀a Ésàlayɛ pe kwóŋ mbyěnèm, táʼ, pɔ́ lɔg metǒon ńtémte yé ńzẅé. Afùɔ Lombowam sẅɛte ńkwɔ́ʼɔ ndùm kélêg we, ńkÿo ńgʉa né Yelúzálèm. ","Then King Rehoboam sent Hadoram,  ,# 10:18 1Kg 4:6; 5:14; 12:18 who was in charge of the forced labor, but the Israelites stoned him to death. However, King Rehoboam managed to get into his chariot to flee to Jerusalem. "
"Wɔɔn aa páʼ mengẅɛ̀te pʉ̀a Ésàlayɛ pe kwóŋ mbyěnèm la tʉʉ twó mbwó tsìŋendá fùɔ Ndavîd púʼu, tà ńkú lyɛ̌ʼɔɔn.",Israel is in rebellion against the house of David until today.
