ngiemboon,en
"Á gwɔ́ púʼu, afùɔ leen ńké ńcúʼte melÿò ntsèm pie ée tsɛ̀ɛ láʼa Yúndà, mbɔɔ pe Yelúzálèm, á lejʉ́ŋ yé. ","So the king sent messengers,   and they gathered all the elders  # 23:1 2Kg 10:1 of Judah and Jerusalem to him. "
"Pâ pɔ̌ pú ḿbʉ né ndá Cʉ̀apʉ̀a. À la lɔg patsẅé tÿǒsoŋo Yelúzálèm lâ panuŋepwɔʼ mbɔɔ pantsẅìnkʉ̀ Ssé ḿbʉ, ḿbú ńdɔg pʉ̀a láʼ ntsèm ḿbʉ, léfó na pʉ̀a pie é nyé ńkɔ́gte, ńgʉa ńkúu na pe melÿò. Ńkúu wó, ńtyé mvfò pɔ́b metsèm, ḿbú ńtóŋ meshwóŋè ntsèm mie ée tsɛ̀ɛ lepuʼú ŋwàʼne kʉ̀a sie mé ka gyá tsɛ̀ɛ ndá Cʉ̀apʉ̀a. ","Then the king went to the Lord’s temple with all the men of Judah and all the inhabitants of Jerusalem, as well as the priests and the prophets #— #all the people from the youngest to the oldest. He read in their hearing all the words of the book of the covenant   that had been found in the Lord’s temple.  # 23:2 2Kg 22:8 "
"Á gwɔ́ púʼu, afùɔ kwɔ́ʼ ńtyé ndùm melʉ̀ʼ, á mvfò Cʉ̀apʉ̀a, ńgwaa cʉ́me kʉ̀a, ńzẅíŋe lécʉ́me nzèm Cʉ̀apʉ̀a, ńzẅíŋe légiŋe na membʉ̌ mé, mbɔɔ mentÿɔgɔ́ mé, ńgÿo légiŋ ndʉŋndʉŋ né ntʉ́m wé ntsèm, mbɔɔ né zẅìge yé ntsèm, tá ńdɔg ńgÿo meshwóŋè kʉ̀a mie mé la ŋweʼe tsɛ̀ɛ yɔɔn ŋwàʼne é pumte. Aláʼa ntsèm leen ńké ńzẅíŋe yɔɔn kʉ̀a.","Next, the king stood by the pillar  ,# 23:3 1Kg 7:15; 2Kg 11:14 and made a covenant  # 23:3 2Kg 11:17 in the Lord’s presence to follow the Lord and to keep his commands, his decrees, and his statutes with all his heart and with all his soul  # 23:3 Dt 6:4–6; 13:4 in order to carry out the words of this covenant that were written in this book; all the people agreed to  # 23:3 Lit people took a stand in the covenant.  # 23:3 Ex 24:3–8; Jos 24:14–28"
"Afùɔ la gÿo púʼu, ńtsẅi né Hikiya gẅie aa nùŋepwɔʼ welÿò, mbɔɔ né panuŋepwɔʼ pie é kẅéte yé, lâ pʉ̀a pie é pyɛ́bɛ ncwò nkáʼa ndá Ssé ngie: «Pi pú fó ndá Ssé ńkẅile shúm ntsèm sie mé la nyɛte ńdɔg ńguʼte ssé Mbâa, mbɔɔ se ssé Ashÿéla, ńgÿo se ssé mecÿɔ́ʼsaŋ.» Mé kẅile ńdɔg fó Yelúzálèm ńkẅɛ, ńgʉa né fúʼu Sendeloŋ ńtuɔ, ḿbiŋ ńtúʼu mpfó ńdɔg ńgʉa né Mbetɛɛ. ","Then the king commanded the high priest Hilkiah   and the priests of the second rank  # 23:4 2Kg 25:18; Jr 35:4; 52:24 and the doorkeepers to bring out of the Lord’s sanctuary all the articles made for Baal, Asherah, and all the stars in the sky.  # 23:4 2Kg 21:3,7; 2Ch 33:3 He burned them outside Jerusalem in the fields of the Kidron and carried their ashes to Bethel.  # 23:4 2Kg 23:15 "
"Afùɔ Jÿosiyásè leen ńké ńjwoŋ panuŋepwɔʼ pe cÿɔ̌nò pie mefùɔ pà Yúndà la tsɔ́ʼ páʼ pɔ́ ge tuɔ lìi na mejʉʼ ssé metÿǒsoŋo pà Yúndà, mbɔɔ mie ée menkwɔʼɔ́ tÿǒsoŋo Yelúzálèm, ńgíŋe ńjwoŋ panuŋepwɔʼ pie é tuɔ lìi na mejʉʼ ssé Mbâa, mbɔɔ pe nèm, ńgÿo pe saŋ, lâ shúm ntsèm sie ée lefaŋ tà ńkyɛʼɛ jʉʼ. ","Then he did away with the idolatrous priests the kings of Judah had appointed to burn incense at the high places   in the cities of Judah and in the areas surrounding Jerusalem. They had burned incense to Baal, and to the sun, moon, constellations, and all the stars in the sky.  # 23:5 2Kg 21:3 "
"Ńjwoŋ púʼu, ńdeen ńké ńgÿo mé fó ndá Cʉ̀apʉ̀a ńtsɔ́ʼ ntóon ssé Ashÿéla, ńdɔg fó Yelúzálèm ńkẅɛ, ńgʉa ńtuɔ fúʼu ssé Sendeloŋ, tà é pú shÿó tà ńcʉ́ʼ ńgwɔ́ pɔ́ pfó, mé túʼ ńgʉa ḿpfɛte jʉʼ gie mé túŋo mepfó pʉ̀a láʼ wó. ","He brought out the Asherah pole   from the Lord’s temple to the Kidron Valley outside Jerusalem. He burned it at the Kidron Valley,  # 23:6 1Kg 15:13 beat it to dust,  # 23:6 2Kg 23:15 and threw its dust on the graves of the common people.  # 23:6 Lit the sons of the people,# 23:6 2Ch 34:4; Jr 26:23 "
"Afùɔ Jÿosiyásè la gÿo mé pú ńtág mendá mie é laa ngʉ̀ŋe ndá Cʉ̀apʉ̀a, epʉ̀a gwaa ńgee wó ńguʼte tsɔ́ messé. É ndá gie panzwě lɔ́ɔn ḿbáʼa menzsǒ paguʼte ssé Ashÿéla tsoló. ","He also tore down the houses of the male cult prostitutes   that were in the Lord’s temple, in which the women were weaving tapestries  # 23:7 Or clothing for Asherah.  # 23:7 Ex 38:8; Ezk 16:16"
"Jÿosiyásè gÿo panuŋepwɔʼ ntsèm pie ee tsɛ̀ɛ metÿǒsoŋo Yúndà fó wó ńtó né tÿǒsoŋo Yelúzálèm; ḿbú ńtág mejʉʼ ssé mɔ́b mie panuŋepwɔʼ lɔ́ɔn ńtuɔ lìi wó, léfó Ngemba ńgʉa gʉa ńkúu Mbɛɛshÿeba; ńtág mejʉʼ ssé mie ée mencwò ndá: á ncwò ndá Yǒonshûa gẅie aa fùɔ tÿǒsoŋ, mbɔɔ mencwò ndá mie ée na gwoŋó pwó kyɛ̀bɛ lékúu tÿǒsoŋ. ","Then Josiah brought all the priests from the cities of Judah, and he defiled the high places   from Geba  # 23:8 Jos 21:17; 1Kg 15:22 to Beer-sheba,  # 23:8 1Sm 3:20 where the priests had burned incense. He tore down the high places of the city gates at the entrance of the gate of Joshua the governor of the city (on the left at the city gate). "
"À lɔɔn ńgwɔ́ panuŋepwɔʼ mejʉʼ ssé le nuŋe pwɔʼ na jʉʼʉ lenuŋé pwɔʼ Cʉ̀apʉ̀a á Yelúzálèm wɔ́. Táʼ, ngwɔ́ pɔ́ pfɛ́ mbelég té mvòŋ páʼ petsɔ́ panuŋepwɔʼ.","The priests of the high places, however, did not come up to the altar of the Lord in Jerusalem; instead, they ate unleavened bread with their fellow priests.  "
"Afùɔ Jÿosiyásè la tága jʉʼʉ ssé Tofɛd gie á laa fúʼu Eŋnom, légwɔ́ gie pʉ̀a té gíŋ tuɔ gubé yɔ́b yembàŋa kà pɔ́ yepanzwě wɔ́ɔ á jʉʼó, é lɔg nuŋe pwɔʼ mbwó ssé Molɛg wɔ́. ","He defiled Topheth,   which is in Ben Hinnom Valley,  # 23:10 Jos 15:8 so that no one could sacrifice his son or daughter in the fire  # 23:10 Lit could make his son or daughter pass through the fire,# 23:10 Lv 18:21; 20:2–5 to Molech.  # 23:10 1Kg 11:7; Jr 32:35 "
