ngiemboon,en
"Pantsẅìnkʉ̀ Ssé pe cÿɔ̌nò laa tsɔ́ fʉ̀ʼ ńgwɔ́ tsetsɛ̀ɛ pʉ̀a Ésàlayɛ, áa ndʉŋndʉŋ páʼ pazíʼi pʉ̀a nò Ssé pe cÿɔ̌nò ge gÿo kẅɛ́te tsetsɛ̀ɛ pi. Pɔ́ ge gÿo lɔg pɔ́ ndɔɔnndɔɔn é zíʼi pʉ̀a cÿɔ̌nò, e gwɔ́ gẅie ngwɔ́ é cʉ́ŋte letʉ́m pʉ̀a, é gwɔ́ gwɔ́ tà moŋe Tsítsà gẅie à la gÿo pɔ́ tsẅɛ́, é gÿo púʼu, é lɔg shwoŋ ngʉ̀ngʉ̀ gie e ge pyága wɔ́b, e ké le líi létó wɔ́. ","There were indeed false prophets   among the people, just as there will be false teachers  # 2:1 Ac 20:29; 2Co 11:13–15; Gl 2:4; 1Tm 4:1; 2Tm 4:3 among you. They will bring in destructive heresies, even denying the Master who bought  # 2:1 1Co 6:20; 7:23 them, and will bring swift destruction on themselves. "
"Epʉ̀a tà ńgyɔ́ɔn cʉ́me nzèm pɔ́b ńcʉ́ʼʉ ńgÿo pɔ́ menò shʉ́. Mé cʉa na pɔ́b, ńzoonte mánzsè nò gie áa nénʉ́. ","Many will follow their depraved ways, and the way of truth will be maligned because of them.   "
"Páʼ pɔ́ kwoŋ nkáb tɛʼ la, pɔ́ ge lɔgɔ shwóŋè gie pɔ́ lʉʼté lʉʼte, é lɔg lÿɔgte gẅí, é kẅé shúm sí, ńké ńgÿo púʼu pɛ́ʼɛ̀, mbà Ssé la láʼ ńzáʼ ntsaŋ yɔb, tà á cʉ́ʼ pɔ́ méjʉʼ ngɔ́ʼ gwé na pɔ́b.","They will exploit   you in their greed  # 2:3 Eph 5:3 with made-up stories. Their condemnation,  # 2:3 Mt 12:41; 23:33; Rm 3:8 pronounced long ago, is not idle, and their destruction does not sleep."
" Mecÿɔ́ʼ Ssé la zɔɔn fʉa nò, e Ssé te wɔ́b nyé. À la tsó wɔ́b ḿmaʼa tsɛ̀ɛ pÿé té lǎŋ á jʉʼʉ nzěm, pɔ́ ée ńgwɔ́ wó tsɛ̀ɛ menkÿo, ńne ńzẅíʼte lyɛ̌ʼ gie mé ge tsɔ́ʼte mentsaŋ. ","For if God didn’t spare   the angels who sinned but cast them into hell  # 2:4 Gk Tartarus,# 2:4 Rv 20:2–3,10 and delivered them in chains  # 2:4 Other mss read in pits of utter darkness to be kept for judgment;  # 2:4 Mt 25:41 "
"Tà mbɔɔ ngwòŋ we fʉ̀ʼʉmvfò gẅie pʉ̀a mesoŋ laa tsoló, ńgwɔ́ ngàŋ mefʉa e Ssé la te nyé. À la gÿo ntse fó meshÿó meshÿó ńkwɔ́ʼ, ńjÿó mengwòŋ, megàŋmbù pé fÿɛ́ɛ tsoló. Á gÿo ndàʼ Nowa, gẅie à la ne shwóŋo láʼ mmó gie e Ssé ne ńkwoŋo, lê pʉ̀a sɔɔnmbʉ́a zɔ̌ tsẅɛ́. ","and if he didn’t spare the ancient world, but protected Noah,   a preacher of righteousness, and seven others,  # 2:5 Lit Noah, the eighth, a preacher of righteousness,# 2:5 1Pt 3:20 when he brought the flood on the world of the ungodly; "
"E Ssé la gíŋe ńtém ngɔ́ʼ na pʉ̀a tÿǒsoŋ Sondɔm mbɔɔ na pʉ̀a tÿǒsoŋo Ngomɔɔ ńdɔg mmɔ̌g ḿbyága wɔ́b, ńdɔgɔ ńnyɛɛ pʉ̀a tepòŋ fʉ̀ʼ mmó gie á ge gÿo tóo na pɔ́b. ","and if he reduced the cities of Sodom and Gomorrah   to ashes and condemned them to extinction,  # 2:6 Other mss omit to extinction making them an example of what is coming to the ungodly;  # 2:6 Is 1:9; Jd 15 "
"À la fó wó ńkẅile Lɔ̂d. Á gwɔ́ nyìŋ gẅie à lɔ̌ɔn ńgÿo pɔ́ mmó gie áa ndʉŋndʉŋ mvfò yé Ssé, tà ńgyá tsẅé tepòŋ, lâ menò shʉ́ mie pʉ̀a mɛ̌ metÿǒsoŋ lɔ́ɔn fʉʼʉ tà sáʼa sǎʼ, é pú ḿbÿɔ́gɔ yé tɛʼ. ","and if he rescued righteous Lot,   distressed by the depraved behavior of the immoral "
"Yé gẅie à laa nyìŋ ńgwɔ́ ndʉŋndʉŋ mvfò Ssé, à lɔ̌ɔn ńnéŋe nùɔ pʉ̀a ŋwɛ́, ńgyá ntí gie pɔ́ lɔgɔ ńnéŋe, ńjúʼu menò mie pɔ́ gɔɔn, é gege yé gege lyɛ̌ʼ ntsèm. Á nue letʉ́m sé la tyé pɔ́ na mmó gie áa ndʉŋndʉŋ. ","(for as that righteous man lived among them day by day, his righteous soul was tormented by the lawless deeds he saw and heard  ) #— # "
"Mé fó na mɔɔn menò, ńgyá ngie Cʉ̀apʉ̀a kwoŋo léfó tsɛ̀ɛ ngɔ́ʼ ńkẅile pʉ̀a pie é zsé pɔ́ ndàʼ yé; é cʉ́ʼ pʉ̀a tepòŋ á nyé wɔ́b ngie pɔ́ zẅíʼte ngɔ́ʼ lyɛʼɛ́ ntsɔ̀ʼte mentsaŋ. ","then the Lord knows how to rescue   the godly from trials and to keep the unrighteous under punishment for the day of judgment,  # 2:9 Mt 10:15; Jd 6 "
"À gwɔ́ lyɛʼó, à tʉʉ lelÿò ńzáb ngɔ́ʼ twó pʉ̀a pie é néŋe ńgÿo mmó gie mbùm yɔb tsóte wɔ́b légÿo, ńnéŋe ńtsɔ́ɔn menò ncÿǒ. E Ssé gɔɔn nò pɔ́ gwág gwǎg.",especially those who follow the polluting desires of the flesh and despise authority.  
