ngiemboon,en
"Á gwɔ́ fʉʼó, fùɔ Elônde zye létsɔ́ʼɔ kwò tsɔ́ ngàŋa cúʼtè pʉ̀a Keleto té poŋ, ","About that time King Herod violently attacked some who belonged to the church, "
ńtúm mé gʉa ńdɔg nně ncù ńzẅé Jÿâg gẅie aa fɛ̌ Jÿâŋ. ,"and he executed James,   John’s brother, with the sword. "
"Á gyá, mbà à gÿǒ púʼu, á poŋ pà Yúndà. Á leen ńké ńgíŋe ńgÿo mé gwoon Piɛ yé, ńgwaa gwoon yé púʼu, á gwɔ́ fʉ̀ʼ gie mé jÿó línɔ̀ɔn mbelég té mvòŋ. ","When he saw that it pleased the Jews, he proceeded to arrest Peter too, during the Festival of Unleavened Bread.   "
"Elônde tsẅi mé gwoon Piɛ púʼu, ńdɔgɔ yé ńgʉa ńjÿɔ́ʼɔ ndátsǎŋ. Á táŋte palÿɔ́ʼncù lekùɔ lekùɔ é menùɔ lekùɔ, ńtÿɔ́gte ngie pɔ́ ne ḿbyɛ́bɛ yé, ńne ńzẅíʼte páʼ línɔ̀ɔn pásékà ge cʉa, à tÿɔ́gɔ yé mvfò láʼ, mé ŋaga yé. ","After the arrest, he put him in prison and assigned four squads of four soldiers each to guard him, intending to bring him out to the people after the Passover. "
"Mé jÿɔ́ʼɔ Piɛ ndátsǎŋ púʼu, acúʼtè pʉ̀a Keleto ne sẅíŋte Ssé na twó yé té kʉ́a.","So Peter was kept in prison, but the church was praying fervently to God for him."
"Á gwɔ́ lyɛ̌ʼ gie njÿó ge lʉ́a, fùɔ Elônde gÿo mé tÿɔ́gɔ Piɛ mvfò láʼ, ńŋaga yé. Piɛ gwɔ́ letsẅɛ́ʼ, ńnuŋe tsetsɛ̀ɛ palÿɔ́ʼncù mémbʉ́a, ńne ńdyé. Mbà mé lɔ̌g metsɛ̂n mémbʉ́a ńcʉŋe yé. Papyɛ́b jʉʼ gwɔ́ ncwò ndá, ńne ḿbyɛ́bɛ yé. ","When Herod was about to bring him out for trial, that very night Peter, bound with two chains, was sleeping between two soldiers, while the sentries in front of the door guarded the prison. "
"Atsɔ̌ Cÿɔ́ʼ Cʉ̀apʉ̀a vege vege ńkẅɛɛ jʉʼ gie Piɛ aa wó, ejʉʼ pú ńkyɛ́ʼɛ tsɛ̀ɛ ndá. Cÿɔ́ʼ Ssé púʼte gwoŋó nnɛ́ Piɛ, ńzyeen yé, ńgɔɔn né yé ngie: «Lu ssé lê tʉ̀!» Metsɛ̂n leen ńké fó na mbwó mé ńkyɛ́ʼte ḿbʉle ssé. ","Suddenly an angel of the Lord   appeared, and a light shone in the cell. Striking Peter on the side, he woke him up and said, “Quick, get up! ” And the chains fell off his wrists.  # 12:7 Lk 2:9; 5:19; 16:26; 24:4 "
"Cÿɔ́ʼ Ssé gíŋe ńgɔɔn né yé ngie: «Tʉ́m nzsǒ jù, ńjÿɔ́g melɔ̌ɔn mú.» Piɛ gÿo púʼu. Cÿɔ́ʼ Ssé gíŋe ńgɔɔn né yé ngie: «Maʼ nzsǒ fÿɔ́g jù, ńcʉ́me nzèm mèŋ.» ","“Get dressed,” the angel told him, “and put on your sandals.” And he did. “Wrap your cloak around you,” he told him, “and follow me.” "
"Piɛ fó ndà tsǎŋ ńkẅɛ, ńcʉ́me nzèm yé. À te ne ńzsé ngie cÿɔ́ʼ Ssé kwǎʼ ńtó ńkẅéte yé wɔ́, ńkwaŋ ngie Ssé nyɛ̌ʼ pɔ́ nÿɔ́g mé tá á gyá mɛ̌ menò. ","So he went out and followed, and he did not know that what the angel did was really happening, but he thought he was seeing a vision.   "
"Cÿɔ́ʼ Ssé lɔgɔ Piɛ ńtɔ́gɔ mvfò mvɔ̀gmvfò nùɔ palÿɔ́ʼncù, ńgíŋe ḿbɔ́ɔnte ńtɔ́gɔ mvfò yetsɔ́ nùɔ, ńgʉa tà ńkúu ncwò ndá gẅie mé la lɔgɔ tʉ̌ ńnyɛte, mé fóo jʉʼó ńkẅɛɛ ńkúu tÿǒsoŋ, ncwò ndá tsɔ́ʼɔ gíle yé, á mvfò pɔ́b. Pɔ́ leen ńkẅɛ, ńcʉ́me lǎŋ tà ńnáʼa ńzye ńgiŋ, cÿɔ́ʼ Ssé gwóon ńnyé Piɛ, ńgʉa.","After they passed the first and second guards, they came to the iron gate that leads into the city, which opened to them by itself. They went outside and passed one street, and suddenly the angel left him.  "
