ngiemboon,en
"Pi zẅíʼte shwóŋè yɔɔn: Ée ntse legwé gẅie mèŋ n kǎa, ńtí gẅí mbà ngẅɛ̀ Ésàlayɛ!","Listen to this message that I am singing for you, a lament,   house of Israel:"
"Ésàlayɛ aa páʼ múɔngùɔ gẅie à kwě,",She has fallen;
Á nue Cʉ̀apʉ̀a Ssé gɔ̌ɔn ngie:,For the Lord God says:
"Púʼu la, Cʉ̀apʉ̀a ne ńgɔɔn né ngẅɛ̀ Ésàlayɛ ngie:",For the Lord says to the house of Israel:
"Tà pi faʼa wɔ́ɔn á Mbetɛɛ,",Do not seek Bethel  
Pi faʼa Cʉ̀apʉ̀a!,"Seek the Lord    and live,"
"Anò gie á tyé ndʉŋndʉŋ cʉ́ʼ ńgwɔ́ pɔ́ lelaŋ ńdẅe lẅe,",Those who turn justice into wormwood  
"Yé zɔ nyɛte nùɔ mecÿɔ́ʼsaŋ pie mé tóŋo tsɔ́ lê Peleyande,","The one who made the Pleiades and Orion,  "
"À zẅǐŋ ngie mé tága ngàŋ metʉ̀,","He brings destruction   on the strong,  # 5:9 Or stronghold,# 5:9 Is 29:5"
"Pi kúu jʉʼʉ lésaʼ ntsaŋ,",They hate the one who convicts the guilty  
"«Pi nẅɛ mepepÿɛ́ɛ pʉ̀a,","Therefore, because you trample on the poor  "
"Á nue mèŋ n ne ńzsé ngie metse pʉ̀a pie pi la pfɛte gyɔ́ɔn,",For I know your crimes are many
"Yɛ̂ áa mmó gie á gÿo,","Therefore, those who have insight will keep silent  ,# 5:13 Ec 3:7; Hs 4:4"
"Tà pi faʼa nò tepòŋ,",Pursue good and not evil
"Pi pʉa nò tepòŋ,",Hate evil and love good;  
"Á cʉa púʼu, Cʉ̀apʉ̀a gẅie ee Ssé gie e piʼi kɔ̀ɔkɔ́ɔ gɔɔn ngie:","Therefore the Lord, the God of Armies, the Lord, says:"
"Mé ge gÿo gwɔ́ tsɛ̀ɛ menkáʼ metÿǒ melùʼ,","There will be wailing in all the vineyards,  "
Ee ngɔ́ʼ mbwó pʉ̀a pie,Woe to you who long for the day of the  Lord!  
Á ge láʼ gwɔ́ páʼ nò nyìŋ gẅie,It will be like a man who flees from a lion  
Alyɛʼɛ́ láʼ Cʉ̀apʉ̀a ge láʼ gwɔ́ kyɛ̀ʼ?,Won’t the day of the  Lord
"N te kwoŋ melínɔ̀ɔn mí wɔ́, ée mbwó mèŋ, é te tsɔ́ mmó wɔ́,","I hate, I despise, your feasts!  "
"Pi lɔɔn nuŋe pwɔʼ gẅie mé tuɔ nɔ̀ɔn tà á pú shÿó pɔ́ ntsèm,",Even if you offer me
Tà pi gíŋe ḿbége metuŋó mɔ́ɔn né mezɔ̀b mí.,Take away from me the noise of your songs!
"Á poŋ ngie nò gie á tyé ndʉŋndʉŋ cwoŋ páʼ ntse,","But let justice flow like water,"
"«Ésàlayɛ, pi la néŋe nkùɔmekwaʼá ngùʼ móm lekùɔ, pi la te láʼ ńnuŋe pwɔʼ mvfò mèŋ wɔ́, ńké te ná shúm sie é kẅɛɛ na tsetsáʼ né mèŋ wɔ́. ","“House of Israel, was it sacrifices and grain offerings that you presented to me during the forty years in the wilderness?   "
"Táʼ, pi ee lyɛ̌ʼɔɔn ńjÿɔ́g metútú mie kwàʼ pi zɔ ka nyɛte, á gwɔ́ we Sikud fùɔ gẅí, ńgwɔ́ ssé gi, wetsɔ̌ gwɔ́ we Kiyune gẅie aa cÿɔ́ʼsaŋ gẅi, ńgwɔ́ ssé gi!","But you have taken up   Sakkuth your king and Kaiwan your star god,  # 5:26 LXX reads taken up the tent of Molech and the star of your god Rephan; Ac 7:43 images you have made for yourselves.  # 5:26 Is 44:12–20 "
N ge gÿo gwoon gẅí lɔg gʉa tà tɔ́gɔ Ndamásè.»,"So I will send you into exile beyond Damascus.”   The Lord, the God of Armies, is his name.  # 5:27 Am 4:13 He has spoken."
