ngiemboon,en
"Pi metá puʼ, pi gwɔ́ ndʉŋndʉŋ mvfò menkwɔɔn pí, ḿbiŋ ńgÿo pɔ́ mmó gie á zɛ́te ngie mé gÿo, ńne ńkímte ngie pi gí, pi gẅiin gẅi Tá fàʼ tÿǒ lepwó.","Masters,   deal with your slaves justly and fairly, since you know that you too have a Master in heaven."
"Pi ké ne ésẅíŋte Ssé sẅíŋte, tà pi lyé. Pi gwaa ne gÿo púʼu, ńne ńnáa ndǎg mbwó Ssé, ",Devote yourselves   to prayer; stay alert in it with thanksgiving. 
"ńgíŋe ne ésẅíŋte Ssé na ség twó, à ná shÿó mbwó peg lélɔg éshwóŋo nò yé. E fó púʼu, ńkyagte nò Keleto gie á la zɔɔn ńdyeen menÿɔ́g pʉ̀a lyeen. N gee ndátsǎŋ páʼɔɔn, ńtí pɔ́ yɛ̌. ","At the same time, pray also for us that God may open a door   to us for the word, to speak the mystery of Christ,  # 4:3 1Co 2:7; Eph 3:4; 5:2 for which I am in chains,  # 4:3 Ac 27:2; 28:16,30; Eph 6:18–20 "
"Pi cwoŋo sẅíŋte Ssé, ńzsé ngie n ge shʉashʉa gɔɔn nò yé páʼ á ne ńzɛ́te ngie n gɔɔn.",so that I may make it known as I should. 
"Á gʉa na pʉ̀a pie é té pʉ̀a Keleto wɔ́, pi zsé ntí gie pi ge lɔg néŋe tsetsɛ̀ɛ pɔ́b. E Ssé ná shʉa létsẅi nkʉ̀ mbòŋo mbwó pɔ́b, tà pi cʉ́ʼ yɛ̌ fʉ̀ʼ tɔ́g. ","Act wisely toward outsiders, making the most of the time.   "
"Pi gwɔ́ fʉ̀ʼ ntsèm ńgẅiin pɔ́ ncwò mbòŋo, ńgɔɔn pɔ́ nò gie á ge kẅéte, ńtsɔ́ʼɔ nò mbwó nyìŋ pɔ́ páʼ á kɔʼɔ́ ḿboŋ ngie mé tsɔ́ʼ.","Let your speech always be gracious, seasoned with salt,   so that you may know how you should answer each person.  # 4:6 1Pt 3:15"
"Atʉ̀nzẅìŋ fɛ̌ wege Tishʉg, gẅie peg lâ pɔ̌ zɔ pǔ faʼa mbwó Cʉ̀apʉ̀a ge tó shwóŋo gẅí páʼ n gee jʉʼɔɔn ńnéŋe púʼu. Aa ngàŋafàʼ tɛʼ, à zsé pɔ́ nò Cʉ̀apʉ̀a. ","Tychicus,   our dearly loved brother, faithful  # 4:7 Nm 23:19 minister, and fellow servant in the Lord, will tell you all the news about me. "
"N cwoŋo ńtúmo yé páʼɔɔn ngie à gʉa shwóŋo gẅí páʼ peg lɔg ńnéŋe jʉʼɔɔn púʼu, mbɔɔ páʼ à ge tó kẅiŋte gẅí. ","I have sent him to you for this very purpose, so that you may know how we are   and so that he may encourage  # 4:8 Lk 16:25 your hearts.  # 4:8 Eph 6:21–22; Col 2:2 "
"Tishʉg pɔ́ Onezim ge gÿo pú tó. Onezim aa tsɔ̌ tàʼ nyìŋ gẅi, ńgwɔ́ tʉ̀nzẅìŋ fɛ̌ wege, ńzsé yé pɔ́ ndàʼ nò Yěsô. Pɔ́ ge tó, éshwóŋo gẅí kɔ̀ɔkɔ́ɔ gie á ne ńcʉate jʉʼɔɔn.","He is coming with Onesimus,   a faithful and dearly loved brother, who is one of you. They will tell you about everything here."
"Alisetag gẅie peg yé pǔ ńgwɔ́ ndátsǎŋ, à tsyɛʼté gẅí. Málákúsè gẅie aa míŋ fɛ̌ Panébásè giŋé ńtsyɛʼte gẅí yé. N ka zɔɔn ńkíme yé mbwó pi. À lɔɔn ńkúu jʉʼɛ, pi kúe yé mboŋó. ","Aristarchus, my fellow prisoner, sends you greetings, as does Mark,   Barnabas’s  # 4:10 Ac 4:36 cousin (concerning whom you have received instructions: if he comes to you, welcome him), "
"Yěsô gẅie mé gíŋe ńtóŋo yé lê Jẅisetẅísè tsyɛʼté gẅí yé. Á gʉa tsetsɛ̀ɛ pà Yúndà pie é ka zẅíŋe nò Keleto, ée ndàʼ wɔ́b pɔɔn métá pie peg lâ pɔ̌ ee jʉʼɔɔn, éfaʼa ńtí nò lefùɔ Ssé. Pɔ́ zɔ̌ ka ne ńnéŋe ntʉ́m wɔ́ɔn. ","and so does Jesus who is called Justus. These alone of the circumcised are my coworkers for the kingdom of God, and they have been a comfort to me. "
"Epafalásè gẅie aa nyìŋ láʼ gẅi, à tsyɛʼté gẅí. Wɔɔn aa nyìŋ gẅie à faʼa fàʼ Keleto, ńnéŋe fʉ̀ʼ ntsèm, ńne ńdɔgɔ lésẅíŋte Ssé, ḿmaʼa ncù na twó sí. À gÿo púʼu, légwɔ́ gie pi ge tʉ tʉ na nò Yěsô, atsɔ́ mmó le gíŋe ńzága na pi wɔ́, pi néŋe fʉ̀ʼ ntsèm, ńzẅíŋ pɔ́ légÿo mmó gie e Ssé ne ńkwoŋo ngie pi gÿo. ","Epaphras,   who is one of you, a servant of Christ Jesus, sends you greetings. He is always wrestling  # 4:12 Jd 3 for you in his prayers, so that you can stand mature and fully assured  # 4:12 Other mss read and complete in everything God wills.  # 4:12 Gl 1:4; Eph 1:9 "
"N dɔ̌g nÿɔ́g mɔ́ɔn ńgyá páʼ à gyá ngɔ́ʼ, éfaʼa ńtí gẅí, éfaʼa ńtí mbɔɔ pʉ̀a Ssé pie ée Lawondise mbɔɔ pie ée Hilapolísè. ","For I testify about him that he works hard  ,# 4:13 Jd 3 for you, for those in Laodicea,  # 4:13 Col 2:1 and for those in Hierapolis. "
"Ashǔ wege Lúkáasè, á lɔ́gtà lÿò, mbɔɔ Ndemásè, pɔ́ tsyɛʼté gẅí.","Luke, the dearly loved physician, and Demas   send you greetings. "
"Pi tsyɛʼte mefɛ̌ mefɛ̌ pie ée Lawondise, ńtsyɛʼte Nimfa mbɔɔ cúʼtè pʉ̀a Keleto gie áa ndá yé. ","Give my greetings to the brothers and sisters in Laodicea, and to Nympha and the church in her home.   "
"Pi ge tóŋo yɔɔn ŋwàʼne tà à mag, é faʼ shÿó, é túm náa mbwó cúʼtè pʉ̀a Keleto gie áa Lawondise, pɔ́ tóŋ yɔ́b. Ayɔ́b ŋwàʼne gie n tǔm, pɔ́ ná pi gíŋe ńtóŋ gí. ","After this letter has been read at your gathering, have it read also in the church of the Laodiceans; and see that you also read the letter from Laodicea. "
