ngiemboon,en
"Á laa na ndùŋmvfò ngùʼu láʼ gie Ndalẅísè míŋ Zɛɛzɛ́sè gẅie á lɔ̌ɔn fóo na ndyèente pʉ̀a Mɛnde la cʉ́ʼʉ fùɔ lésáʼ pʉ̀a Mbambilonia, ","In the first year of Darius,   the son of Ahasuerus, a Mede by birth, who was made king over the Chaldean kingdom #— # "
"á gwɔ́ na ndùŋmvfò ngùʼ gie à la ne sáʼa láʼ, mèŋ Ndanîɛ, n tóŋo tsɛ̀ɛ membuʼú meŋwàʼne ndʉalʉ̌a, ńjúʼ nzẅìŋ mengùʼ mie Yelúzálèm ge néŋe páʼ mé la tága yé, ndʉŋndʉŋ páʼ Cʉ̀apʉ̀a la cʉa na ncwò ntsẅìnkʉ̀ we Yelemî ńgɔɔn ngie: É ge láʼ gwɔ́ ngùʼ móm sɔɔnmbʉ́a. ","in the first year of his reign, I, Daniel, understood from the books according to the word of the Lord to the prophet Jeremiah that the number of years for the desolation of Jerusalem would be seventy.   "
"Á la gwɔ́ púʼu, n kwoŋ kwoŋ ńnéŋe nzyè, ńkaa pɔ̀ɔn éshu, ńdɔg ńdúŋ, éshʉ́a pfó, ńdeen sele nnɛ́, ńdíe Cʉ̀apʉ̀a Ssé ḿbúʼ mbwó, ńcwoŋo ésẅíŋte yé. ","So I turned my attention to the Lord God to seek him by prayer and petitions, with fasting, sackcloth, and ashes.  "
"N da gÿo ésẅíŋte Cʉ̀apʉ̀a, é Ssé yɔ̀ɔn, ńdɔg ńzẅíŋe mefʉa ńgɔɔn ngie: Tsetsɔ́ʼ Cʉ̀apʉ̀a, gù Ssé gie e fǎŋ ḿbiŋ ńtʉ, ɔ̀ zsé lépyɛ́bɛ kʉ̀a, ńzsé lépɔ́ɔnte pyennɛ́ gie pʉ̀a pie é kwoŋo gú, ḿbiŋ ńgiŋe na mentÿɔgɔ́ mú, é gẅiin nzèm gù.",I prayed to the Lord my God and confessed:
"Peg ka te júʼ ncwò gú wɔ́, peg ka fʉa, peg ka giŋ pɔ́ páʼ pʉ̀a tepòŋ, mbɔɔ páʼ megàŋa tʉʉtwó. Peg ka gwǎʼ mentÿɔgɔ́ mú pɔ́ mmó gie ɔ̀ la záb. ","we have sinned,   done wrong, acted wickedly, rebelled,  # 9:5 Lm 1:18,20 and turned away from your commands and ordinances.  # 9:5 Ps 119:176; Is 53:6; Dn 9:11 "
"Peg ka te júʼ ncwò megàŋafàʼ pú pantsẅìnkʉ̀ Ssé wɔ́. Pɔ́ ka lɔg lezíŋ shú ńgɔɔn nò mbwó mefùɔ pég, á mbwó pʉ̀a pie é sáʼa wég, á mbwó pamángʉanjʉʼ pég tà mbɔɔ mbwó láʼa ntsèm. ","We have not listened to your servants the prophets,   who spoke in your name to our kings, leaders, ancestors, and all the people of the land."
"Cʉ̀apʉ̀a, ɔɔ nénʉ́, eshʉ́ ne ńkúu wég mvfò gù! Oon, áa lyɛ̌ʼɔɔn, eshʉ́ ne ńkúu patsẅé ngwòŋ Yúndà, mbɔɔ patsẅé Yelúzálèm mbɔɔ petsɔ́ pʉ̀a Ésàlayɛ ntsèm, é pie ée mengʉ̀ŋe mbɔɔ pie ée ngʉ̀a shʉ̀shʉ̀a. Á nue epʉ̀a tà ńgyɔ́ɔn tsetsɛ̀ɛ peg la sa jʉʼ ńkúu tsɛ̀ɛ meláʼ mie ɔ̀ la jwoŋo wɔ́b ńnáa wó, á nue pɔ́ la te gẅiin pyennɛ́ nzèm gù wɔ́. ","Lord, righteousness belongs to you,   but this day public shame belongs to us: the men of Judah, the residents of Jerusalem, and all Israel #— #those who are near and those who are far, in all the countries where you have banished them because of the disloyalty they have shown toward you. "
"Oon mbà Cʉ̀apʉ̀a, eshʉ́ ne ńkúu wég mvfò gù, ndʉŋndʉŋ páʼ pamágʉanjʉʼ pég lâ mefùɔ pég lâ pʉ̀a pie é sáʼa wég, á nue peg ka fʉa nò mbwó gù. ","Lord, public shame   belongs to us, our kings, our leaders, and our ancestors, because we have sinned against you.  # 9:8 Ps 78:56–64 "
"Peg ka tʉʉ twó mbwó gù Cʉ̀apʉ̀a Ssé yeg, tá mbà ɔ̀ kě ńdɔg pɔ́ nkwòŋe ńdege mefʉa még. ","Compassion and forgiveness belong to the Lord our God, though we have rebelled against him "
"Peg ka te júʼ meshwóŋè mú wɔ́, peg ka te giŋe na mmó gie ɔ̀ ka cʉate na megàŋafàʼ pú pie ée pantsẅìnkʉ̀ pú ńzíʼi wég wɔ́. ",and have not obeyed the Lord our God by following his instructions that he set before us through his servants   the prophets.
"Epʉ̀a Ésàlayɛ ntsèm ka neŋte lepʉ̌ shú. Pɔ́ ka fó lejʉ́ŋ gù ésẅɛʼte nnɛ́ légwɔ́ gie pɔ́ té júʼu mmó gie ɔ̀ ne ńzíʼi wɔ́b wɔ́. Á nue peg ka fʉa mbwó gù Ssé yeg, ndòon leen ńké ńkúu na peg, ńdɔgɔ ńgwɔ́ mmó gie mé la ŋweʼe tsɛ̀ɛ ŋwàʼne lepʉ̌ Mǒonsê gẅie aa ngàŋafàʼ gù. ","All Israel has broken your law and turned away,   refusing to obey you. The promised curse  # 9:11 Lit The curse and the oath written in the law of Moses,  # 9:11 Dt 28:15–68; 29:16–30:20; Lk 2:22 the servant of God, has been poured out on us because we have sinned against him. "
"Ɔ̀ la gÿo ammó gie ɔ̀ la kaʼ ńtí wég mbɔɔ pʉ̀a pie é sáʼa wég, á pumte. Ɔ̀ la tóŋ ngɔ́ʼ ńnéŋe twó peg á Yelúzálèm, tà mbà mé laa zɔɔn ńgyá tsɔ̌ páʼ yɛ̌, á ndùmo ssé tsetsáʼ wɔ́. ","He has carried out his words   that he spoke against us and against our rulers  # 9:12 Lit against rulers who ruled us,# 9:12 Jb 12:17; Ps 82:2–7; 148:11 by bringing on us a disaster that is so great that nothing like what has been done to Jerusalem has ever been done  # 9:12 Lm 1:12; 2:13; Ezk 5:9 under all of heaven. "
