ngiemboon,en
"Pi pɔ́ɔn lélɔg menɔ̀ɔn pie é gẅiin lɔ̌ʼ, ńdɔg ńnuŋe pwɔʼ Cʉ̀apʉ̀a, é Ssé gi. Ńtí nue ee ntʉ̀ nò tepòŋ mbwó Cʉ̀apʉ̀a; mé gɔɔn menɔ̀ɔn páʼ fòŋ, tà mbɔɔ páʼ njʉ̀njÿò.","“Do not sacrifice to the Lord your God an ox or sheep with a defect or any serious flaw, for that is detestable to the Lord your God.  "
"Táʼ, atsɔ̌ nyìŋ mbàŋa kà wemanzwě wɔ́ɔ, à lɔɔn ńgwɔ́ tsetsɛ̀ɛ pi, á tsɛ̀ɛ tsɔ́ na metÿǒsoŋ mie Cʉ̀apʉ̀a, é Ssé gi, à náa né pi, ńne ńgÿo mmó gie á té Cʉ̀apʉ̀a, é Ssé gi, poŋ, mbà wɛ̌ nyìŋ ŋwɛ́, à lɔgɔ ńcʉŋte kʉ̀a. ",“If a man or woman among you in one of your towns that the Lord your God will give you is discovered doing evil in the sight of the Lord your God and violating his covenant   
"Ńtí nue à gʉ̌a faʼa mbwó metsɔ́ messé, é ŋwɔ́ʼ nnɛ́ mvfò pɔ́b, kà mvfò nèm wɔ́ɔ, kà mvfò saŋ wɔ́ɔ, kà mvfò mecÿɔ́ʼsaŋ ntsèm mie ée lefaŋ wɔ́ɔ, á ké te mmó gie n da tsẅi né pi wɔ́. ","and has gone to serve other gods   by bowing in worship to the sun, moon, or all the stars in the sky  # 17:3 Dt 4:19; 2Kg 23:5; Jb 31:26–28; Ps 148:3; Is 24:23; 60:19–20; Jr 8:2  #— #which I have forbidden  # 17:2–5 Dt 13:12–15; 29:18  #— # "
"Pɔ́ lɔɔn ńgÿo púʼu, tà mé shwóŋ tà pi júʼ, mbà á ne ńzɛ́te ngie pi faʼa nò mǒ, ńtúŋte, éshÿéenshÿéen ḿbíge kà áa nénʉ́, mbà yɔɔn nò la cʉa wɔ́ɔ; kà yɔɔn ntʉ̀ nò tepòŋ la cʉa tsɛ̀ɛ ngwòŋ Ésàlayɛ wɔ́ɔ? ","and if you are told or hear about it, then investigate it thoroughly. If the report turns out to be true that this detestable act has been done in Israel, "
"Á gie á lɔɔn ńgwɔ́ púʼu, pi lɔgɔ wɛ̌ mámbàŋa ŋwɛ́ kà wɛ̌ manzwě ŋwɛ́ wɔ́ɔ, ńdɔg ńgʉa né ncwò nkáʼa tÿǒsoŋ, ńdɔg metóon, ńtémte yé, ńzẅé.",you are to bring out to your city gates that man or woman who has done this evil thing and stone them to death.   
"Á ne ńzɛ́te ngie nyìŋ gẅie á tyě páʼ mé ge zẅé yé, mé gwaa zẅé yé, mbà pajÿòngyá mépʉ́a kà métá wɔ́ɔ gɔ̌ɔn nò. À lɔɔn ńgwɔ́ tàʼ jÿòngyá ndàʼ zɔ̌ le gɔɔn nò, mé fó mǒ ńzẅé nyìŋ wɔ́. ",The one condemned to die is to be executed on the testimony of two or three witnesses.   No one is to be executed on the testimony of a single witness. 
"Pajÿòngyá zɔ̌ ge vɔgɔ lélɔg metǒon ńtémte yé, tá aláʼ leen ńké ńtémte yé yɔ́b ńzẅé. Pi ge gÿo púʼu, é lɔg pyága mmó tepòŋ tsetsɛ̀ɛ pi.","The witnesses’ hands are to be the first in putting him to death, and after that, the hands of all the people.   You must purge the evil from you.  # 17:7 Dt 13:5; 19:19; 21:21; 22:21–24; 24:7; 1Co 5:13"
"Á lɔɔn ńgwɔ́ nò nyìŋ gẅie mé zẅě, kà nò nyìŋ gẅie mé něŋ fʉ̌ŋ na yé wɔ́ɔ, kà nò nyìŋ gẅie mé cǔɔ yé cǔɔ wɔ́ɔ, kà e gwɔ̌ pɔ́ tsɔ́ ntsaŋ ndyɛ̀ʼɛ gie mé ŋǎg kékáŋ, á jʉʼʉ léŋagántsaŋ, á ncú tÿǒsoŋ wɔ́ɔ, mbà pi ge lɔg ntsaŋ, é pʉ lé jʉʼ gie Cʉ̀apʉ̀a, é Ssé gi, à zǎb. ","“If a case is too difficult for you #— #concerning bloodshed,   lawsuits,  # 17:8 Ex 22:6–14 or assaults  # 17:8 Ex 21:22–26; Lv 24:19–20  #— #cases disputed at your city gates,  # 17:8 Dt 21:19; 22:15 then go up to the place the Lord your God chooses. "
"É pʉ púʼu, é gʉa gyá panuŋepwɔʼ pie ée pʉ̀a Lěvî, pɔ́ ŋàgntsaŋ gẅie à ne faʼa na mɛ̌ melyɛ̌ʼ ŋwɛ́. Pɔ́ ŋag, ńzáʼ ńnáa mbwó pi. ","You are to go to the Levitical priests and to the judge who presides at that time. Ask, and they will give you a verdict in the case. "
"Pi ge gÿo mmó gie pi kǔu jʉʼʉ ndʉalʉ̌a Cʉ̀apʉ̀a, mé záʼ ntsaŋ ńgɔɔn né pi. É piŋ kwaʼ tÿɔ́gɔ kwò na mmó gie pɔ́ tsẅǐ né pi. ",You must abide by the verdict they give you at the place the Lord chooses. Be careful to do exactly as they instruct you. 
Pi ge tÿɔ́gɔ kwò na lepʉ̌ sie pɔ́ ziʼí gẅí pɔ́ ntí leŋàg gie pɔ́ shwoŋó gẅí. Pi te kúbe nò gie pɔ́ shwoŋó gẅí wɔ́. ,You must abide by the instruction they give you and the verdict they announce to you. Do not turn to the right or the left from the decision they declare to you. 
"Nyìŋ gẅie à lɔgɔ fómtè ńgÿo mmó tà à těen ńjúʼu ncwò nùŋepwɔʼ gẅie à tyé mvfò Cʉ̀apʉ̀a, é Ssé gi, ńne faʼa fàʼ yé wɔ́, ńké těen ńjúʼu ncwò ŋàgntsaŋ wɔ́, mé ge zẅé yé; é lɔg pyága nò tepòŋ á tsɛ̀ɛ ngwòŋ Ésàlayɛ. ","The person who acts arrogantly, refusing to listen either to the priest who stands there serving the Lord your God or to the judge, must die. You must purge the evil from Israel. "
"Epʉ̀a Ésàlayɛ ntsèm júʼ, ḿbɔ́g, pɔ́ piŋ le láʼ ńgíŋe ńdɔgɔ fómtè ńgÿo tsɔ́ mmó wɔ́.","Then all the people will hear about it, be afraid, and no longer behave arrogantly."
"Pi ge gÿo gwɔ́ tà kúu tsɛ̀ɛ ngwòŋ gẅie Cʉ̀apʉ̀a, é Ssé gi, à nǎ né pi légwɔ́ gie pi zyɛ́ʼ ńkú; é kú púʼu, é piŋ tsẅé wó tà ne gɔɔn ngie: «Peg ne ńkwoŋo yég légẅiin tàʼ fùɔ páʼ meláʼ mie é pú ńtÿɔ́ʼɔ wég.» ","“When you enter the land the Lord your God is giving you,   take possession of it, live in it, and say, ‘I will set a king over me like all the nations around me,’ "
"Pi lɔɔn ńgɔɔn púʼu, pi gʉa nùɔ mefɛ̌ pi, ńdɔgɔ nyìŋ gẅie Cʉ̀apʉ̀a, é Ssé gi, à tsɔʼɔ́ yé, ńgÿo fùɔ. Á té ne ńzɛ́te ngie pi lɔgɔ ngʉ̀, á nyìŋ gẅie à te fɛ̌ gẅi wɔ́, ńgÿo fùɔ wɔ́. ","you are to appoint over you the king the Lord your God chooses.   Appoint a king from your brothers. You are not to set a foreigner over you, or one who is not of your people.  # 17:15 Gn 17:6,16; 35:11; Nm 24:17–19 "
"Táʼ, á téen ńzɛ́te ngie nyìŋ gẅie mé ge lɔgɔ yé gÿo fùɔ, à gẅiin melÿóon tà e gyɔ́ɔn wɔ́; é ké le túm pʉ̀a ngie pɔ́ piŋe ngwòŋ Egíbtò, ńjú melÿóon wɔ́. Ńtí nue Cʉ̀apʉ̀a ka gɔɔn né pi ngie, pi pɔ́ɔn léláʼ ńgíŋ ḿbiŋe wó. ","However, he must not acquire many horses for himself or send the people back to Egypt to acquire many horses, for the Lord has told you, ‘You are never to go back that way again.’   "
