ngiemboon,en
"Akɔ̀ɔkɔ́ɔ wɔ́ɔ gẅiin yé kème njÿó, ayɛ̌ kɔ́ wɔ́ɔ tóo ndùmo ssé tsetsáʼ pɔ́ na yé fʉ̀ʼ.","There is an occasion for everything,"
"Afʉ̀ʼ gie mé zyé múɔ áa wó,",a time to give birth and a time to die;  
"Afʉ̀ʼʉ lézẅé nyìŋ áa wó,",a time to kill and a time to heal;
"Afʉ̀ʼʉ lélʉa áa wó,",a time to weep and a time to laugh;  
"Afʉ̀ʼʉ lémaʼ metǒon áa wó,",a time to throw stones and a time to gather stones;  
"Afʉ̀ʼʉ léfaʼ ńgẅiin áa wó,",a time to search and a time to count as lost;
"Afʉ̀ʼʉ léshʉate menzsǒ áa wó,",a time to tear and a time to sew;
"Afʉ̀ʼʉ lékwoŋo nyìŋ áa wó,",a time to love and a time to hate;
"Apì gie ngàŋafàʼ jÿó na ngɔ́ʼ gie à gyá na fàʼ, áa páʼɔɔn ńgwɔ́ kɔ́? ",What does the worker gain from his struggles?   
N da sáŋa nò na mefàʼ mie Ssé la záb páʼ pʉ̀a mesoŋ ge faʼ. ,I have seen the task that God has given the children of Adam to keep them occupied.   
"À la gʉa na kɔ̀ɔkɔ́ɔ wɔ́ɔ, ńzába yé fʉ̀ʼ gie á ge gÿo pumte, à la gíŋ ńgÿo légwɔ́ gie ngwɔ́ nyìŋ tsɔ́ɔn lézsé mmó gie á lǎ cʉa, mbɔɔ gie á ge gÿo tá tó, táʼ pɔ́ ké te kuʼu lézsé kɔ̀ɔkɔ́ɔ wɔ́ɔ gie Ssé la gÿo wɔ́. ","He has made everything appropriate   in its time.  # 3:11 Gn 1:31 He has also put eternity in their hearts,  # 3:11 Or has put a sense of past and future into their minds, or has placed ignorance in their hearts but no one can discover the work God has done from beginning to end.  # 3:11 Jb 5:9; Ec 7:23; 8:17; Rm 11:33 "
"Áa yɛ̌ tá n cʉ́me ńgɔɔn ngie, anò mbòŋo ye nyìŋ mesoŋ gwɔ́ pɔ́ ndàʼ yé lénéŋe tsɛ̀ɛ lekág, ḿbiŋ ńgÿo yé léjúʼ mboŋó na melyɛ̌ʼ láʼ mie à ge lɔg néŋe ndùmo ssé tsetsáʼ. ",I know that there is nothing better for them than to rejoice and enjoy the   good life. 
"Á zɔɔn ńgwaa gwɔ́, e Ssé zɔ̌ gÿo tá nyìŋ gẅiin mmó mpfɛ̌ pɔ́ ye nǔ, ḿbiŋ ńjúʼ mboŋó ńzẅɛ́ʼɛ mefàʼ mé. ","It is also the gift of God whenever anyone eats, drinks, and enjoys all his efforts.   "
