ngiemboon,en
"Áa mmó gie á gÿo, mèŋ Pɔ̂ɔ gẅie n gee ndátsǎŋ ńtí nue mèŋ saʼá nò Yěsô Keleto mbwó pi pie pi te pà Yúndà wɔ́. ","For this reason, I, Paul, the prisoner   of Christ Jesus on behalf of you Gentiles #— # "
"Á ge gǎa wɔ́ɔ, mbà pi la júʼ ngie Ssé zɔ la náa yɔɔn fàʼ mbwó mèŋ, légwɔ́ gie e faʼa yɔɔn fàʼ pi zẅɛ́ʼ. À lɔ̌ɔn ńdɔgɔ ńcÿó pɔ́ gʉm yɔ́ɔn. ",assuming you have heard about the administration of God’s grace that he gave me for you. 
"À la kyɛ́ʼte mmó gie á la zɔɔn ńdyeen menÿɔ́g pʉ̀a lyeen, ńnyɛɛ wɔ́ɔn, páʼ n zɔ̌ɔn ńŋweʼe tsɛ̀ɛ yɔɔn ŋwàʼne éshwóŋo gẅí la. N kaa ŋweʼe á sag wɔ́. ","The mystery was made known to me by revelation,   as I have briefly written above. "
"Pi ge tóŋo yɔɔn ŋwàʼne, é júʼ ntí gie n dɔg ńzsé ntsem gie ee na nò Keleto. ",By reading this you are able to understand my insight into the mystery of Christ.   
"E Ssé la te kyɛ́ʼte yɔɔn ntsem ye, á mbwó pʉ̀a mesoŋ pe fʉ̀ʼʉmvfò wɔ́. Á ké ńgwɔ́ fʉ̀ʼɔɔn, mbà à gÿo à Zẅìge yé shʉ̀ashʉ̀a ńkyɛ́ʼte nò ya yɛ̌, á mbwó pʉ̀a pie à la tsɔ́ʼɔ wɔ́b, ńdɔg ńgÿo megàŋntúm Yěsô, mbɔɔ pie à la lɔgɔ wɔ́b ńgÿo pʉ̀a pie é ge néŋe tsẅii nkʉ̀ gẅie é fóo mbwó yé. ",This was not made known to people   in other generations as it is now revealed to his holy apostles and prophets  # 3:5 1Co 12:28–29; Eph 2:20 by the Spirit: 
"Entsem ŋwɛ́ eyɔɔn: á fó na nkʉ̀ mbòŋo, epʉ̀a pie é té pà Yúndà wɔ́, é gẅiin wɔ́b tÿɔgɔ́ na shúm sie Ssé la kaʼa mbwó pʉ̀a pé pà Yúndà. Pɔ́ ée mekèm tàʼ mbùm nnɛ́, ńgíŋ ńgẅiin yɔ́b nò na mmó gie Ssé la fó na Yěsô Keleto, ńkaʼa mbwó pʉ̀a mesoŋ.","The Gentiles are coheirs, members of the same body, and partners in the promise   in Christ Jesus through the gospel. "
"E Ssé la cÿó gʉm yɔ́ɔn tá ńdɔgɔ wɔ́ɔn ńgÿo ngàŋafàʼ, létsẅi nkʉ̀ mbòŋo. À la lɔg pɔ́ ngʉ̀ʼ ye tá ńgÿo púʼu. ",I was made a servant of this gospel by the gift of God’s grace that was given to me by the working of his power.  
"Tà mbɔɔ páʼ n gee tsetsɛ̀ɛ pʉ̀a Ssé metsèm ńgwɔ́ pɔ́ nzsònzèm, à ka ké ńzẅíŋ zẅíŋ ngie mèŋ zɔ gʉa ńtsẅi nkʉ̀ mbòŋo mbwó pʉ̀a pie é té pà Yúndà wɔ́, ńdaʼte pì te mag gie áa na nò Keleto. ","This grace was given to me #— #the least of all the saints #— #to proclaim to the Gentiles the incalculable riches   of Christ, "
"Mbɔɔ páʼ n ge nyɛɛ mángyɛ̌, mé zsé páʼ Ssé ge gÿo ammó gie à la láʼ ńzáb, mbà á ka zɔɔn ńgwɔ́ pɔ́ ntsem la, ge pumte púʼu. Yé Ssé gẅie à la nyɛte kɔ̀ɔkɔ́ɔ, à la lÿoon yɛ̌ nò tà ńkú fʉ̀ʼɔɔn, ",and to shed light for all about the administration of the mystery hidden for ages in God who created   all things. 
"ńnyɛɛ púʼu, ńzsé ngie metándá shúm sie ée tàa tÿǒ ńgẅiin tʉ̀, mbɔɔ metʉ̀ ntsèm mie ée tàa tÿǒ, ge zẅɛ́ʼɛ cúʼtè pʉ̀a Keleto, é zsé nò na legye Ssé tà cʉ́me. ","This is so that God’s multi-faceted wisdom   may now be made known through the church to the rulers and authorities in the heavens.  # 3:10 Eph 1:3,20; 2:6; 6:12; Php 2:10 "
