ngiemboon,en
"Afùɔ pɔ́ Hamaŋ kúu línɔ̀ɔn gie Ésétà, mɔ̌ɔn nɔʼ à ka tǒŋ. ","The king and Haman came to feast  ,# 7:1 Gn 40:20 with Esther the queen. "
"Á lɔgɔ ngwɔ́ lyɛʼɛ́ línɔ̀ɔn mbɔ́ɔntè yépʉ́a, afùɔ gíŋe zɛ́te Ésétà ngie: «Ésétà, mɔ̌ɔn nɔʼ, ammó gie ɔ̀ lúɔ, áa kɔ́? N ge náa mbwó gù! Ammó gie ɔ̀ ne ńtsɔ́ɔn, áa yɛ̌? Á lɔɔn ngwɔ́ pɔ́ gwoŋó lefùɔ, mbà mèŋ ge náa mbwó gù!» ","Once again, on the second day while drinking wine,   the king asked Esther, “Queen Esther, whatever you ask will be given to you. Whatever you seek, even to half the kingdom, will be done.”  # 7:2 Est 5:3,6"
"Ésétà, mɔ̌ɔn nɔʼ tsɔ́ʼ ngie: «Ankwɔbɔ́, á lɔɔn ngwɔ́ gie ɔ̀ gẅiin pòŋontʉ́m nzèm mèŋ, ńgwɔ́ gie ɔ̀ gyǎ ngie áa mbòŋ mbwó gù mbà nkwɔbɔ́, mbà mmó gie mèŋ n ne ńdúɔ á gwɔ́ pɔ́ ngie ɔ̀ pɔ́ɔn wɔ̀ɔn legwɔ́ mbɔɔ we pʉ̀a láʼ pɔ́ɔn mbà nkwɔbɔ́» ","Queen Esther answered, “If I have found favor with you, Your Majesty, and if the king is pleased,   spare my life; this is my request. And spare my people; this is my desire.  # 7:3 Est 4:12–14 "
"Á nue mé ka sẅiŋe wég lâ pʉ̀a pɔ́ɔn; mé ne faʼa lépyága wég, ńzẅé wég, ḿbú ḿbyága wég tà shʉŋte. Mé kaa péʼe sẅiŋe wég páʼ peg ge gwɔ́ menkwɔɔn, mbà n ka te nò gɔɔn, mbà yɛ̌ ngɔ́ʼ ka te kuʼ páʼ ngwɔ́ n gʉa ḿbége fùɔ wɔ́. ","For my people and I have been sold   to destruction, death, and annihilation.  # 7:4 Est 3:13; 8:11; 9:5–10 If we had merely been sold as male and female slaves,  # 7:4 Dt 28:48,68 I would have kept silent. Indeed, the trouble wouldn’t be worth burdening the king.”"
"Afùɔ Zɛɛzɛ́sè zɛ́te Ésétà, mɔ̌ɔn nɔʼ ngie: «Nyìŋ gẅie à gẅiin yɔ̀ɔn ntí nkwaŋá tsɛ̀ɛ ntʉ́m yé aa wɔ̌? À gwɔ́ pɔ́ nzɔ̌?» ","King Ahasuerus spoke up and asked Queen Esther, “Who is this, and where is the one who would devise such a scheme? ”  ,# 7:5 Est 3:5–6,8–9"
"Ésétà tsɔ́ʼ ngie: «Nyìŋ gẅie à te ne ńkwoŋo légyá wég wɔ́, ńgwɔ́ ngàŋmbù aa Hamaŋ, ńgwɔ́ nyìŋ tepòŋ!» Hamaŋ leen ńtyé pɔ́ mvfò fùɔ pɔ́ Ésétà ḿbú ńcÿɔʼ tà ḿvɛ. ","Esther answered, “The adversary and enemy   is this evil Haman.”"
"Lóŋ fùɔ pú ffó tà á fó ndá línɔ̀ɔn ńkẅɛ ńgʉa ńtyé pǐ. Hamaŋ la cʉ́ʼ ńkẅíʼte mvfò Ésétà ńne sẅíŋte yé ngie mé gÿo à fó ńtsẅɛ́, á nue à la ne ńzsé ngie fùɔ ně ńdáʼ ńzáb páʼ fèffò ge zẅé yé. ","The king arose in anger   and went from where they were drinking wine to the palace garden.  # 7:7 Lit the garden of the house, also in v. 8,# 7:7 Est 1:5–6 Haman remained to beg Queen Esther for his life because he realized the king was planning something terrible for him.  # 7:7 Est 6:13 "
"Afùɔ la gwaa fó pǐ piŋ nzèm, á gwɔ́ fʉ̀ʼ gie Hamaŋ la gwe ndùm kǔ gẅie Ésétà la néŋe mǒ. Afùɔ líte ngwòŋ ńgɔɔn ngie: «Uu lílílî! Awɔɔn gẅie à giŋé ńdɔg tʉ̀ ńkúu nzwě wɔ̀ɔn pɔ́ mvfò mèŋ lɔɔn, á ndá jʉ̀ʼɔɔn lá?» Yɔ̀ɔn shwóŋè la gwɔ́ tà ńkẅɛɛ ncwò fùɔ, mé gwóon ńkwɛ́ shÿó Hamaŋ. ","Just as the king returned from the palace garden to the banquet hall,   Haman was falling on the couch  # 7:8 Est 1:6 where Esther was reclining. The king exclaimed, “Would he actually violate the queen while I am in the house? ” As soon as the statement left the king’s mouth, they covered Haman’s face.  # 7:8 Est 6:12; Jb 9:24"
"Púʼu la, Ambona gẅie à laa tsɔ̌ na papyɛ́bɛ fùɔ gɔɔn ngie: «Ankwɔbɔ́, á gwaa gwɔ́ pɛ́ʼɛ̀ mbà tÿǒ, gie à ka nyɛte páʼ mé ge lɔg cʉŋe Mandoshÿe gẅie à la kem nzòŋ gie e lɔ̌ɔn ńgee gwaa fùɔ, á gwɔ́ mbʉ̀a yé; á sag tà á gie ngwɔ́ á gwɔ́ mmó mítà ntsɔ̀b tʉ̂a lé móm mbʉ̀a.» Afùɔ pÿɛ ngie: «Mé cʉŋe Hamaŋ mǒ!» ","Harbona, one of the king’s eunuchs,   said, “There is a gallows seventy-five feet  # 7:9 Lit 50 cubits tall at Haman’s house that he made for Mordecai,  # 7:9 Est 5:14 who gave the report that saved  # 7:9 Lit who spoke good for the king.”  # 7:9 Est 2:21–23; 6:1–2"
Mé leen ńké ńcʉŋe Hamaŋ na tÿǒ ya gie à la cwoŋte lécʉŋe Mandoshÿe mǒ lá. Á leen fó fʉʼó agyáŋalóŋ fùɔ leen ńké sẅɛ́ʼ.,They hanged Haman on the gallows he had prepared for Mordecai.   Then the king’s anger subsided.  # 7:10 Est 1:12; 2:1
