ngiemboon,en
"Anùɔ mecúʼtè pʉ̀a Ésàlayɛ ntsèm la fó Elim ńgʉa. Pɔ́ la gʉa tà ńkúu kwòŋotsẅɛ Sîŋ gẅie aa tsetsɛ̀ɛ Elim pɔ́ Sinayi, á na mbɔ́ɔntè lyɛʼɛ́ láʼ ntsɔ̀b tʉ̂a lé legém, na mbɔ́ɔntè mesaŋ mépʉ́a, tà fó páʼ pɔ́ la fó ngwòŋ Egíbtò ńkẅɛ. ","The entire Israelite community departed from Elim and came to the Wilderness of Sin, which is between Elim and Sinai, on the fifteenth day of the second month after they had left the land of Egypt.   "
"Á laa púʼu, epʉ̀a Ésàlayɛ ntsèm zye lézẅɛ́te, á kwòŋotsẅɛ ńtí Mǒonsê pɔ́ Áloŋ. ",The entire Israelite community grumbled   against Moses and Aaron in the wilderness. 
"Epʉ̀a Ésàlayɛ la ne ńgɔɔn ngie: Hâa! Mvfò laa páʼ Cʉ̀apʉ̀a lɔ̌ɔn ńge ńnyé wég, peg kwéte tsɛ̀ɛ ngwòŋ Egíbtò! Peg laa wó, mekʉŋ mbab tyé mvfò peg, peg lɔ̌ɔn ḿpfɛ́ɛ mbelég tà ńzẅɛ́ɛ! Pi ka gwaa lɔgɔ wég kẅɛ kúu tsɛ̀ɛ yɔɔn kwòŋotsẅɛ, éfaʼa pɔ́ légwɔ́ gie yɔɔn nùɔ láʼ ge kwé nzyè!","The Israelites said to them, “If only we had died by the Lord’s hand in the land of Egypt, when we sat by pots of meat and ate all the bread we wanted. Instead, you brought us into this wilderness to make this whole assembly die of hunger! ”  "
"Cʉ̀apʉ̀a leen ńké ńgɔɔn mbwó Mǒonsê ngie: N ge gÿo mbelég fó tÿǒ lepwó ḿbʉ́le na pi páʼ mbʉ̀ŋ la. Aláʼ ge gÿo kẅɛ lyɛ̌ʼ ntsèm, é lagte nzẅìŋ gẅie é ge kuʼu na pɔ́b na lyɛʼɛ́ láʼ. À cʉa púʼu, n dʉŋte wɔ́b, légyá kà pɔ́ ne ńkúʼte lepʉ̌ sɔ́ɔn wɔ́ɔ, kà pɔ́ té ne ńkúʼte wɔ́ɔ wɔ́. ","Then the Lord said to Moses, “I am going to rain bread from heaven for you. The people are to go out each day and gather enough for that day. This way I will test them to see whether or not they will follow my instructions.   "
"Á ge láʼ gwɔ́ na lyɛʼɛ́ láʼ mbɔ́ɔntè ntɔgɔ́, pɔ́ ne ńnyɛte shúm sie pɔ́ lǎg, e gyɔ́ɔn tà ńgwɔ́ ngʉ̀a mbʉ́a na sie pɔ́ zɔɔn ńnyɛte na metsɔ́ melyɛ̌ʼ. ","On the sixth day, when they prepare what they bring in, it will be twice as much as they gather on other days.”  "
"Mǒonsê pɔ́ Áloŋ la gɔɔn mbwó pʉ̀a Ésàlayɛ ntsèm ngie: Pi ge gwɔ́ mbÿɛ̀njÿó lyɛ̌ʼɔɔn, é zsé ngie Cʉ̀apʉ̀a zɔ la fó ngwòŋ Egíbtò ńkẅile gẅí. ","So Moses and Aaron said to all the Israelites, “This evening you will know that it was the Lord who brought you out of the land of Egypt,   "
"À piŋ ńgwɔ́ mbaʼámbaʼ, pi gyá legúʼ Cʉ̀apʉ̀a, mélàʼmie à ka júʼ ntí gie pi lɔgɔ ńzẅɛ́te ńtí yé. Oon táʼ, peg zɔɔn páʼɔɔn ńgwɔ́ pawɔ̌ tà pi zẅɛ́te ńtí wég? ",and in the morning you will see the Lord’s glory because he has heard your complaints about him. For who are we that you complain about us? ”   
"Mǒonsê gɔɔn ngie: «Á ge gwɔ́ mbÿɛ̀njÿó lyɛ̌ʼɔɔn, Cʉ̀apʉ̀a ná mbab gie pi ge pfɛ́. À piŋ ńgwɔ́ mbaʼámbaʼ, à ná mbelég pi pfɛ́ tà ńzẅɛ́. Cʉ̀apʉ̀a ka júʼ páʼ pi zẅɛ́te ńtí yé. Oon táʼ, peg zɔɔn páʼɔɔn ńgwɔ́ pawɔ̌? Pi zɔɔn těen ńzẅɛ́te ńtíi wég wɔ́, pi zẅɛ́te ńtíi pɔ́ Cʉ̀apʉ̀a.»","Moses continued, “The Lord will give you meat to eat this evening and all the bread you want in the morning, for he has heard the complaints that you are raising against him. Who are we? Your complaints are not against us but against the Lord.”  "
"Mǒonsê la gɔɔn mbwó Áloŋ ngie: «Gɔɔn mbwó pʉ̀a Ésàlayɛ ntsèm ngie pɔ́ tó ńtyé mvfò Cʉ̀apʉ̀a, mélàʼmie à ka júʼ páʼ pɔ́ zẅɛ́te.» ","Then Moses told Aaron, “Say to the entire Israelite community, ‘Come before the Lord, for he has heard your complaints.’ ” "
"Afʉ̀ʼ gie Áloŋ la ne ńgɔɔn nò mbwó pʉ̀a Ésàlayɛ ntsèm la, pɔ́ sele nnɛ́, ńdíe shÿó we kwòŋotsẅɛ, ńgyá legúʼ Cʉ̀apʉ̀a kẅɛɛ tsɛ̀ɛ melɔ́ɔn. ","As Aaron was speaking to the entire Israelite community, they turned toward the wilderness, and there in a cloud the Lord’s glory appeared.  "
Cʉ̀apʉ̀a gɔɔn mbwó Mǒonsê ngie: ,"The Lord spoke to Moses, "
"N jǔʼ páʼ pʉ̀a Ésàlayɛ zẅɛ́te. Gɔɔn mbwó pɔ́b ngie: Á ge gwɔ́ mbÿɛ̀njÿó lyɛ̌ʼɔɔn, pi pfɛ́ mbab, à piŋ ńgwɔ́ mbaʼámbaʼ, pi zẅɛ́ mbelég; à cʉa púʼu; pi zsé ngie n gee Cʉ̀apʉ̀a Ssé gi.","“I have heard the complaints of the Israelites. Tell them: At twilight you will eat meat, and in the morning you will eat bread until you are full. Then you will know that I am the Lord your God.”"
"Á la gÿo ńgwɔ́ mbÿɛ̀njÿó, metsɔ̀ʼɔkwɔb jÿó jʉʼ gie pɔ́ cúʼte wó. Á piŋ ńgwaa gwɔ́ mbaʼámbaʼ, mbà mmʉ̀ʼ pǔ ńkéle jʉʼ gie pɔ́ cúʼte wó. ",So at evening quail   came and covered the camp. In the morning there was a layer of dew all around the camp. 
"Afʉ̀ʼ gie yɛ̌ mmʉ̀ʼ la júmte, atsɔ̌ gígyé memvòm shúm pú ḿbʉle, ńjÿó kwòŋotsẅɛ. Gígyé shúm ŋwɛ́ laa páʼ ngǐm la, ḿbʉle na tsetsáʼ. ","When the layer of dew evaporated, there were fine flakes on the desert surface, as fine as frost on the ground. "
"Epʉ̀a Ésàlayɛ líe, ḿbiŋ sele ńzɛ́te tsetsɛ̀ɛ pɔ́b ngie: Yɔɔn áa páʼɔɔn ńgwɔ́ kɔ́? Mélàʼmie pɔ́ la te ne ńzsé mmó gie á laa yɛ̌ wɔ́. Mǒonsê gɔɔn né pɔ́b ngie: Ee mbelég gie Cʉ̀apʉ̀a náa mbwó pi ngie pi pfɛ́. ","When the Israelites saw it, they asked one another, “What is it? ” because they didn’t know what it was."
"Ammó gie Cʉ̀apʉ̀a gɔ̌ɔn á yɔɔn: Awɔ̌ɔwɔ́ɔ lagte yé mmó gie á ge kuʼu na yé: Nyìŋ ge lagte tàʼ múɔ káŋ na twó tàʼ nyìŋ, á na nzẅìŋ pʉ̀a pie à gee ńjÿɔ́gɔ. Awɔ̌ɔwɔ́ɔ ge lagte ye pʉ̀a pie ée tsɛ̀ɛ ye ntàb.","This is what the Lord has commanded: ‘Gather as much of it as each person needs to eat. You may take two quarts   per individual, according to the number of people each of you has in his tent.’ ”"
"Epʉ̀a Ésàlayɛ la gÿo púʼu; petsɔ́ pʉ̀a lagte é gyɔ́ɔn, petsɔ́ lagte é kɔ́g. ","So the Israelites did this. Some gathered a lot, some a little. "
