ngiemboon,en
"Pi júʼu mmó gie Cʉ̀apʉ̀a Ssé shÿěenshÿéen ńgɔɔn: «Á ge gÿo gwɔ́ na melyɛ̌ʼ ntɔgɔ́ mie mé lɔg faʼa fàʼ, ncwò ndá gẅie ée shÿó sǎʼnèm na tetʉ́a ye nzème tsoló, e gwɔ́ we njÿɔ̌ʼ. Táʼ, é gwɔ́ we ntsɔ̌ʼ á lyɛʼɛ́ nzse pà Yúndà mbɔɔ na lyɛʼɛ́ línɔ̀ɔn saŋ sẅé. ","“This is what the Lord God says: The gate of the inner court that faces east is to be closed during the six days of work, but it will be opened on the Sabbath day   and opened on the day of the New Moon. "
"Nyìŋ gẅie à sáʼa láʼ ge fó na tetʉ́a ye nzème pǐ, é tó cʉa tsɛ̀ɛ lûmndá gẅie à péle na ncwò nkáʼ. À ge gÿo tyé na nkàŋ ncwò ndá, á fʉ̀ʼ gie panuŋepwɔʼ ge gÿo ne nuŋe pwɔʼ na yé twó, é pwɔʼ gẅie mé tuɔ nɔ̀ɔn tà á pú shÿó pɔ́ ntsèm, lâ gẅie mé lɔg ńdúɔ mbʉ́lè. À ge gÿo ŋwéʼe é sɔb shÿó wé ssé ncwò ndá, é piŋ fó jʉʼó gʉa, mé ké le jÿɔ́ʼ ncwò ndá té wɔ́ gie ncwònzém kǔʼ wɔ́. ","The prince should enter from the outside by way of the gate’s portico and stand at the gate’s doorpost while the priests sacrifice his burnt offerings and fellowship offerings. He will bow in worship at the gate’s threshold and then depart, but the gate is not to be closed until evening. "
"Á zɔɔn ńgwɔ́ ngie, á ge gÿo gwɔ́ na melyɛʼɛ́ nzse pà Yúndà, lâ melínɔ̀ɔn saŋ sẅé, epʉ̀a láʼ tóo ncwò ndá ŋwɛ́ léguʼte wɔ́ɔn, mèŋ Cʉ̀apʉ̀a.",The people of the land will also bow in worship before the Lord at the entrance of that gate on the Sabbaths and New Moons.
"Á ge gwɔ́ na lyɛʼɛ́ nzse pà Yúndà, nyìŋ gẅie à sáʼa láʼ lɔg menjʉ̀njÿò ntɔgɔ́, lé tàʼ kùkwòon, ńtóo mvfò mèŋ, e gwɔ́ pe té lɔ̌ʼ, à lɔg ńtó páʼ mé ge lɔg ńnuŋe pwɔʼ gẅie mé tuɔ nɔ̀ɔn tà á pú shÿó pɔ́ ntsèm. ",“The burnt offering that the prince presents to the Lord    on the Sabbath day is to be six unblemished lambs  # 46:4 Nm 28:9 and an unblemished ram. 
"À ge gʉa na tàʼ kùkwòon, é záb ngesáŋ ntsíŋ kílò móm tá, é lɔg nuŋe pwɔʼ, é gʉa na menjʉ̀njÿò é záb nzẅìŋ ngesáŋ ntsíŋ gie à gyǎ yé ngie ée mbòŋ. À ge gʉa mǒ, é kẅiʼi mevɛ́ lítà ntɔgɔ́, e pumo na ngesáŋ ntsíŋ kílò móm tá. ","The grain offering will be half a bushel   with the ram,  # 46:5 Nm 28:12; Ezk 45:24 and the grain offering with the lambs will be whatever he wants to give, as well as a gallon  # 46:5 Lit a hin, also in vv. 7,11 of oil for every half bushel. "
"À gwɔ́ na melyɛʼɛ́ línɔ̀ɔn saŋ sẅé, à náa tàʼ ndúm fòŋ, ńná menjʉ̀njÿò ntɔgɔ́, lé tàʼ kùkwòon, e pú ńgwɔ́ pɔ́ te lɔ̌ʼ. ","On the day of the New Moon, the burnt offering is to be a young, unblemished bull, as well as six lambs and a ram without blemish. "
"À ge gʉa mǒ é kẅiʼi ngesáŋ ntsíŋ kílò móm tá na tàʼ ndúm fòŋ, mbɔɔ na tàʼ kùkwòon, é gʉa na menjʉ̀njÿò, é kẅiʼi nzẅìŋ ngesáŋ ntsíŋ gie à gyǎ yé ngie ée mbòŋ. À ge gʉa mǒ, é kẅiʼi mevɛ́ lítà ntɔgɔ́, e pumo na ngesáŋ ntsíŋ kílò móm tá. ","He will provide a grain offering of half a bushel with the bull, half a bushel with the ram, and whatever he can afford with the lambs, together with a gallon of oil for every half bushel. "
"Nyìŋ gẅie à sáʼa láʼ ge pfó pɔ́ na tàʼ mánzsè á fʉ̀ʼʉ lékú mbɔɔ fʉ̀ʼʉ lékẅɛ, é cʉa tsɛ̀ɛ lûmndá gẅie aa ngʉ̀ŋe ncwò nkáʼ. ","When the prince enters,   he is to go in by way of the gate’s portico and go out the same way."
"Tá á ge gʉa na pʉ̀a láʼ, à gwɔ́ fʉ̀ʼ gie pɔ́ tóo léguʼte wɔ́ɔn, mèŋ Cʉ̀apʉ̀a, á na fʉ̀ʼʉ melínɔ̀ɔn, epʉ̀a pie é fǒ na ncwò nkáʼ gẅie ée shÿó kwóŋ, ńkúu nkáʼ, pɔ́ cʉ́ʼʉ lékẅɛ, ḿpfó na ncwò nkáʼ gẅie ée shÿó ntsíŋ, epʉ̀a pie é ně ḿpfó na ncwò nkáʼ we shÿó ntsíŋ ńkúu nkáʼ, pɔ́ cʉ́ʼʉ lékẅɛ, ḿpfó na ncwò nkáʼ gẅie ée shÿó kwóŋ. Atsɔ̌ nyìŋ te gÿo cʉ́ʼʉ lékẅɛ, é pfó jʉʼ gie à ně fó wó tá ńkú wɔ́; wɛ̌ nyìŋ wɔ́ɔ ge pfó pɔ́ na ncwò nkáʼ gẅie é líe gẅie à ně fó mǒ ńkú. ","“When the people of the land come before the Lord at the appointed times,  ,# 46:9 Ex 23:14–17 whoever enters by way of the north gate to worship is to go out by way of the south gate, and whoever enters by way of the south gate is to go out by way of the north gate. No one may return through the gate by which he entered, but is to go out by the opposite gate. "
"Nyìŋ gẅie à sáʼa láʼ pâ pʉ̀a láʼ ge gÿo pú kúu nkáʼ, é piŋ kẅɛ gʉa pɔ́ na tàʼa fʉ̀ʼ.»","When the people enter, the prince will enter with them, and when they leave, he will leave. "
