ngiemboon,en
"Pɔ́ la gɔɔn púʼu, afùɔ Ndalẅísè tsẅi ngie mé gʉa Mbambilonia, á tsɛ̀ɛ mendá mie mé leʼe mezẅìŋe meŋwàʼne mbɔɔ shúm tʉ̀nzẅìŋ wó, éfaʼ. ","King Darius gave the order, and they searched   in the library of Babylon in the archives.  # 6:1 Lit Babylon where the treasures were stored,# 6:1 Ezr 4:15 "
"Mé gʉa tà ńkúu tÿǒsoŋo Ɛgmbatane gie mé la kwɛ́ɛ tʉ̂ankáʼ ńdɔg ńkéle, ńgwɔ́ tsɛ̀ɛ pàga láʼa Mendi, ńgyá tàʼ lekaʼá ŋwàʼne sie mé la ŋweʼe tsoló ngie:",But it was in the fortress of Ecbatana in the province of Media   that a scroll was found with this record written on it:
"«Á laa na ndùŋmvfò ngùʼ gie Silẅísè laa fùɔ, á tsẅi ngie: Mé gíŋ ńkwɛ́ ndá Ssé á Yelúzálèm. Á ge gÿo gwɔ́ jʉʼ gie mé ge nuŋe pwɔʼ wó. Mé ge gÿo kwɛ́ pɔ́ na nzẅìŋe cÿó. Acú ge gÿo gwɔ́ mítà móm tá, agwǒŋ yekʉ́ gwɔ́ mítà móm tá. ","In the first year of King Cyrus, he issued a decree   concerning the house of God in Jerusalem:"
"Mé ge gÿo cʉ́ʼʉ lékwɛ́, é pwóon metóon me mbagte nkàŋ tá, é záb mentóon tàʼ nkàŋ. Nkáb lɔg faʼ mefàʼ ge gÿo kẅɛ pɔ́ tsɛ̀ɛ kʉ́be nkáb gie áa nɔʼ. ","with three layers of cut   stones and one of timber.  # 6:4 1Kg 6:36; Ezr 5:8 The cost is to be paid from the royal treasury.  # 6:4 Lit the king’s house,# 6:4 Ezr 3:7 "
"Mé ge gÿo lɔg shúm ndá Ssé sie mé la lɔgɔ tʉ̌ ngɔ̂ɔ mbɔɔ tʉ̌ nkáb ńnyɛte, étó tÿɔ́gɔ ndá Ssé á Yelúzálèm, é shúm sie fùɔ Nambukondonozɔɔ la fó ndá Ssé Yelúzálèm, ńkaa ńdɔg ńgʉa né Mbambilonia, mé ge gÿo tÿɔ́gɔ yɛ̌ mmó wɔ́ɔ pɔ́ na jʉʼ gie á lɔ́ɔn ńzɔɔn ńtyé wó.»",The gold and silver articles of God’s house that Nebuchadnezzar took from the temple in Jerusalem and carried to Babylon must also be returned. They are to be brought to the temple in Jerusalem where they belong   and put into the house of God.  # 6:5 Ezr 1:7
"Afùɔ Ndalẅísè la gɔɔn púʼu, ńtsẅi ngie mé gɔɔn né Tadnayii gẅie aa ngúmnɔ̀ɔn pàga láʼ gie á laa na shÿó mbyěnèm mí Efalad, ńgɔɔn né Shÿetaa-Mbozenayii, mbɔɔ né pʉ̀a Afasatag pie ée shÿó mbyěnèm mí Efalad pâpɔ̌ faʼa ngie:","Therefore, you must stay away from that place, Tattenai governor of the region west of the Euphrates River, Shethar-bozenai, and your   colleagues, the officials in the region.  # 6:6 Ezr 5:3,6; 6:13 "
Pi nyé mefàʼ lékwɛ́ ndá Ssé e gʉa né mvfò: Ngúmnɔ̀ɔn pâ melÿò pʉ̀a Yúndà ge kwɛ́ yɔɔn ndá pɔ́ na jʉʼ gie e la zɔɔn ńtyé wó. ,Leave the construction of the house of God alone. Let the governor   and elders of the Jews rebuild this house of God on its original site.
"N ne ńtsẅii né pi ngie: pi kẅéte melÿò pie ée tsɛ̀ɛ láʼa pà Yúndà lékwɛ́ yɔɔn ndá Ssé. Pi ge gÿo lɔg pɔ́ nkáb fùɔ éfaʼa fàʼ, é nkáb ncùb gie mé maʼa tsɛ̀ɛ pàga láʼ. Pi ge gÿo pú ná nkáb megàŋafàʼ pɔ́ ntsèm, tà pi le gÿo pɔ́ záʼa fàʼ wɔ́. ","I hereby issue a decree concerning what you are to do, so that the elders of the Jews can rebuild the house of God:"
"Pi ge gÿo gwɔ́ lyɛ̌ʼ ntsèm, é náa mmó gie á ne ńzɛ́te na pwɔʼ gẅie mé tuɔ nɔ̀ɔn tà á pú shÿó pɔ́ ntsèm, á mbwó panuŋepwɔʼ, é cʉ́ʼʉ léná, é náa mmó gie pɔ́ ne ńzɛ́te. Pi ge gÿo ná púɔ melúm fòŋ, é ná mekùkwòon mbɔɔ púɔ menjʉ̀njÿò, pi ge gÿo gíŋ náa pfɔbɔ́ ngesáŋ ntsíŋ, é ná ngwáŋ, é ná melùʼ mbɔɔ mevɛ́. ","Whatever is needed #— #young bulls, rams, and lambs for burnt offerings to the God of the heavens, or wheat, salt, wine, and oil, as requested by the priests in Jerusalem #— #let it be given to them every day without fail,   "
"À cʉa púʼu, pɔ́ nuŋe pwɔʼ gẅie gyě ge kwɔ́ʼ, é poŋ Ssé gie ee tÿǒ lepwó, pɔ́ piŋ sẅíŋte Ssé na twó fùɔ pâ púɔ ntɔ́ʼ. ",so that they can offer sacrifices of pleasing aroma to the God of the heavens and pray for the life of the king and his sons.  
