ngiemboon,en
" Keleto la záʼ nkÿo puʼ lóŋ pege légwɔ́ gie pege ge gwɔ́ pʉ̀a pie é kwǎʼ ńtsẅɛ́ɛ nò nkwɔɔn lepʉ̌. Púʼu la, pi kúʼte wɛ̌ légwɔ́ mboŋó, ḿbɔ́ɔn légíŋ ńzẅíŋ atsɔ́ mmó gíŋ ńdɔgɔ gẅí ńgÿo menkwɔɔn.","For freedom, Christ set us free. Stand firm,   then, and don’t submit again to a yoke of slavery.  # 4:21–5:1 Gl 4:22 "
"Mèŋ Pɔ̂ɔ, tà mèŋ shwóŋo gẅí. Pi lɔɔn ńzɛ́te ngie mé púʼu gẅí, tá pi gwɔ́ pʉ̀a Ssé, mbà mmó gie Keleto la gÿo ńtí twó sí té gíŋe kẅéte gẅí na tsɔ́ mmó wɔ́. ","Take note! I, Paul, am telling you that if you get yourselves circumcised, Christ will not benefit you at all. "
"Mèŋ ge gíŋ gɔɔn na tsɔ́ legʉ̀a á mbwó wɛ̌ nyìŋ wɔ́ɔ gẅie à zɛ́te ngie mé púʼu yé, ngie à gẅiin légÿo shúm ntsèm sie lepʉ̌ Mǒonsê ne ńzɛ́te. ",Again I testify to every man who gets himself circumcised that he is obligated to do the entire law. 
"Pi pie pi ne faʼa légÿo shúm sie lepʉ̌ ŋwɛ́ ne ńzɛ́te tá lɔg kuʼ pʉ̀a pie ée mvfò Ssé ńgwɔ́ ndʉŋndʉŋ, pi ee pɛ́ʼɛ̀ ńdɔgɔ ńgwɔ́ pʉ̀a pie pi fǎg nnɛ́ na Keleto. Á gwɔ́ púʼu pi lɔgɔ ésɔ́ɔn nò gie Ssé kɔʼɔ́ lɔg cÿó gʉm gí. ",You who are trying to be justified by the law are alienated from Christ; you have fallen from grace.   
"Á gʉa na peg pie peg záb ntʉ́m na Keleto, peg ne ńjúʼu nò pɔ́ mbwó Zẅìge Ndʉalʉ̌a, á ne ńgÿo peg ne ńzẅíʼte ngie Ssé ge gÿo gÿo peg gwɔ́ pʉ̀a pie ée mvfò yé ńgwɔ́ ndʉŋndʉŋ. ","For we eagerly await   through the Spirit, by faith, the hope  # 5:5 Rm 8:23–25; 1Th 1:3 of righteousness. "
"Á nue nyìŋ lɔɔn ńda nnɛ́ na Keleto, mbà mé lépúʼu yé kà lényé té púʼu yé wɔ́ɔ, á té tsɔ́ nò wɔ́. Lezǎb ntʉ́m na Keleto ḿbiŋ ńkwoŋ pʉ̀a mesoŋ zɔɔ nò.",For in Christ Jesus neither circumcision nor uncircumcision accomplishes anything; what matters is faith   working through love.  # 5:6 1Co 13:1; Jms 2:18–22
"Pi ka ne ńgee lé mvfò kwàʼ mboŋó, awɔ̌ tɔʼɔ gẅí légíŋ ńjúʼu nò gie áa nénʉ́ ńtÿɔ́gɔ kwò mǒ? ",You were running well. Who prevented you from obeying the truth?   
"Wɛ̌ véle gẅie mé la shwóŋo gẅí tà pi zẅíŋ, à lɔ̌ɔn těen fóo mbwó Ssé gẅie à ne ńtóŋo gẅí wɔ́. ",This persuasion does not come from the one who calls you.   
"Pi lɔɔn ḿbɔ́ɔn té poŋ, á kẅɛɛ kwóonte gẅie à ne faʼa leneŋé. ",A little leaven   leavens the whole batch of dough. 
"Táʼ, Cʉ̀apʉ̀a kě ne ńgÿo n zsé ngie pi te kẅiʼi tsɔ́ mmó na mmó gie n da zíʼi gẅí wɔ́. N gǐŋ ne ńzsé ngie nyìŋ gẅie à ne ḿmaʼa tág tsetsɛ̀ɛ pi, à lɔɔn ńgwɔ́ pɔ́ wɔ̌ wɔ́ɔ, mbà Ssé ge gÿo záʼ ntsaŋ ye.",I myself am persuaded in the Lord you will not accept any other view. But whoever it is that is confusing you will pay the penalty.   
"Mefɛ̌ pɔ́ɔn, n gwéʼe péʼe ńgíŋe ńne sáʼa ngie pʉ̀a gÿo mé púʼu wɔ́b, mbà pà Yúndà gíŋ ńkʉ́e wɔ́ɔn mélàʼakɔ́? Mbà legwɔ́ gẅie Keleto la kwé na tÿǒnkǐ, à te gíŋ ńgege wɔ́b wɔ́. ","Now brothers and sisters, if I still preach circumcision, why am I still persecuted? In that case the offense of the cross   has been abolished. "
"Á gʉa na pʉ̀a pie é pue gẅí na nò lépúʼu nyìŋ, pɔ́ lɔgɔ nò yɔ́b ńgee mvfò, tà kwàʼ pɔ́b sele shʉ́ʉ twó mbùm yɔ́b. ",I wish those who are disturbing you might also let themselves be mutilated!
