ngiemboon,en
"Ábalaham la gwaa gwɔ́, mbà à zẅǐŋ tɛʼ, mbà Cʉ̀apʉ̀a la piŋ ńnéŋmbʉ́lè na yé, ńnáa yé shúm ntsèm. ","Abraham was now old, getting on in years,  ,# 24:1 Gn 18:11; Jos 13:1; 23:1–2; 1Kg 1:1 and the Lord had blessed him in everything. "
"Ábalaham gɔɔn né ngàŋafàʼ we gẅie á tsẅě mbwó yé tɛʼ, ńgwɔ́ gẅie yé zɔ pǔ ńdíe shúm Ábalaham ntsèm, ngie: «Shúshu, zába pwó jú nzèm ntɔ́ɔn wɔ́ɔn. ","Abraham said to his servant, the elder of his household who managed all he owned, “Place your hand under my thigh,   "
"Ńkʉa mvfò mèŋ na lezíŋ Cʉ̀apʉ̀a, e Ssé gie e piʼ lefaŋ pɔ́ tsetsáʼ ngie, ɔ̀ těen ńdáʼa ńgee tsetsɛ̀ɛ púɔ panzwě Kánàhan pie peg lâ pɔ̌ tsẅé, éfaʼa nzwě míŋ wɔ̀ɔn mɔ́. ","and I will have you swear by the Lord, God of heaven and God of earth, that you will not take a wife for my son from the daughters of the Canaanites among whom I live,   "
"Ɔ̀ ge piŋe lesaʼá peg, á tsɛ̀ɛ ngwòŋ wég, éfaʼa nzwě míŋ wɔ̀ɔn Ésàg.» ",but will go to my land and my family to take a wife for my son Isaac.”
"Angàŋafàʼ tsɔ́ʼɔ mbwó yé ngie: «Páʼ ngwɔ́ n tóo wó, manzwě lʉʼʉ lécʉ́me nzèm mèŋ, peg yé tó lé wɔɔn ngwòŋ. Á lɔɔn ńtó ńgwɔ́ púʼu, n dɔgɔ míŋ gù Ésàg, ḿbiŋ nzèm né láʼ pi ŋwɛ́ keen?» ","The servant said to him, “Suppose the woman is unwilling to follow me to this land? Should I have your son go back to the land you came from? ”"
"Ábalaham tsɔ́ʼ ngie: «Ngǎŋ, te fʉʼʉ lélɔgɔ míŋ wɔ̀ɔn ḿbiŋe wó! ","Abraham answered him, “Make sure that you don’t take my son back there. "
"Cʉ̀apʉ̀a, e Ssé gie ée tÿǒ, á yé gẅie à la fó ndá tá wɔ̀ɔn, á tsɛ̀ɛ ngwòŋ gẅie eség lesaʼá ée wó, ńkẅile wɔ́ɔn, á yé gẅie à la gɔɔn nò né mèŋ tà ńkʉa ngie à ge ná ngwòŋ wɔɔn mbwó ngẅɛ̀ yɔ̀ɔn; kwaʼ yé máŋwɛ́ ge gÿo túmo mántúm, à gʉa ńtsege gù wó, légwɔ́ gie ɔ̀ ge ké lɔgɔ nzwě míŋ wɔ̀ɔn éfó pɔ́ wó. ","The Lord, the God of heaven,   who took me from my father’s house and from my native land,  # 24:7 Gn 12:1 who spoke to me and swore to me, ‘I will give this land to your offspring’  # 24:7 Lit seed,# 24:7 Gn 12:7; 13:15; 15:18; Ex 32:13  #— #he will send his angel before you,  # 24:7 Gn 16:7; 21:17; 22:11; Ex 23:20,23 and you can take a wife for my son from there. "
"Manzwě lɔɔn te zẅíŋe lécʉ́me nzèm gù wɔ́, mbà ɔ̀ kě kaa gwe lepʉ̌ kʉ̀a gie pɔ̀gɔ gwaa lɔɔn wɔ́. Táʼ, ngwɔ́ pi míŋ wɔ̀ɔn le wó piŋ.» ","If the woman is unwilling to follow you, then you are free from this oath to me,   but don’t let my son go back there.” "
"Angàŋafàʼ zába pwó yé nzèm ntɔ́ɔn táfàʼ we Ábalaham, ńzẅíŋ, ḿbiŋ ńkʉa. ",So the servant placed his hand under his master Abraham’s thigh and swore an oath to him concerning this matter.
"Angàŋafàʼ gʉa tsetsɛ̀ɛ mekamɛɛ táfàʼ we, ńkẅile legém. Ńdíe shúm mbòŋo sie táfàʼ we la gẅiin ntsèm, ḿbí, ńdɔg ńcʉ́me mánzsè Mezopotamia, á tÿǒsoŋo Nahɔɔ.","The servant took ten of his master’s camels, and with all kinds of his master’s goods in hand, he went to Aram-naharaim, to Nahor’s town. "
"Ńgʉa tà á gwaa gwɔ́ ncwònzém, á fʉ̀ʼ gie panzwě kẅɛ́te ńtúʼu ntse, á nyé pɔ́ te kúu tÿǒsoŋo Nahɔɔ, ńgÿo mekamɛɛ kẅíʼte ssé lézẅɛte, á ngʉ̀ŋe ntse ntǔŋ. ","At evening, the time when women went out to draw water, he made the camels kneel beside a well outside the town."
"Á sẅíŋte Ssé ńgɔɔn ngie: «Cʉ̀apʉ̀a, e Ssé Ábalaham táfàʼ wɔ̀ɔn, tsétsɔʼ, gÿo anò gie n ně ńkẅɛɛ ndá mǒ lyɛ̌ʼɔɔn, á giŋ mboŋó. Lɔgɔ pòŋontʉ́m jú, ńgÿo nò mbòŋo na táfàʼ wɔ̀ɔn Ábalaham! ","“Lord, God of my master Abraham,” he prayed, “make this happen for me today,   and show kindness to my master Abraham. "
"Wɔ́ɔn wɔɔn ńtyé ngʉ̀ŋe ntse ntǔŋ, epʉ̀a pie é tsẅé tÿǒsoŋ, egubé yɔ́b yepanzwě ge tóo jʉʼɔɔn, é túʼ ntse. ",I am standing here   at the spring where the daughters of the men of the town are coming out to draw water. 
