ngiemboon,en
"Wɔɔn nkʉ̀ laʼte nò gie Ssé la nyɛ́ʼ nÿɔ́g Ambakug ntsẅìnkʉ̀ we, á gyá.",The pronouncement   that the prophet Habakkuk saw.  # 1:1 Nm 24:4; Jb 19:26; Is 13:1
"Cʉ̀apʉ̀a, n ge láʼ gaʼte é tóŋo gú","How long,   Lord, must I call for help  # 1:2 Jb 19:7; Ps 5:2; Lm 3:8"
Ńtí kɔ́ ɔ̀ gÿo n gyá nò tepòŋ nzẅìŋ wɔɔn?,Why do you force me to look at injustice?  
Áa mmó gie á gÿo mé té gíŋ ńtÿɔ́gɔ kwò na mbʉ̌ wɔ́.,This is why the law is ineffective
Cʉ̀apʉ̀a gɔ̌ɔn ngie: «Pi líe ńgyá mmó gie á ne ńcʉa tsetsɛ̀ɛ pʉ̀a metsɔ́ meláʼ.,"Look at the nations  ,# 1:5 Ps 2:1 and observe  # 1:5 Gn 15:5  —"
"N ge gÿo epʉ̀a Mbambilonia tó,","Look! I am raising up   the Chaldeans,  # 1:6 = the Babylonians"
"Ée pʉ̀a, ńkʉʼʉ jʉʼ tɛʼ; mé gyá wɔ́b ḿvege vege.",They are fierce   and terrifying;
"Melÿóon pɔ́b kÿo tà ńcʉa ngẅi,",Their horses are swifter   than leopards  # 1:8 Is 11:6; Jr 5:6; 13:23; Hs 13:7
"Pɔ́ cúʼte metsèm, ńtó pɔ́ létúʼ pʉ̀a,",All of them come to do violence;
"Epʉ̀a Mbambilonia pie ée palÿɔ́ʼncù, é gẅe mefùɔ,","They mock    kings,"
"Pɔ́ cʉa páʼ fèfà la,",Then they sweep   by like the wind
"Tà fó tàa mángùʼ, gù zɔɔ Cʉ̀apʉ̀a,","Are you not from eternity, Lord  my God?  "
"Enÿɔ́g mú ée ndʉalʉ̌a, tà ngwɔ́ ɔ̀ le zẅíŋe légyá nò tepòŋ wɔ́.","Your eyes   are too pure  # 1:13 Ex 25:11; Ps 12:6; 19:9; 51:10; Pr 22:11; Ezk 36:25 to look on evil,"
Ɔ̀ líe pʉ̀a mesoŋ pɔ́ páʼ,You have made mankind
"Epʉ̀a Mbambilonia ŋwɛ́ gwoon pʉ̀a páʼ mé lɔgɔ lezɔ́b ńgwoon ssó la,","The Chaldeans pull them all up with a hook,"
"Pɔ́ gÿo púʼu, ńdeen ńké ńnuŋe pwɔʼ ńdɔg ńguʼte lekÿo sɔ́b,",That is why they sacrifice to their dragnet
"Tà pɔ́ ge láʼa tsɔ́ lyɛ̌ʼ,",Will they therefore empty their net
