ngiemboon,en
"Á laa na ndùŋmvfò lyɛ̌ʼ na saŋ ntɔgɔ́ na mbɔ́ɔntè ngùʼ pʉ́a, léfó páʼ fùɔ Ndalẅísè la néŋe na lʉŋe lefùɔ, Cʉ̀apʉ̀a cʉate na Ajÿe gẅie aa ntsẅìnkʉ̀ we ńgɔɔn nò. À la tsẅi né yé ngie à lɔg lezíŋ sé ńgɔɔn nò mbwó Zolobabɛ̂ɛ gẅie aa míŋ Shÿaletiyɛ, ńgwɔ́ ngúmnɔ̀ɔn tsɛ̀ɛ pàga láʼa Yúndà; ńgíŋ ńgɔɔn nò mbɔɔ mbwó Yǒonshûa gẅie aa nùŋepwɔʼ welÿò, ńgwɔ́ míŋ Yeyotsandag. ","In the second year of King Darius,  ,# 1:1 Ezr 4:5; Neh 12:22; Dn 9:11; 11:1; Hg 1:15; 2:10; Zch 1:1,7; 7:1 on the first day of the sixth month, the word of the Lord came through the prophet  # 1:1 Ezr 5:1; 6:14 Haggai to Zerubbabel son of Shealtiel,  # 1:1 1Ch 3:19; Ezr 3:2,8; 5:2; Neh 12:1; Hg 1:12,14; 2:2,23; Lk 3:27 the governor of Judah, and to Joshua son of Jehozadak, the high priest:  # 1:1 Hg 1:12,14; 2:2,4; Zch 3:1,8; 6:11"
Cʉ̀apʉ̀a gẅie à piʼi kɔ̀ɔkɔ́ɔ ne ńgɔɔn ngie: «Epʉ̀a pɔɔn ne ńgɔɔn ngie: Afʉ̀ʼ gie mé ge kwɛ́ ndá Cʉ̀apʉ̀a nyé pɔ́ te kuʼ. ,“The Lord of Armies says this: These people say: The time has not come for the house of the Lord to be rebuilt.”  
"Áa mmó gie á gÿo, Cʉ̀apʉ̀a cʉate na Ajÿe gẅie aa ntsẅìnkʉ̀ we, ńgɔɔn né pɔ́b ngie: ",The word of the Lord came through the prophet Haggai: 
"Ńzsé ngie yɔɔn gwɔ́ pɔ́ fʉ̀ʼ gie pi ge tsẅé tsɛ̀ɛ mendá mí mie pi la kẅiŋ mboŋó, ndá yɔ̀ɔn gwɔ́ pɔ́ páʼ tsẅɛʼɛ́ kʉ̀ŋe keen? ","“Is it a time for you yourselves to live in your paneled houses,   while this house  # 1:4 = the temple lies in ruins? ” "
"Mèŋ Cʉ̀apʉ̀a, é Ssé gie e piʼi kɔ̀ɔkɔ́ɔ, n ne ńgɔɔn né pi fʉ̀ʼɔɔn ngie pi kwaŋa twó gí mboŋó na gẅi lenéŋè fʉ̀ʼɔɔn. ","Now, the Lord of Armies says this: “Think carefully   about  # 1:5 Lit Place your heart on, also in v. 7 your ways:"
"Pi ka pye shúm tɛʼ, táʼ, pi te lag tà é gyɔ́ɔn wɔ́; pi pfɛ́ɛ mmó, táʼ, ńké te zẅɛ́. Ńnú melùʼ, táʼ, agága gí ké shÿó shÿó. Ḿmaʼ nzsǒ, táʼ, efÿɔ́g ké ńkúu gẅí kǔ. Éfaʼa fàʼ ńgẅiin nkáb, táʼ, ńnéŋ pɔ́ tsɛ̀ɛ tɔ̀gɔ pɔ̀ɔn. ",You have planted much
"Mèŋ Cʉ̀apʉ̀a gẅie à piʼi kɔ̀ɔkɔ́ɔ, n ne ńgɔɔn né pi ngie pi kwaŋa twó gí mboŋó na gẅi lenéŋè fʉ̀ʼɔɔn. ",The Lord of Armies says this: “Think carefully about your ways. 
"Pi kwɔ́ʼɔ ndùm lekwɛ́, ńkɔ́ʼ metÿǒ, ńdɔg ńtó ńkwɛ́ ndá yɔ̀ɔn. Pi lɔɔn ńgÿo púʼu, mbà nò ge poŋo wɔ́ɔn, n gẅiin legúʼ, mèŋ Cʉ̀apʉ̀a zɔ gɔɔn. ","Go up into the hills, bring down lumber, and build the house; and I will be pleased with it and be glorified,” says the Lord. "
"Pi la ne ńzẅíʼte ngie eshúm zéme tsɛ̀ɛ menkáʼ mí tɛʼ, afʉ̀ʼʉ lélag shúm piŋ ńgÿo ńgwɔ́, pi lag, é kɔ́g kɔ̌g. Esie pi la lɔg ńgʉa né mbʉ̀a pi, n da fÿɔ́gɔ zẅìge yɔ́ɔn mǒ, é pú ḿmag. Mèŋ Cʉ̀apʉ̀a é Ssé gie e piʼi kɔ̀ɔkɔ́ɔ ne ńzɛ́te gẅí ngie á gwaa gwɔ́ púʼu, ńtíi kɔ́? Á tíi páʼ wɛ̌ nyìŋ wɔ́ɔ na pi gwaa ne ńnyɛte ndá ye mboŋó, ndá yɔ̀ɔn gwɔ́ pɔ́ tsẅɛʼɛ́ kʉ̀ŋe. ","“You expected much, but then it amounted to little. When you brought the harvest to your house, I ruined   it. Why? ” This is the declaration of the Lord of Armies. “Because my house still lies in ruins, while each of you is busy with his own house."
"Áa mmó gie á ka gÿo, mbʉ̀ŋ te lú, atsetsáʼ piŋ te tsɔ́ mmó zém. ","So on your account,  "
