ngiemboon,en
"Púʼu la, pege kwaʼ ńgẅiin léké ńkúʼte nò gie pege la júʼ kuʼté, tà á té púʼu wɔ́, mbà pege ge fʉa mánzsè, é gʉa pyé, ","For this reason, we must pay attention all the more to what we have heard, so that we will not drift away.   "
"pege ne ńzsé ngie, anò gie mecÿɔ́ʼ Ssé la lɔg ńtó fʉ̀ʼʉmvfò, á la te méjʉʼʉ nò wɔ́. Wɔ̌wɔ́ɔ gẅie à lɔ̌ɔn fʉa yɛ̌ nò, ńtʉʉ twó mǒ wɔ́ɔ, e Ssé lɔ̌ɔn ńnéŋe ngʉ̀ngʉ̀ na yé pɔ́ na páʼ á ne ńzɛ́te. ","For if the message spoken through angels was legally binding  ,# 2:2 Dt 33:2; Ac 7:53; Heb 1:1 and every transgression and disobedience received a just punishment,  # 2:2 Nm 15:30; Heb 10:28 "
"Páʼ á laa púʼu la, pege lɔɔn ńgwágte nò na máamáa nò gẅie aa páʼ e Ssé la gÿo pege tsẅɛ́, e Ssé gǎa tà ńnyé wégè? Cʉ̀apʉ̀a Yěsô lé twó yé la vɔg ńzye létsẅii yɛ̌ nò. Epʉ̀a pie é la júʼu ncwò yé, é gÿo ńkwaʼ shwóŋo wégè ngie aa kwàʼ máamáa nò. ","how will we escape if we neglect such a great salvation?   This salvation had its beginning when it was spoken of by the Lord, and it was confirmed to us by those who heard him.  # 2:3 Lk 1:2; Heb 1:2; 10:29 "
"E Ssé gíŋ ńtóonte wɔ́b na nò gie pɔ́ ne ńgɔɔn, ńcʉa na meliŋé, pâ menò mɔɔnmɔɔn, pâ mendàagyá mentí mentí, ńgíŋ ńcʉa na mefàʼ mie à zába na we lekwoŋ ngie Zẅìge Ndʉalʉ̌a ge gÿo pʉ̀a kuʼu léfaʼ.","At the same time, God also testified by signs and wonders, various miracles, and distributions of gifts from the Holy Spirit according to his will.  "
"E Ssé la zɔɔn te gÿo ngie mecÿɔ́ʼ pé gẅiin nò na lesǎʼ ngwòŋ gẅie é ne ńtóo wɔ́, é ngwòŋ gẅie pege ne ńgɔɔn nò mǒ. ",For he has not subjected to angels the world to come that we are talking about. 
Atsɔ̌ nyìŋ la zɔɔn ńŋweʼe mmó na yɔɔn nò á tsɛ̀ɛ tsɔ́ jʉʼʉ Ŋwàʼne Ssé ngie:,But someone somewhere has testified:
"Ɔ̀ la gʉa na páʼ mecÿɔ́ʼ Ssé gwɔ́, ésẅíʼi yé ńnáa ssé pɔ́ méjʉʼ", You made him lower than the angels
"Ɔ̀ la lɔgɔ yé ńgÿo nyìŋ gẅie à sáʼa shúm ntsèm sie ɔ̀ la nyɛte,", and subjected everything under his feet.   
"Táʼ, ammó gie pege ne ńgyá fʉ̀ʼɔɔn, á gwɔ́ pɔ́ ngie Yěsô gẅie e Ssé la sẅíʼi yé ńnáa ssé tà mecÿɔ́ʼ Ssé cʉa yé pɔ́ méjʉʼ, e Ssé leen ńtɔʼɔ cÿɔ̀ʼɔ lefùɔ twó yé, á gie á gÿo á gẅiin legúʼ, ḿbiŋ ńnéŋ mekùʼ mé, mélàʼmie à la zẅíŋe légyá ngɔ́ʼ tà ńkwé. Yěsô lɔ̌ɔn ńkwé na twó pʉ̀a mesoŋ ntsèm, á fóo pɔ́ na páʼ e Ssé tsɔ́ɔn mezìŋe pʉ̀a tɛʼ. ",But we do see Jesus #— #made lower than the angels for a short time so that by God’s grace he might taste death   for everyone #— #crowned with glory and honor   # 2:9 Ac 2:33; 3:13 because he suffered death.  # 2:9 Jn 3:16; 2Co 5:15; Php 2:9
"E Ssé la gÿo shúm ntsèm sie ée tsɛ̀ɛ njÿó é gwɔ́ wó, ńgwɔ́ pɔ́ shúm sé. Páʼ à la piŋ ńne ńkwoŋo ngie pʉ̀a tà ńgyɔ́ɔn ge cʉ́ʼ púɔ pé, é gwɔ́ tsɛ̀ɛ legúʼ we la, Yěsô zɔ̌ piŋ ńgẅiin légÿo pɔ́ tsẅɛ́ la, á la ne ńzɛ́te ngie à gÿo Yěsô fó na ngɔ́ʼ gie à gyǎ, ńkuʼu nyìŋ gẅie à ge gÿo pɔ́ tsẅɛ́.","For in bringing many sons and daughters to glory, it was entirely appropriate that God #— #for whom and through whom all things exist #— #should make the pioneer   of their salvation perfect through sufferings.  # 2:10 Lk 13:32; 24:26; Rm 11:36; Heb 7:28 "
"Yěsô gẅie à gÿo epʉ̀a gwɔ́ ndʉalʉ̌a mbɔɔ pʉ̀a pie à gÿǒ pɔ́ gwɔ́ ndʉalʉ̌a, pâ pɔ̌ pú ńgwɔ́ pɔ́ pʉ̀a tàʼ nyìŋ. Áa mmó gie á gÿo eshʉ́ té kúu yé létóŋo wɔ́b lê mefɛ̌ pé wɔ́. ","For the one who sanctifies and those who are sanctified all have one Father.   That is why Jesus is not ashamed to call them brothers and sisters,  # 2:11 Mt 28:10; Jn 20:17; Ac 17:28; Heb 10:10 "
À la zɔɔn ńgɔɔn mbwó Ssé ngie:,saying:
Ńgíŋ ńgɔɔn ngie:,"Again, I will trust in him.    And again, Here I am with the children God gave me.   # 2:13 Is 8:18 LXX,# 2:13 Ps 18:2; Is 8:17–18; 12:2; Jn 10:29; 17:6"
"Páʼ yɔɔn gubé ŋwɛ́ pú ńgẅiin mbab nnɛ́ mbɔɔ metse la, kwàʼ yé máŋwɛ́ la gíŋ ńgwɔ́ yé pɔ́ púʼu, légwɔ́ gie à ge lɔgɔ legwé we, é gÿo tà nyìŋ gẅie à kɔ́ɔn ńgÿo epʉ̀a kwéte, á le gíŋ ńgwɔ́ tsɔ́ mmó wɔ́. Mé gɔɔn páʼɔɔn á Sátà. ","Now since the children have flesh and blood in common, Jesus also shared in these, so that through his death he might destroy the one holding the power of death #— #that is, the devil    #— # "
"É piŋ gÿo epʉ̀a pie lepɔgɔ́ legwé leen ḿbú ńkwɛ́ɛ wɔb legwɔ́ wó, e tsẅɛ́. ",and free those who were held in slavery all their lives by the fear of death.   
"Á zɔɔn ńgwɔ́ kwàʼ nénʉ́ ngie Yěsô la te tó lékẅéte mecÿɔ́ʼ Ssé wɔ́, à la tóo lékẅéte pʉ̀a ngẅɛ̀ ndá Ábalaham. ","For it is clear that he does not reach out to help angels, but to help Abraham’s offspring.   "
"Áa mmó gie á la gÿo, á sele ńcʉ́ʼ ńgwɔ́ yé pɔ́ páʼ mefɛ̌ pé, tá ńdɔg ńgwɔ́ nùŋepwɔʼ wɔb welÿò gẅie à gẅiin pòŋontʉ́m mbɔɔ pyennɛ́ lélɔg faʼa mbwó Ssé, ńgíŋ ńdɔg ḿvéle mefʉa pʉ̀a mesoŋ. ","Therefore, he had to be like his brothers and sisters in every way, so that he could become a merciful and faithful high priest in matters   pertaining to God, to make atonement  # 2:17 Or propitiation,# 2:17 2Co 5:21 for the sins of the people.  # 2:17 Lk 18:13; Rm 3:25; Php 2:7; Heb 4:15; 5:1–2; 7:26–28; 1Jn 2:2; 4:10 "
"Legwɔ́ gẅie mé la kwaʼte Yěsô, á gyá ngɔ́ʼ, à la gÿo á kuʼu lékẅéte pʉ̀a pie ée tsɛ̀ɛ nkwàʼte.","For since he himself has suffered when he was tempted, he is able to help those who are tempted."
