ngiemboon,en
" Cʉ̀apʉ̀a gɔɔn ngie: «Pi Panuŋepwɔʼ, pi júʼ mboŋó!","Hear this, priests!  "
Pɔ́ ka gʉa Shʉtîm ńtúŋo máamáa gem;,Rebels   are deeply involved in slaughter;  # 5:2 Hs 4:2; 6:9
"Mèŋ n zsé ngẅɛ̀te Efalayîm kwàʼ mboŋó,","I know Ephraim,  "
Efʉ̌ʼ menò mɔ́b té kẅéte wɔ́b,Their actions do not allow them
Aŋáʼtè ye Ésàlayɛ sele ńgwe twó yé;,"Israel’s arrogance testifies against them.  ,# 5:5 Hs 7:10"
Pɔ́ ge gÿo lɔg mefòŋ pɔ́b,They go with their flocks and herds
"Pɔ́ ka kyag nzèm Cʉ̀apʉ̀a,",They betrayed the  Lord;  
"Pi tyé Ngimbeya ńtóŋ letagá,","Blow the ram’s horn in Gibeah,  "
"Mé ge gÿo tága Efalayîm, á lyɛʼɛ́ lésáʼ ntsaŋ.",Ephraim will become a desolation  
Pasáʼ pʉ̀a Yúndà,The princes of Judah are like those
"Mé ka te ŋaga Efalayîm tsɛ̀ɛ nò nénʉ́ wɔ́,","Ephraim is oppressed, crushed in judgment,  "
"N ge gÿo gwɔ́ mbwó pʉ̀a Efalayîm, é gwɔ́ páʼ kòon fʉ̌ŋ;",So I am like rot to Ephraim  
"Efalayim la zsé ngie à la ne ngùɔ,",When Ephraim saw his sickness
"Púʼu la, áa mèŋ Cʉ̀apʉ̀a gẅie à ge tagá Efalayîm páʼ púʼntʉ̀ la,",For I am like a lion to Ephraim  
"Mèŋ Cʉ̀apʉ̀a n ge gʉa, n ge piŋ nzèm ne mbʉ̀a mèŋ,",I will depart and return to my place
