ngiemboon,en
 Ndòon ee twó tÿǒsoŋo Samalîɛ!,"Woe to the majestic crown of Ephraim’s drunkards,  "
"Nyìŋ gẅie aa ngàŋ metʉ̀, ńgwɔ́ ngàŋ ngʉ̀ʼ,","Look, the Lord has a strong and mighty one    —"
"Mé ge gÿo ńnẅɛʼte tÿǒsoŋ gie áa páʼ cÿɔ̀ʼɔ lefùɔ,",The majestic crown of Ephraim’s drunkards
Mé ge gÿo gʉa ndùm lekwɔʼɔ́ sie,"The fading flower of his beautiful splendor,"
"Cʉ̀apʉ̀a gẅie à piʼi kɔ̀ɔkɔ́ɔ, kwaʼ yé máŋwɛ́ ge gÿo gwɔ́ cÿɔ̀ʼɔ lefùɔ mbòŋo. É gwɔ́ tʉ̀nzẅìŋ nkàŋmbúm, á mbwó pʉ̀a pé pie é la tsɔgɔ.",On that day
"À ge gÿo néŋe zẅìge nò nénʉ́,",a spirit of justice
"Panuŋepwɔʼ lâ pantsẅìnkʉ̀ Ssé,",Even these stagger because of wine
"Pɔ́ zéʼe, ńdɔg ńzɔ́ʼ metápèle ntsèm;","Indeed, all their tables are covered with vomit;"
Pɔ́ panúnú melùʼ ŋwɛ́ zɛ́te ngie:,Who is he trying to teach?
"Pi júʼu yé mmó gie à zíʼi pʉ̀a, ayé gwɔ́ pɔ́ ngie:","“Law after law, law after law,"
"Afʉ̀ʼɔɔn la, Cʉ̀apʉ̀a ge lɔgɔ shwóŋè láʼa ndyɛ̀ʼɛ,",For he will speak to this people
Tá mbà à la gɔɔn né pɔ́b ngie,"He had said to them,"
"Áa mmó gie á gÿo, Cʉ̀apʉ̀a ge gÿo gɔɔn kwaʼ mmó gie pɔ́ ka gɔɔn mbwó Esǎyà né pɔ́b ngie: «Á kwɔ̌ʼ, á sẅɛ̌ʼ, mé la pʉ, mé la cwóŋ.» Púʼu la, pɔ́ kúu ńgiŋe, ńkwɔɔnte, ńgwete né menkàʼ mɔ́b, mekẅǐ mɔ́b pwɔ́ʼte, pɔ́ gwe na lekÿo, mé gwoon wɔ́b, ńnéŋe tsǎŋ.",The word of the  Lord will come to them:
"Pi pagẅe pʉ̀a, á gẅí gẅie pi sáʼa pʉ̀a Yelúzálèm pɔɔn,","Therefore hear the word of the  Lord,   you scoffers  # 28:14 Is 29:20"
Pi ne ńgɔɔn ngie,"For you said, “We have made a covenant with Death,"
"Áa mmó gie á gÿo, ashwóŋè Cʉ̀apʉ̀a Ssé gɔɔn ngie:",Therefore the Lord God said:
Legwɔ̌ ndʉŋndʉŋ ge gÿo gwɔ́ yɔ́ɔn mmó lɔg ḿbí fʉ̀ʼ.,And I will make justice the measuring line
Pi gwáʼa kʉ̀a gie pi lâ legwé la gwa;,"Your covenant with Death will be dissolved,"
"Ntʉ̀ ngɔ́ʼ ge gÿo cʉa pambaʼámbaʼ ntsèm, é cʉa zsǒ, é cʉa tsẅɛ́ʼ. É piŋe cʉa fʉ̀ʼ ntsèm, é kaa gẅí. Epʉ̀a ge gÿo júʼ ngyè ye, ecÿɔʼ gwoon wɔ́b.","Every time it passes through,"
"Oon, páʼ saglegʉa gɔɔn ngie:","Indeed, the bed is too short to stretch out on,"
Cʉ̀apʉ̀a ge gÿo gÿo mmó gie à la gÿo lekwɛ́ Pelasim.,For the Lord will rise up as he did at Mount Perazim.  
"Afʉ̀ʼɔɔn la, pi záʼa légíŋe ńgẅe pʉ̀a.","So now, do not scoff,"
"Pi tʉ́ŋe tuŋó gí,",Listen and hear my voice.
"Anjʉ̀ʼngwóŋ gẅie à gee ḿbye mmó,",Does the plowman plow every day to plant seed?
"À vɔg saŋte jʉʼ,","When he has leveled its surface,"
"E Ssé ye zɔ la shwóŋo yé yɔɔn ntí lefaʼ,",His God teaches him order;
"Mé ee těen ńdɔgɔ shúukélêg,",Certainly black cumin is not threshed
"Anjʉ̀ʼngwóŋ cʉ́ʼʉ lépúʼ ngesáŋ ntsíŋ,","Bread grain is crushed,"
Yɔɔn ntí lefàʼ giŋé fóo,This also comes from the  Lord of Armies.
