ngiemboon,en
"Aa mèŋ Jÿâg, e faʼa fàʼ Ssé, mbɔɔ ye Cʉ̀apʉ̀a Yěsô Keleto. N náa yɔɔn ŋwàʼne á mbwó pi púɔ Ssé pie ée na mengẅɛ̀ ndá pà Ésàlayɛ ntsɔ̀b pʉ́a né legém, mbà pɔ́ léen sa jʉʼ ntsèm tsɛ̀ɛ mengwòŋ. N tsyɛʼté gẅí.","James,   a servant of God  # 1:1 Ac 16:17; Rm 1:1; Eph 6:6; Jms 1:1; 1Pt 2:16; Rv 1:1 and of the Lord Jesus Christ:"
"Mefɛ̌ pɔ́ɔn, ngʉ̀ngʉ̀ mentí mentí lɔɔn ńne ńkúu gẅí, pi lɔg pɔ́ kwàʼ lekág ńkẅé. ","Consider it a great joy, my brothers and sisters, whenever you experience various trials,   "
"Ńdɔgɔ ńkẅé púʼu, á nue pi ne ńzsé ngie, pi lɔɔn shÿɔg ngʉ̀ngʉ̀ gie e ne ńkúu gẅí, ḿbiŋ ńne ńkẅiʼi ńzába ntʉ́m gẅí na Ssé, mbà pi ge ne tʉte tʉte. ",because you know that the testing of your faith produces endurance. 
"Táʼ, á poŋ ngie letʉ̀te ŋwɛ́ à faʼa yé fàʼ tà ńcʉ́me, ńzsé ngie pi ge cʉ́ʼ melÿò, é kuʼ pʉ̀a Ssé, atsɔ́ mmó le zága na pi wɔ́.","And let endurance have its full effect, so that you may be mature and complete, lacking nothing."
"Nyìŋ lɔɔn ńgwɔ́ tsetsɛ̀ɛ pi, ńtyé na nò, azsénò zága yé, á lúɔ mbwó Ssé, mbà Ssé ge ná. Á nue e Ssé zɔɔn ńdɔg pɔ́ ntʉ́m mbòŋo ńnáa mmó mbwó wɔ̌wɔ́ɔ té zẅɛ́te. ","Now if any of you lacks wisdom, he should ask God #— #who gives to all generously and ungrudgingly #— #and it will be given to him.   "
"Tá ngàŋ ké ńcʉ́ʼʉ lélúɔ, ńzáb ntʉ́m wé na Ssé té ne ḿmʉ́ʼte, á nue nyìŋ gẅie à mʉʼté, à gwɔ́ pɔ́ páʼ kanúʼ gie á tyé ndùm ntse, fèfà ne ńdɔgɔ ḿbʉʉ, ńdɔgɔ ńcwóŋo la. ","But let him ask in faith without doubting.   For the doubter is like the surging sea, driven and tossed by the wind. "
"Tà ntí nyìŋ páʼ wɛ̌, kwaŋ ngie Cʉ̀apʉ̀a ge náa tsɔ́ lága mmó né yé, ","That person should not expect to receive anything from the Lord, "
"mélàʼmie nyìŋ páʼ wɛ̌, te gɔɔn tsɔ́ nò tà ńtÿɔ́gɔ kwò mǒ wɔ́. À kwaŋa lépʉ, ńgíŋe ńkwaŋa lécwóŋ pɔ́ fʉʼó.","being double-minded and unstable in all his ways.  ,# 1:8 Jms 4:8; 2Pt 2:14"
"Á poŋ ngie fɛ̌ wege gẅie aa fÿɔg, à kág, á nue e Ssé ŋǎʼ nzẅìŋ wé. ","Let the brother of humble circumstances boast in his exaltation, "
"Agẅie aa ngàŋa mmó, à kág yé, á nue e Ssé kéen sẅíʼi nzẅìŋ wé, tà á zsé ngie à ge láʼ mag yé pɔ́ páʼ tôtǒ maga na legǐ la. ",but let the rich boast in his humiliation because he will pass away like a flower of the field.   
"Nèm tʉ̌a tɛʼ, ńtuɔ legǐ, á pÿɛ́, tôtǒ gwe, awe lepòŋ lɔgɔ ḿmaga, áa ndʉŋndʉŋ páʼ ngàŋa mmó ge gÿo gwáʼ mefàʼ mé é kwé.","For the sun rises and, together with the scorching wind, dries up the grass; its flower falls off, and its beautiful appearance perishes. In the same way, the rich person will wither away while pursuing his activities.  "
"Ashÿó mbòŋo, aa nyìŋ gẅie ngʉ̀ngʉ̀ kúu yé á tʉte tʉte, á nue, páʼ ngʉ̀ngʉ̀ lʉŋté yé á tʉte tʉte la, e Ssé ge tɔʼ ngǔʼ twó yé. E lɔgɔ ńgwɔ́ legwɔ́ temì gẅie à la kaʼa mbwó wɔ̌wɔ́ɔ gẅie à kwoŋo yé Ssé. ","Blessed is the one who endures trials, because when he has stood the test he will receive the crown   of life that God  # 1:12 Other mss read that the Lord has promised to those who love him.  # 1:12 Mt 10:22; Jms 2:5"
"Nkwàʼte lɔɔn ńké ńtóo na ngàŋ, tà á gɔɔn ngie: «Nkwàʼte yɔɔn fóo mbwó Ssé.» Á nue à lɔɔn ńgwɔ́ e Ssé le gẅiin kwaŋte légÿo nò tepòŋ wɔ́, kwàʼ yé ké le tsóte nyìŋ ngie à gÿo nò tepòŋ wɔ́. ","No one undergoing a trial should say, “I am being tempted by God,” since God is not tempted by evil, and he himself doesn’t tempt anyone. "
"Eye ntí letsɔ̌ɔn shúm zɔ shwoŋte yé, á gwe na lejÿɔʼ. ",But each person is tempted when he is drawn away and enticed by his own evil desire.   
"Letsɔ̌ɔn shúm ŋwɛ́ gwɔ́ tà ńgáʼ, ńkẅɛɛ nò tepòŋ, anò tepòŋ gáʼ ńkẅɛɛ legwé.","Then after desire has conceived, it gives birth to sin, and when sin is fully grown, it gives birth to death.  "
"Mefɛ̌ pɔ́ɔn petʉ̀nzẅìŋ, tà nkwaŋá gẅí fʉte gẅí. ","Don’t be deceived, my dear brothers and sisters.   "
"Afùʼ gie á poŋ tɛʼ, mbɔɔ ntsɔʼɔ́fàʼ wembòŋo pú fóo pɔ́ tÿǒ lepwó, á mbwó Ssé gie e la nyɛte nèm lâ mecÿɔ́ʼsaŋ á lefaŋ. À te kúbe, ńké te nzěm gẅiin. ","Every good and perfect gift is from above, coming down from the Father of lights, who does not change like shifting shadows.   "
"Yé zɔ la kwoŋ, ńdɔgɔ shwóŋè gie áa nénʉ́, ńgÿo pege tsẅɛ́, légwɔ́ gie pege ge gwɔ́ mbwó yé, é gwɔ́ ntwó mmó na ngwòŋo kɔ̀ɔkɔ́ɔ gie à la gÿo.","By his own choice, he gave us birth by the word of truth so that we would be a kind of firstfruits of his creatures.  "
"Mefɛ̌ pɔ́ɔn petʉ̀nzẅìŋ, pi zsé ngie áa mbòŋ mbwó nyìŋ, lézsé lézẅíʼte nò gie mé gɔɔn, ḿbiŋ ńgɔɔn yé nò, á kuʼ kuʼ, é ké le lwo ńgyáŋa lóŋ wɔ́, ","My dear brothers and sisters, understand this: Everyone should be quick to listen, slow to speak, and slow to anger,   "
"mélàʼmie nyìŋ lɔɔn ńgyáŋa lóŋ, mbà à těen ńdɔgɔ ńgÿo mmó gie áa ndʉŋndʉŋ mvfò Ssé wɔ́. ",for human anger does not accomplish God’s righteousness. 
"Púʼu la, pi gwáʼ menò ncÿǒ ntsèm, ńgwáʼa mà gẅie à fóo na lecÿɔ̌g cÿɔ́g. Pi lɔgɔ kwɔ̀gɔnnɛ́ ńzẅíŋe shwóŋè gie Ssé ka pye tsɛ̀ɛ ntʉ́m pi. Á nue á kuʼu légÿo pi tsẅɛ́.","Therefore, ridding yourselves of all moral filth and the evil that is so prevalent,   humbly receive the implanted word, which is able to save your souls.  # 1:21 Eph 1:13; 4:22; Col 3:8"
"Tà pi gwɔ́ pajúʼu shwóŋè Ssé júʼ ndàʼ, pi gÿo mmó gie shwóŋè ŋwɛ́ gɔɔn ngie pi gÿo. Tà á té púʼu wɔ́, mbà pi sele fʉte mennɛ́ mí. ","But   be doers of the word and not hearers only, deceiving yourselves. "
"Á nue nyìŋ lɔɔn ńjúʼu shwóŋè Ssé, ḿbiŋ ńké te gÿo páʼ á ne ńzɛ́te wɔ́, mbà ngàŋ gwɔ̌ pɔ́ páʼ nyìŋ gẅie à líe shÿó wé tsɛ̀ɛ gyàshÿó, ńgyá páʼ à gwɔ̌. ","Because if anyone is a hearer of the word and not a doer, he is like someone looking at his own face   in a mirror. "
"Ńdíe tà ńtsẅé jʉʼ, tà fó jʉʼó ńgʉa, ḿbú ńdege páʼ à gwɔ̌. ","For he looks at himself, goes away, and immediately forgets what kind of person he was. "
"Tá nyìŋ gẅie à nyɛte ńtuu nò, á na lepʉ̌ sie tsɔ́ mmó té mǒ zág, é sie é gÿo nyìŋ gwɔ́ ndùnnɛ́, ńzáb ntʉ́m wé mǒ té kʉ́a tà à te gwɔ́ pɔ́ jùʼu ńdege wɔ́, ńgwɔ́ jùʼu ńgÿo, mbà à ge gwɔ́ shÿó mbòŋo na kɔ̀ɔkɔ́ɔ gie à gÿo.","But the one who looks intently into the perfect law of freedom and perseveres in it, and is not a forgetful hearer but a doer who works #— #this person will be blessed in what he does.  "
"Nyìŋ lɔɔn ńne ńkwaŋa ngie aa na nò Ssé, ncwò wé piŋ te poŋ, mbà à fʉte twó mbùm yé. Awe légwɔ́ na nò Ssé ŋwɛ́, á gwɔ́ pɔ́ sẅɛ̀ɛ. ","If anyone   thinks he is religious without controlling his tongue,  # 1:26 Ps 34:13; 39:1; 141:3; Jms 3:2–3; 1Pt 3:10 his religion is useless and he deceives himself. "
"Nyìŋ gẅie e Ssé líe yé á gwɔ́ kwàʼ na nò yé Ssé, tà mmó té na yé zág, aa nyìŋ gẅie à líe púɔ métsé mbɔɔ mepfɔ̌g tsɛ̀ɛ cʉanò yɔ́b, ńgwɔ́ nyìŋ gẅie à pɔ́ɔn mbùm ye, ḿbɔ́g menò njÿó lécʉŋte yé.",Pure and undefiled religion before God the Father is this: to look after orphans and widows   in their distress and to keep oneself unstained from the world.  # 1:27 Rm 12:2; 1Jn 5:18
