ngiemboon,en
"Tsɔ̌ nyìŋ laa wó, lezíŋ sé gwɔ́ lê Mishÿé, á fóo shÿó mekwɛ́ Efalayîm. ",There was a man from the hill country of Ephraim named Micah. 
"Á gwɔ́ tsɔ́ lyɛ̌ʼ, ńgɔɔn né má we ngie: «Nkáb ya pàg ntsáʼ ńzáb pàg nkÿo gie mé la jʉ tà ɔ̀ tyé mvfò mèŋ ńzoon tà ḿbúb la, mèŋ zɔ la pí.» Má we pÿɛ ngie: «Míŋ wɔ̀ɔn! Cʉ̀apʉ̀a néŋ mbʉ́lè na gù.» ","He said to his mother, “The 1,100 pieces of silver taken from you, and that I heard you place a curse on #— #here’s the silver. I took it.”"
"À la gÿo púʼu, ńtsɔ́ʼ nkáb ayɛ̌, ńná né má we, á gɔɔn ngie: «N ge ná nkáb yɔ̀ɔn ŋwɛ́ mbwó Cʉ̀apʉ̀a, à cʉa púʼu, mé lɔ́ɔn tà e cʉ́ʼ ntse, mé lɔg ḿbwóon tútú, ńná né míŋ wɔ̀ɔn.» Mishÿé ye, «áa fʉ̀ʼɔɔn páʼɔɔn mèŋ n ge tsɔ́ʼ nkáb jù ŋwɛ́ ná.» ","He returned the 1,100 pieces of silver to his mother, and his mother said, “I personally consecrate   the silver to the Lord for my son’s benefit to make a carved image and a silver idol.  # 17:3 Or image and a cast image, also in v. 4 I will give it back to you.” "
"À la gɔɔn púʼu, ńtsɔ́ʼ nkáb ŋwɛ́, ńná né má we, á gʉa mǒ ḿbí pàg nkÿo pʉa, ńnáa mbwó tâlɔ̀ɔn. Á leen ńdɔ́ɔn tà é cʉ́ʼ ntse, á lɔg ḿbwóon tútú, mé tÿɔ́gɔ ndá Mishÿé.","So he returned the silver to his mother, and she took five pounds of silver and gave it to a silversmith. He made it into a carved image and a silver idol, and it was in Micah’s house."
"Mishÿé lɔgɔ pɛ́ʼɛ̀ ńgẅiin yé jʉʼ gie à guʼte ssé wó. À la gÿo mé vfo nzsǒ nyìŋ gẅie à nuŋe pwɔʼ, ńgíŋe ńgÿo mé nyɛte tsɔ́ púɔ metútú. À la gʉa na gubé yé, ńtsɔ́ʼɔ tàʼ, ńdɔg ńgÿo we nùŋepwɔʼ. ","This man Micah had a shrine, and he made an ephod and household idols,   and installed one of his sons to be his priest. "
"Á laa fʉ̀ʼ ayɛ̌, epʉ̀a Ésàlayɛ té fùɔ gẅiin: wɛ̌ nyìŋ wɔ́ɔ gÿo pɔ́ yé mmó gie à kwǒŋ.",In those days there was no king in Israel;   everyone did whatever seemed right to him.
"Atsɔ̌ múɔshùm laa wó, ńgwɔ́ na ngẅɛ̀ Lěvî, ńtsẅé Mbɛ́tèlehɛm. Mbɛ́tèlehɛm gwɔ́ tsɔ́ tÿǒsoŋ na ngẅɛ̀ ye Yúndà. ","There was a young man, a Levite from Bethlehem in Judah, who was staying within the clan of Judah.   "
"À la fó Mbɛ́tèlehɛm, ńgʉa léfaʼa tsɔ́ tÿǒsoŋ gie à ge cʉ́ʼʉ néŋe pɔ́ wó. À la nyé ńgwɔ́ pɔ́ mánzsè ne ńgee, ńcʉa mbʉ̀a Mishÿé, á na pàga láʼa mekwɛ́ Efalayîm. ",The man left the town of Bethlehem in Judah to stay wherever he could find a place. On his way he came to Micah’s home in the hill country of Ephraim.
"Mishÿé zɛ́te yé ngie: «Ɔ̀ fóo nzsǒ?» Á tsɔ́ʼ ngie: «N gee nyìŋ na ngẅɛ̀ Lěvî, mèŋ n kɔ́ɔn ńtsẅé Mbɛ́tèlehɛm na ngẅɛ̀ ye Yúndà, n ne faʼa jʉʼ gie n ge cʉ́ʼʉ ńnéŋe pɔ́ wó.» ",“Where do you come from? ” Micah asked him.
"Mishÿé gɔɔn né yé ngie: «Pɔ̀gɔ zɔ cʉ́ʼʉ ńtsẅé, gwɔ́ mbwó mèŋ, ńgwɔ́ páʼ tá wɔ̀ɔn, ńgwɔ́ páʼ nùŋepwɔʼ we tsìŋendá yɔ́ɔn. N ge tsɔ́ʼɔ fàʼ jú né nkáb pàg legém na ngùʼu láʼ; é ná menzsǒ né gù pɔ́ sẅɛ̀ɛ sẅɛ̀ɛ, mbɔɔ shúm léjÿó.» À la júʼ, ńkúu ndá; ","Micah replied,   “Stay with me and be my father  # 17:10 Gn 45:8; Jdg 18:19; Jr 3:19 and priest, and I will give you four ounces of silver a year, along with your clothing and provisions.” So the Levite went in "
ḿbiŋ ńzẅíŋe légwɔ́ gie pɔ́ ye ge tsẅé. À la piŋ ńdíe múɔshùm awɛ̌ pɔ́ páʼ tsɔ̌ míŋ we la. ,"and agreed to stay with the man, and the young man became like one of his sons. "
"Mishÿé leen ńké, ńnáa fàʼ né yé, ńdɔgɔ yé ńgÿo nùŋepwɔʼ we. Á cʉʼʉ ńtsẅé pɔ́ mbʉ̀a yé. ","Micah consecrated the Levite, and the young man became his priest   and lived in Micah’s house. "
"Mishÿé gɔɔn ngie: «Afʉ̀ʼɔɔn la, n zsě ngie Cʉ̀apʉ̀a ge gÿo nò mbòŋo na mèŋ, á nue n gẅǐin nyìŋ na ngẅɛ̀te Lěvî páʼ wɔ̀ɔn nùŋepwɔʼ.»","Then Micah said, “Now I know that the Lord will be good to me, because a Levite has become my priest.”"
