ngiemboon,en
 Cʉ̀apʉ̀a la gɔɔn né Yelemî ngie: ,This is the word that came to Jeremiah from the Lord: 
"«Yelemî, lu ssé! Cwóŋo mbʉ̀a mbwòontsǎʼ pɔ́ kwàʼ fʉ̀ʼɔɔn. Ɔ̀ ge gʉa tà kúu wó, e shwóŋo gú nò gie áa ssé.»",“Go down at once to the potter’s house;   there I will reveal my words to you.” 
"N deen ńcwóŋo mbʉ̀a mbwòontsǎʼ, ńgyá á gwɔ́ jʉʼʉ fàʼ ńne ńdɔgɔ pàga peláŋ yé gie à lɔgɔ ḿbwóon mengwʉ̌ŋ éfaʼa. ","So I went down to the potter’s house, and there he was, working away at the wheel.   "
"Táʼ, ngwʉ̌ŋ gẅie à la ne ńdɔgɔ mbwó ńnyɛte, alɔ̌ʼ la kẅɛɛ mǒ, á gwɔ́ páʼ áa tsɔ́ fʉ̀ʼ ńkẅɛ púʼu. Á leen ńgwɔ́ púʼu, á gwoon ńgíŋe ńdwo ńnyɛte wetsɔ́ kwàʼ páʼ à ne ńkwoŋo. ","But the jar that he was making from the clay became flawed in the potter’s hand, so he made it into another jar, as it seemed right for him to do.  "
"Á cʉa púʼu, Cʉ̀apʉ̀a gɔɔn né mèŋ ngie: ",The word of the Lord came to me: 
"Epʉ̀a Ésàlayɛ, tsye n te kuʼu légÿo na pi páʼ wɔɔn mbwòontsǎʼ wɔ́ ka? Pi ee mbwó mèŋ, ńgwɔ́ páʼ tsǎʼ gie áa tsɛ̀ɛ mbwó mbwòon ńgwɔ́. Mèŋ Cʉ̀apʉ̀a zɔ gɔɔn. ","“House of Israel, can I not treat you as this potter treats his clay? ” #— #this is the Lord’s declaration. “Just like clay in the potter’s hand, so are you in my hand, house of Israel.   "
"Áa tsɔ́ fʉ̀ʼ, n ne ńgɔɔn nò, ńtí láʼ kà pɔ́ ngwòŋ wɔ́ɔ, ńkíme nò na léfó ssé ńtsɔ́ʼ, mbɔɔ létág, ńgÿo lépyág. ","At one moment I might announce concerning a nation or a kingdom that I will uproot, tear down, and destroy it.   "
"Táʼ, ńké ńgwɔ́ gie pʉ̀a wɛ̌ ngwòŋ lɔɔn ńgwáʼ mefʉ̌ʼ menò mie pɔ́ fʉʼʉ, mbà nò tepòŋ gie n kɔʼɔ́ gÿo na pɔ́b, n cʉ́ʼʉ gÿo wɔ́. ","However, if that nation about which I have made the announcement turns from its evil, I will relent concerning the disaster I had planned to do to it.   "
"Ḿbiŋ ńgíŋe ńgwɔ́ tsɔ́ fʉ̀ʼ, n ne ńgɔɔn nò, ńtí tsɔ́ láʼ kà tsɔ́ ngwòŋ wɔ́ɔ, ńkíme nò na legíŋe ńkwɛ́, ńgíŋe ḿbʉʼʉ ńtÿɔ́g. ",At another time I might announce concerning a nation or a kingdom that I will build and plant it.   
"Táʼ, ńké ńgwɔ́ gie pʉ̀a wɛ̌ ngwòŋ lɔɔn te ncwò wɔ́ɔn júʼ, ńgÿo pɔ́ mmó gie á té wɔ́ɔn poŋ, mbà nò mbòŋo gie n kaʼá légÿo na pɔ́b, n cʉ́ʼʉ gÿo wɔ́.","However, if it does what is evil in my sight by not listening to me, I will relent concerning the good I had said I would do to it.   "
