ngiemboon,en
"Yěsô gÿo ńne ńcʉa tsɔ́ jʉʼ, ńgyá tsɔ̌ fʉ̀menÿɔ́g, mbà mé la zyé yé á gwɔ́ pɔ́ fʉ̀. ","As he was passing by, he saw a man blind from birth. "
"Megàŋakwò Yěsô zɛ́te yé ngie: «Tsítsà, wɔɔn nyìŋ gwaa kẅɛɛ lepfòm, ńgwɔ́ fʉ̀menÿɔ́g páʼɔɔn, mbà awɔ̌ gÿo nò tepòŋ? Yé kà má we, kà tá we?» ","His disciples asked him, “Rabbi,   who sinned, this man  # 9:2 Ezk 18:20 or his parents,  # 9:2 Ex 20:5; Jb 21:19 that he was born blind? ”"
"Yěsô tsɔ́ʼ ngie: «Á té gwɔ́ pɔ́ ngie yé kà pʉ̀a pie é la zyé yé wɔ́ɔ, zɔ̌ la fʉa tsɔ́ nò wɔ́. À gwaa gwɔ́ fʉ̀, á gwɔ́ pɔ́ ngie e Ssé ge cʉa na yé é laʼte mefàʼ mé. "," “Neither this man nor his parents sinned,” Jesus answered. “This came about so that God’s works    might be displayed in him. "
"Á ne ńzɛ́te ngie, njÿó lɔɔn ńnyé wó páʼɔɔn, pege faʼ mefàʼ nyìŋ gẅie à la túmo wɔ́ɔn. Nzèm ge síŋ, atsɔ̌ nyìŋ le gíŋ ńkuʼu léfaʼa fàʼ wɔ́. ",We    must do the works   # 9:4 Jn 5:17; 2Jn 8 of him who sent me   # 9:4 Other mss read us while it is day.   # 9:4 Jn 11:9; 12:35; Rm 13:12 Night is coming when no one can work. 
"Afʉ̀ʼ gie n nyé tsɛ̀ɛ njÿó, n gwɔ́ kyɛ̀ʼ ye njÿó.» ","As long as I am in the world, I am the light of the world.”   "
"Yěsô gɔɔn púʼu, ńtsɔg metyé ssé, ńdɔg ńtyɛ́bte tsetsáʼ ńdɔg ńzɔ́ʼte menÿɔ́g fʉ̀. ","After he said these things he spit on the ground, made some mud   from the saliva, and spread the mud on his eyes. "
"Ńgɔɔn né yé ngie: «Gʉa sɔgɔ tsɛ̀ɛ gÿǒon ntse Siloe.» Siloe lɔgɔ ńgɔɔn ngie «Letúm.» Afʉ̀menÿɔ́g gʉa wó ésɔg shÿó wé, ńgwaa piŋ nzèm, ńne ńgyá jʉʼ. ","“Go,” he told him, “wash in the pool of Siloam”    (which means “Sent”). So he left, washed, and came back seeing.  # 9:7 Is 35:5"
"Megàŋ nkwɔʼɔ́ mbʉ̀a pé, lâ pʉ̀a pie é ka ne ńgyá páʼ à lúɔ ndúɔ, é gyá yé ńgɔɔn ngie: «Wɛ̂ te nyìŋ gẅie à kɔ̌ɔn ńgwá ńnéŋe ssé ńdúɔ ndúɔ wáa?» ","His neighbors and those who had seen him before as a beggar said, “Isn’t this the one who used to sit begging? ” "
"Epʉ̀a ne ńgɔɔn ngie: «Aa yé.» Petsɔ́ gɔɔn ngie ngǎŋ, à sẅé yé sẅé, nyìŋ ŋwɛ́ ne ńgɔɔn ngie: «Aa kwàʼ mèŋ.» ","Some said, “He’s the one.” Others were saying, “No, but he looks like him.”"
Pɔ́ zɛ́te yé ngie: «Menÿɔ́g mú gÿǒ lêkɔ́ tá ńnyɛ́ʼɛ?» ,"So they asked him, “Then how were your eyes opened? ”"
"Á tsɔ́ʼ ngie nyìŋ gẅie mé tóŋo yé lê Yěsô, à tyɛbté tsetsáʼ, ńdɔg ńzɔ́ʼte menÿɔ́g mɔ́ɔn, ńgɔɔn né mèŋ ngie n gʉa Silowé ésɔg shÿó wɔ́ɔn, n gʉa wó sɔg shÿó wɔ́ɔn, ńdeen ńké ńgyá jʉʼ! ","He answered, “The man called Jesus made mud, spread it on my eyes, and told me, ‘Go to Siloam    and wash.’ So when I went and washed I received my sight.”  # 9:11 Ac 9:12"
Pɔ́ zɛ́te yé ngie: «Nyìŋ ŋwɛ́ aa nzɔ̌?» Á tsɔ́ʼ ngie: «N kaa zsé.»,“Where is he? ” they asked.
"Mé gwóon ńdɔgɔ nyìŋ gẅie á kɔʼɔ́ ńgwɔ́ fʉ̀menÿɔ́g la, ńgʉa mvfò nùɔ pafalísáyè. ",They brought the man who used to be blind to the Pharisees.   
"Ńgwaa gwɔ́, mbà Yěsô ně ńgwaa tyɛ́bte tsetsáʼ, é lɔg gÿo menÿɔ́g nyìŋ ŋwɛ́ nyɛ́ʼɛ, á gwɔ́ lyɛʼɛ́ nzse pà Yúndà. ",The day that Jesus made the mud and opened his eyes was a Sabbath.   
"Pafalísáyè zɛ́te yé yɔ́b páʼ á ně ńcʉa púʼu, tá á zye légyá jʉʼ. Á gɔɔn né pɔ́b ngie: «À ně ńdɔgɔ tsetsáʼ, ńzɔ́ʼte menÿɔ́g mɔ́ɔn, n gʉa sɔg. N gee fʉ̀ʼɔɔn ńne ńgyá jʉʼ.» ",Then the Pharisees asked him again how he received his sight.
"Etsɔ́ ntáʼ pafalísáyè gɔɔn ngie: «Nyìŋ gẅie à gÿǒ yɛ̂ nò, e Ssé zɔ ka te yé túm, á nue á kɔʼɔ́ ńgwɔ́ lyɛʼɛ́ nzse.» Petsɔ́ pʉ̀a pɔ́b gɔɔn ngie: «Ngwɔ́ nyìŋ tepòŋ gǎa tá ńgÿo yɛ̂ ntí menò mɔɔnmɔɔn?» Afàgte leen ńké ńgwe tsetsɛ̀ɛ pɔ́b. ","Some of the Pharisees said, “This man is not from God,   because he doesn’t keep the Sabbath.” But others were saying, “How can a sinful man  # 9:16 Mt 26:45; Lk 24:7; Jn 9:24; Rm 5:19 perform such signs? ” And there was a division  # 9:16 Jn 7:43; 10:19; 1Co 1:10 among them."
Pɔ́ gíŋ ńzɛ́te nyìŋ awɛ̌ ngie: «Ɔ̀ gɔ̌ɔn jú ngie kɔ́ na nyìŋ gẅie à ně ńnyɛ́ʼ menÿɔ́g mú?» Á gɔɔn ngie: «Aa ntsẅìnkʉ̀ Ssé.»,"Again they asked the blind man, “What do you say about him, since he opened your eyes? ”"
"Pasáʼa láʼa pà Yúndà ké te ne ńzẅíŋe ngie ndÿò ŋwɛ́ kɔʼɔ́ fʉ̀, à pǐŋ ńzeŋe wɔ́. Ńtóŋo tá we pɔ́ má we, ",The Jews did not believe this about him #— #that he was blind and received sight #— #until they summoned the parents of the one who had received his sight.
ńzɛ́te wɔ́b ngie: «Wɛ̂ aa míŋ gẅi gẅie pi gɔɔn ngie mé la gwaa zyé yé á gwɔ́ fʉ̀ lá? Tà à pǐŋ ńgÿo lêkɔ́ tá ńgyá jʉʼ fʉ̀ʼɔɔn?» ,"They asked them, “Is this your son, the one you say was born blind? How then does he now see? ”"
"Tá we pɔ́ má we tsɔ́ʼ ngie: «Aa kwàʼ míŋ weg, peg ne ńzsé ngie à la kẅɛ ńgwɔ́ fʉ̀menÿɔ́g. ","“We know this is our son and that he was born blind,” his parents answered. "
"Táʼ, ńgʉa na mmó gie á cʉ̌a tá à ne ńgyá jʉʼ fʉ̀ʼɔɔn, mbà peg kaa nò mǒ zsé. Kà wɔ̌ ně ńgÿo menÿɔ́g mé nyɛ́ʼɛ wɔ́ɔ, mbà peg gǐŋ te ne ńzsé wɔ́. Pi zɛ́te yé, à te nyé ńgwɔ́ pɔ́ múɔ légɔɔn nò gie áa na yé wɔ́!» ","“But we don’t know how he now sees, and we don’t know who opened his eyes. Ask him; he’s of age. He will speak for himself.” "
"Tá we pɔ́ má we, gwaa gɔɔn púʼu, á nue pɔ́ la ne ḿbɔ́gɔ pasáʼa láʼa pà Yúndà. Á gwaa gwɔ́, mbà pà Yúndà ka zǎb ngie nyìŋ lɔɔn ńzẅíŋ ngie Yěsô aa Nzàʼnkÿo, mé fó ndá cúʼtè ńjwoŋo ngàŋ.","His parents said these things because they were afraid of the Jews, since the Jews had already agreed that if anyone confessed him as the Messiah,   he would be banned from the synagogue. "
"Áa mmó gie á gÿo, tá we pɔ́ má we gɔɔn ngie: «Pi zɛ́te yé, à te nyé ńgwɔ́ pɔ́ múɔ wɔ́!» ","This is why his parents said, “He’s of age; ask him.”"
"Pafalísáyè gíŋ ńtóŋo nyìŋ gẅie à kaa fʉ̀ la, ńgɔɔn né yé ngie: «Tyé mvfò Ssé, éshwóŋo nò nénʉ́. Peg ne ńzsé ngie nyìŋ wɛ̂ aa nyìŋ tepòŋ.» ","So a second time they summoned the man who had been blind and told him, “Give glory   to God.  # 9:24 Jos 7:19; 1Sm 6:5; Is 42:12; Jr 13:16; Lk 2:14; Rm 4:20 We know that this man is a sinner.”"
