ngiemboon,en
Mélàʼakɔ́ e Ssé Ngàŋa Tʉ̀ Ntsèm la te tsẅe tsɔ́ fʉ̀ʼ wɔ́ɔ?,Why does the Almighty not reserve times for judgment?  
"Epʉ̀a sẅɛʼte mendège nkáʼ,",The wicked displace boundary markers.
"Ńgwoon méntsě ńkẅé nzikáasè ye,",They drive away the donkeys owned by the fatherless  
"Pɔ́ jwoŋ megàŋngɔ́ʼ ngie tà pɔ́ gíŋe ńgiŋe mánzsè,",They push the needy off the road;
"Mepóŋ kẅɛ yɔ́b tsɛ̀ɛ mbaʼámbaʼ ńgʉa faʼa mmó gie pɔ́ ge pfɛ́,","Like wild donkeys in the wilderness,"
"Pɔ́ gwáa ńgiŋe tsɛ̀ɛ menkáʼ, éfaʼa legǐ menɔ̀ɔn,",They gather their fodder in the field
"Pɔ́ láʼ pɔ́ te maʼ nzsǒ, té lagá nzsǒ na pɔ́b,","Without clothing, they spend the night naked,"
Mbʉ̀ŋ mekwɛ́ lúu wɔ́b pɔ́ té gẅiin jʉʼ gie pɔ́ ge kÿo tyé wó wɔ́;,"Drenched by mountain rains,"
Epʉ̀a tepòŋ lɔg tʉ̀ saʼa múɔ mbwó má we ncwò lepʉ́.,The fatherless infant is snatched from the breast;
"Pɔ́ gÿo pɔ́ giŋ té jÿɔ́g nzsǒ, te lagá mmó na pɔ́b.","Without clothing, they wander about naked."
"Ńgÿo pɔ́ gwɔʼ mentɔ̌ɔn tÿǒ olive na lùŋo ńdɔg ńnyɛte mevɛ́,",They crush olives in their presses;  
"Á gwɔ́ tsɛ̀ɛ tÿǒsoŋ, patyé ncwò legwé ne mege ńcʉ́me;","From the city, men    groan;"
"Pafʉʼ menò ŋwɛ́ té kwoŋo kyɛ̀ʼ wɔ́,",The wicked are those who rebel against the light.
"Afÿɛ́ lu ssé ndʉ̀anjÿó,",The murderer rises at dawn
Nyìŋ gẅie à gÿo gÿɛ́,"The adulterer’s eye watches for twilight,"
"Nzěm sǐŋ, pɔ́ pwɔ́ʼ mendá;",In the dark they break   into houses;
"Epʉ̀a ŋwɛ́ néŋe fʉʼ menò ntʉtʉ letsẅɛ́ʼ,",For the morning is like darkness to them.
"Táʼ, ńgʉa na pi, pi gɔɔn ngie: «Epʉ̀a tepòŋ cʉa ndùm ntse, entse lwo ńkaa wɔ́b.",They float   on the surface of the water.
Aláʼa mepfó gÿo pʉ̀a tepòŋ mag páʼ lùm gÿo mentse megẅi mag púʼu,"As dry ground and heat snatch away the melted snow,"
Panzwě pie é la zyé wɔ́b lege wɔ́b,The womb forgets them;
"Pɔ́ ka cʉʼʉ légÿo mepfɔ̌g panzwě júʼ mboŋó,","They prey on   the childless woman who is unable to conceive,"
"Táʼ, e Ssé lɔg metʉ̀ mé ńjwoŋ patántʉ̀.",Yet God drags away   the mighty by his power;
"Tá mbà à zɔɔn ńgÿo pɔ́ kwaŋ pɔ́ ngie ngwɔ́ tsɔ́ mmó le wɔ́b gÿo,","He gives them a sense of security, so they can rely on it,  "
"Mé ka naʼá ńkwéʼe wɔ́b na tsɔ́ púɔ mefʉ̀ʼ, ḿbiŋ té gíŋ ńzsé jʉʼ gie pɔ́ pfǒ wó wɔ́,","They are exalted for a moment, then gone;"
Á lɔɔn ńgwɔ́ gie á té púʼu wɔ́!,"If this is not true, then who can prove me a liar  "
