ngiemboon,en
Anò la pú te poŋo Yenésè na mmó gie Ssé ka gÿo wɔ́. Tà á kwaʼ ńgyáŋa lóŋ. ,Jonah was greatly displeased and became furious.   
"Ésẅíŋte Cʉ̀apʉ̀a ńgɔɔn ngie: «Cʉ̀apʉ̀a, yɛ̂ té mmó ya gie n da gɔɔn fʉ̀ʼ gie n da nyé ńgwɔ́ pɔ́ láʼ peg wɔ́ le? Áa mmó gie á la gÿo, e faʼa légwóon ńkÿo ńgʉa né Taasísè. N da ne ńzsé ngie ɔɔ Ssé gie e gẅiin pòŋontʉ́m, ńgẅiin tsɔ́ɔnmezìŋe, ńgẅiin kwɔ̀gɔnnɛ́, ńgẅiin máamáa nkwòŋe, ńtyé pɔ́ lényé ngɔ́ʼ gie ɔ̀ kɔʼɔ́ ńgee ńzába twó pʉ̀a. ","He prayed to the Lord,   “Please, Lord, isn’t this what I said while I was still in my own country? That’s why I fled toward Tarshish in the first place.  # 4:2 Jnh 1:3 I knew that you are a gracious and compassionate God,  # 4:2 Ex 34:6; Nm 14:18; Ps 86:5,15; Jl 2:13 slow to anger, abounding in faithful love, and one who relents from sending disaster.  # 4:2 Neh 9:17 "
"Púʼu la, Cʉ̀apʉ̀a nyé wɔ́ɔn, n kwé, áa mbòŋ mbwó mèŋ lékwé ńcʉa legwɔ́ wó!»","And now, Lord, take my life from me,   for it is better for me to die than to live.”  # 4:3 Jb 7:15–16; Ec 7:1"
"«Cʉ̀apʉ̀a zɛ́te yé ngie: Ɔ̀ gyáŋa lóŋ pɛ́ʼɛ̀, á gwɔ́ mbòŋ?»","The Lord asked, “Is it right for you to be angry? ”"
"Yenésè fó tÿǒsoŋo Ninive ńkẅɛ, ńgʉa né shÿó sǎʼnèm, ńkúu jʉʼó ńnÿɔgɔ yáŋ, ńdɔg ńgÿo múɔ méntàb, lélɔg ńkʉŋe nèm. Ńne ńzẅíʼte mmó gie á ge cʉa tÿǒsoŋ. ",Jonah left the city and found a place east of it.   He made himself a shelter there and sat in its shade to see what would happen to the city. 
"Cʉ̀apʉ̀a Ssé cʉ́ʼʉ lépʉ́le lóŋ Yenésè, ńgÿo atÿǒ leshʉŋ sáʼ, ńgúʼ tà jʉ́jʉ́ŋ wɛ̌ kábte yé. Anò yɛ̌ pú ḿboŋo Yenésè. ","Then the Lord God appointed a plant, and it grew over Jonah to provide shade for his head to rescue him from his trouble.   Jonah was greatly pleased with the plant. "
"Táʼ, njÿó gÿo ńdʉ́a, e Ssé mʉ́ pɔ́ mbaʼámbaʼ, ńtúmo tsɔ́ cʉ̀cÿɔ̀gɔ, á tó ḿpfɛ́ɛ tÿǒ leshʉŋ ya, á júm. ","When dawn came the next day, God appointed a worm that attacked the plant, and it withered.  "
"Nèm gÿo ńgwɔ́ tà ńkẅɛ, e Ssé gÿo tsɔ̌ fèfà gẅie à tween tween, á fó shÿó sǎʼnèm ńtó. Nèm cúɔ ndù Yenésè tà á gwe. Ńtsɔ́ɔn legwé ńgɔɔn ngie: «Áa mbòŋ mbwó mèŋ lékwé ńcʉa legwɔ́ wó!» ","As the sun was rising, God appointed a scorching east wind.   The sun beat down on Jonah’s head  # 4:8 Ps 121:6; Is 49:10 so much that he almost fainted, and he wanted to die. He said, “It’s better for me to die than to live.”  # 4:8 Jnh 4:3"
"E Ssé zɛ́te Yenésè ngie: «Ɔ̀ gyáŋa lóŋ ńtí yɔɔn tÿǒ leshʉŋ páʼɔɔn, á gwɔ́ jʉʼó ńgwɔ́ púʼu?» Yenésè tsɔ́ʼɔ mbwó yé ngie: «Oon, n gyáŋa lóŋ tà ńtsɔ́ɔn mbɔɔ lékwé, á gwɔ́ jʉʼó, ńgwɔ́ púʼu!» ","Then God asked Jonah, “Is it right for you to be angry about the plant? ”"
"Cʉ̀apʉ̀a gíŋe ńgɔɔn né yé ngie: «Júʼu, yɔɔn tÿǒ leshʉŋ kaa náa tsɔ́ faʼ mbwó gù wɔ́, gù zɔ ka te gÿo á sáʼ wɔ́. Á ka lɔg pɔ́ tàʼ letsẅɛ́ʼ ńgúʼ, letsẅɛ́ʼ mbɔ́ɔntè yépʉ́a gwɔ́, á júm, ɔ̀ pǐŋ ńtsɔ́ɔn mezìŋe mé la. ","And the Lord said, “You cared about the plant, which you did not labor over and did not grow. It appeared in a night and perished in a night. "
"Ɔ̀ pǐŋ ńkwaŋ jú ngie ngwɔ́ mèŋ yɔ́ɔn, ń de tsɔ́ɔn mezìŋe máa tÿǒsoŋo Ninive wɔ́ la? Á jʉʼ gie pʉ̀a ée wó tà ńtɔ́g pʉ̀a ntsáʼ móm mbʉ́a nzèm nkÿo, ńgwɔ́ pʉ̀a pie é té nò mbòŋo zsé, ńké te yetepòŋ zsé. Anùɔ menɔ̀ɔn tà ńgyɔ́ɔn gíŋ ńgwɔ́ tsɛ̀ɛ tÿǒsoŋ ayɛ̌.»","So may I not care about the great city of Nineveh,   which has more than a hundred twenty thousand people who cannot distinguish between their right and their left,  # 4:11 Dt 1:39; Is 7:16 as well as many animals? ”  # 4:11 Ps 36:6"
