ngiemboon,en
"Yabiŋ gẅie aa fùɔ Atsɔ̂ɔ la gwɔ́ tà ńjúʼ mɔɔn menò, ńtúm memántúm, á mbwó mefùɔ pɔɔn: wɔɔn laa Yombab gẅie aa fùɔ Mandoŋ, wɔɔn gwɔ́ fùɔ Shʉmloŋ, wɔɔn gwɔ́ fùɔ Agshÿab, ","When King Jabin of Hazor heard this news, he sent a message to: King Jobab of Madon, the kings of Shimron and Achshaph, "
"ńgÿo mefùɔ pie ée twó kwóŋ ngwòŋ á tsɛ̀ɛ mekwɛ́, lâ pie ée kwòŋo té ntse gie áa ntsíŋ ngwòŋ Kinelɛd, lâ pie ée Shÿefela, té lege pie ée kwoŋo Ndɔ̂ɔ, á ndùm mekwɛ́, á shÿó mbyěnèm. ","and the kings of the north in the hill country, the Arabah south of Chinnereth,   the Judean foothills,  # 11:2 Or Shephelah, also in v. 16 and the Slopes of Dor  # 11:2 Or and in Naphoth-dor to the west, "
"Epʉ̀a Kánàhan laa shÿó sǎʼnèm, ńgíŋe ńgwɔ́ shÿó mbyěnèm. Epʉ̀a Amɔ̀ɔ, epʉ̀a Hɛ́d, epʉ̀a Pelísè ńgÿo pʉ̀a Yembúsè, pú ńgwɔ́ tsɛ̀ɛ mekwɛ́. Epʉ̀a Hevid gwɔ́ ntsíŋ Ɛlemoŋ á tsɛ̀ɛ láʼa Misepa. ","the Canaanites in the east and west, the Amorites, Hethites, Perizzites, and Jebusites in the hill country, and the Hivites at the foot of Hermon in the land of Mizpah.   "
"Pɔ́ la pú ńcúʼte légʉa ncù, á wɔ́b lâ menùɔ palÿɔ́ʼncù mɔ́b ntsèm. Menùɔ la gyɔ́ɔn páʼ sàŋasáŋa gie áa ngʉ̀ŋe ntse máŋʉ́. Melÿóon lâ mekélêg lÿóon la pú ńgyɔ́ɔn tɛʼ. ",They went out with all their armies #— #a multitude as numerous as the sand on the seashore    #— #along with a vast number of horses and chariots. 
"Pɔɔn mefùɔ ntsèm la pú ńcúʼte, ńcʉ́ʼʉ tàʼ mánzòŋ, ńgʉa ńtÿɔ́g mentàb mɔ́b ngʉ̀ŋe mesáʼa ntse Melôm, lélÿɔ́ʼɔ Ésàlayɛ lé ncù.",All these kings joined forces; they came and camped together at the Waters of Merom to attack Israel.  
" Cʉ̀apʉ̀a gɔɔn mbwó Yǒonshûa ngie: «Te pɔ́gɔ wɔ́b! Ńtí nue, á ge gÿo gwɔ́ ntyě fʉ̀ʼɔɔn páʼɔɔn jǔɔ, m bú sẅéen wɔ́b metsèm, ńná né Ésàlayɛ à zẅé wɔ́b. Ɔ̀ ge gÿo záʼte mekwò melÿóon pɔ́b, é shÿɔ́g mmɔ̌g na mekélêg lÿóon pɔ́b.» ","The Lord said to Joshua, “Do not be afraid of them, for at this time tomorrow I will cause all of them to be killed before Israel.   You are to hamstring their horses and burn their chariots.”  # 11:6 2Sm 8:4; Ps 20:7 "
"Yǒonshûa pâ palÿɔ́ʼncù pé ntsèm, cʉ́me mánzsè, ńnáʼte tà ńkeme wɔ́b ngʉ̀ŋe mesáʼa ntse Melôm. ",So Joshua and all his troops surprised them at the Waters of Merom and attacked them. 
"Cʉ̀apʉ̀a sẅéen wɔ́b, ńná né pʉ̀a Ésàlayɛ. Epʉ̀a Ésàlayɛ lÿɔ́ʼɔ wɔ́b né ncù, ńtʉ ńcʉa wɔ́b, ńjwoŋo wɔ́b tà ńkúu máa tÿǒsoŋo Sindoŋ. Ńgíŋe ńjwoŋo wɔ́b tà ńkúu Mislefɔd-Mayim. Ḿbiŋ ńgíŋe ńjwoŋo wɔ́b tà ńkúu fúʼu Misepe, á shÿó sǎʼnèm. Ńdÿɔ́ʼɔ wɔ́b lé ncù. Ńgwɔʼɔ wɔ́b tà lagá nyìŋ té vʉʼʉ. ","The Lord handed them over to Israel, and they struck them down, pursuing them as far as greater Sidon and Misrephoth-maim, and to the east as far as the Valley of Mizpeh.   They struck them down, leaving no survivors.  # 11:8 Dt 2:34; Jos 10:28,30,33,37,39–40 "
"Yǒonshûa gÿo na pɔ́b páʼ Cʉ̀apʉ̀a la tsẅi né yé púʼu. Ńzáʼte mekwò melÿóon pɔ́b, é shÿɔ́g mmɔ̌g na mekélêg lÿóon pɔ́b.",Joshua treated them as the Lord had told him; he hamstrung their horses and burned their chariots.
"Yǒonshûa la gíŋe ńgwɔ́ pɔ́ fʉʼó ŋwɛ́, ńne ḿbiŋe nzèm, ńzẅé fùɔ tÿǒsoŋo Atsɔ̂ɔ pɔ́ páʼ mé gɔɔn lɔɔn. Ńgwaa gwɔ́, mbà á laa tsɔ́ fʉ̀ʼ, atÿǒsoŋo Atsɔ̂ɔ gwɔ́ sẅɛ́ɛláʼ mengwòŋ mɔɔn ntsèm. ","At that time Joshua turned back, captured Hazor, and struck down its king with the sword, because Hazor had formerly been the leader of all these kingdoms. "
"Yǒonshʉ̂a zẅéte pʉ̀a tÿǒsoŋ Atsɔ̂ɔ ntsèm. Ḿbú ḿbyága wɔ́b, tà tsɔ́ lagá mmó gie áa wó, tà ńgẅiin zẅìge, á té vʉʼʉ. Ḿbiŋ shÿɔ́g mmɔ̌g na Atsɔ̂ɔ. ","They struck down everyone in it with the sword, completely destroying   them; he left no one alive. Then he burned Hazor."
"Yǒonshûa la pú ńgwoon mɔɔn metÿǒsoŋ ntsèm ńkẅé, ḿbú ńzẅéte mefùɔ pɔ́b, ḿbiŋ ḿbú ḿbyág metÿǒsoŋ ŋwɛ́, ndʉŋndʉŋ páʼ Mǒonsê ngàŋafàʼ Cʉ̀apʉ̀a la tsẅi. ","Joshua captured all these kings and their cities and struck them down with the sword. He completely destroyed them, as Moses the Lord’s servant   had commanded. "
"Táʼ, epʉ̀a Ésàlayɛ la ké te tuɔ mbɔɔ tàʼ na metÿǒsoŋ mie é laa ndùm mekwɛ́ wɔ́; tà ńdí ndàʼ tÿǒsoŋo Atsɔ̂ɔ gie Yǒonshûa la tuɔ. ","However, Israel did not burn any of the cities that stood on their mounds except Hazor, which Joshua burned. "
"Epʉ̀a Ésàlayɛ la pú ńtúʼ shúm lâ menɔ̀ɔn, á tsɛ̀ɛ mɔɔn metÿǒsoŋ. Tàʼ, ńgʉa na pʉ̀a mesoŋ, mbà pɔ́ la pú ńzẅéte wɔ́b té nyìŋ ḿvʉʼʉ, té nyé tsɔ́ lagá mmó gie áa wó tà ńgẅiin zẅìge. ","The Israelites plundered all the spoils and cattle of these cities for themselves. But they struck down every person with the sword until they had annihilated them, leaving no one alive. "
"Ammó gie Cʉ̀apʉ̀a la tsẅii mbwó Mǒonsê ngàŋafàʼ we, Mǒonsê la gíŋe ńtsẅi pɔ́ yɛ̌, á mbwó Yǒonshûa. Yǒonshûa la gÿo pɔ́ yɛ̌ mmó ŋwɛ́. À la te gwágte tsɔ́ lagá mmó, á na nò gie Cʉ̀apʉ̀a la tsẅi né Mǒonsê wɔ́.","Just as the Lord had commanded his servant Moses, Moses commanded Joshua. That is what Joshua did, leaving nothing undone of all that the Lord had commanded Moses."
"Wɔɔn lɔgɔ ńgwɔ́ páʼ á la cʉate púʼu tá Yǒonshûa pú ńjÿó wɔɔn ngwòŋ: à la jÿó lekwɛ́, ḿbú ńjÿó Nengɛb, ḿbú ńjÿó ngwòŋ Ngɔshÿɛn, ńjÿó Shÿefela, ńjÿó kwòŋo té mmó, ńjÿó pàga ngwòŋ Ésàlayɛ gie á gwɔ́ pɔ́ mekwɛ́ mekwɛ́, lâ kwòŋo gie áa menkwɔʼɔ́ ntse. ","So Joshua took all this land #— #the hill country, all the Negev, all the land of Goshen,   the foothills, the Arabah, and the hill country of Israel with its foothills #— # "
"Yǒonshûa la zẅéte mefùɔ tsɛ̀ɛ meláʼ tà ńgyɔ́ɔn. É mefùɔ meláʼ léfó lekwɛ́ Halag, ńgʉa ńkúu shÿó Seyî, éfó wó ńgʉa ńkúu Mbâa-Ngâd, á tsɛ̀ɛ fúʼu Limbaŋ, á tsìŋe lekwɛ́ Ɛlemoŋ. ","from Mount Halak,   which ascends to Seir, as far as Baal-gad in the Valley of Lebanon at the foot of Mount Hermon. He captured all their kings and struck them down, putting them to death.  # 11:17 Dt 7:24 "
"Encù gẅie Yǒonshûa pâ pɔɔn mefùɔ la lÿɔ́ʼ, é la néŋe tɛʼ. ",Joshua waged war with all these kings for a long time. 
"Atsɔ́ lagá tÿǒsoŋ la te gyá púɔ Ésàlayɛ tà pâ pɔ̌ lʉʼte tà ńgwɔ́ tàʼ ncwò wɔ́. Tà ńdí ndàʼ pʉ̀a Hevid pie é lɔ́ɔn ńtsẅé Ngambahoŋ. Epʉ̀a Ésàlayɛ la lɔg ncù, ńzyɛ́ʼ ḿbú ńkú metÿǒsoŋ. ",No city made peace with the Israelites except the Hivites who inhabited Gibeon;   all of them were taken in battle. 
Ńtí nue Cʉ̀apʉ̀a zɔ lɔ̌ɔn ńkẅiŋte wɔ́b lélÿɔ́ʼ pa Ésàlayɛ lé ncù. Tá á cʉa púʼu Ésàlayɛ pyága wɔ́b té tsɔ́ɔn mezìŋe mɔ́b. Ḿbú ḿbyága wɔ́b páʼ Cʉ̀apʉ̀a la tsẅii mbwó Mǒonsê.,"For it was the Lord’s intention to harden their hearts,   so that they would engage Israel in battle, be completely destroyed without mercy, and be annihilated, just as the Lord had commanded Moses."
"Á la gíŋe ńgwɔ́ pɔ́ fʉ̀ʼ ayɛ̌, Yǒonshûa gʉa ḿbyág pʉ̀a Anag pie é tsẅé mekwɛ́, á Embeloŋ, á Ndembi, á Anab, á tsɛ̀ɛ pàga láʼa mekwɛ́ Yúndà tà mbɔɔ tsɛ̀ɛ pàga ngwòŋ Ésàlayɛ ntsèm gie á gwɔ́ pɔ́ mekwɛ́ mekwɛ́. Yǒonshûa la pú ḿbyága wɔ́b tà mbɔɔ metÿǒsoŋ mɔ́b. ","At that time Joshua proceeded to exterminate the Anakim   from the hill country #— #Hebron, Debir, Anab #— #all the hill country of Judah and of Israel. Joshua completely destroyed them with their cities. "
"Atsɔ́ lagá nyìŋ Anag la té vʉʼʉ tsɛ̀ɛ ngwòŋ Ésàlayɛ wɔ́, tà ńdí ndàʼ pie é laa Ngázà lâ Ngâd ńgÿo Ashÿendɔd. ","No Anakim were left in the land of the Israelites, except for some remaining in Gaza, Gath,   and Ashdod."
"Wɔɔn lɔg ńgwɔ́ páʼ Yǒonshûa la lÿɔ́ʼ wɔɔn ngwòŋ, tà ńkẅé, á gwɔ́ ndʉŋndʉŋ páʼ Cʉ̀apʉ̀a la tsẅii mbwó Mǒonsê púʼu. Yǒonshûa la ná ngwòŋ mbwó pʉ̀a Ésàlayɛ páʼ tÿɔgɔ́. Ńgabte mbwó mengẅɛ̀te ntsèm. Á leen fó púʼu, ngwòŋ leen ńké ńnéŋe lé mbʉ́lè té gíŋe ńdÿɔ́ʼ ncù.","So Joshua took the entire land, in keeping with all that the Lord had told Moses. Joshua then gave it as an inheritance to Israel according to their tribal allotments. After this, the land had rest from war.  "
